categoryID,animal,feature,featureNum,alternatives
1,ant,small,1,mouse;hamster
1,ant,strong,2,ox;gorilla
1,ant,busy,3,bee;beaver
2,bat,scary,1,snake;bear
2,bat,blind,2,mole;mouse
2,bat,nocturnal,3,owl;snake
3,bear,scary,1,snake;shark
3,bear,big,2,elephant;whale
3,bear,fierce,3,tiger;lion
4,bee,busy,1,beaver;ant
4,bee,small,2,mouse;hamster
4,bee,angry,3,bull;lion
5,bird,free,1,eagle;horse
5,bird,graceful,2,swan;gazelle
5,bird,small,3,mouse;hamster
6,buffalo,big,1,elephant;bear
6,buffalo,strong,2,ox;gorilla
6,buffalo,wild,3,lion;boar
7,cat,independent,1,eagle;cheetah
7,cat,lazy,2,sloth;dog
7,cat,soft,3,kitten;rabbit
8,cow,fat,1,pig;hippo
8,cow,dumb,2,dog;ox
8,cow,lazy,3,sloth;cat
9,dog,loyal,1,cat;eagle
9,dog,friendly,2,cat;dolphin
9,dog,happy,3,cat;dolphin
10,dolphin,smart,1,cat;dog
10,dolphin,friendly,2,dog;cat
10,dolphin,playful,3,dog;kitten
11,duck,loud,1,dog;elephant
11,duck,cute,2,puppy;kitten
11,duck,quacking,3,donkey
12,elephant,huge,1,whale;giraffe
12,elephant,smart,2,dolphin;cat
12,elephant,heavy,3,hippo;rhino
13,fish,scaly,1,lizard;snake
13,fish,wet,2,seal;dolphin
13,fish,smelly,3,skunk;pig
14,fox,sly,1,snake;cat
14,fox,smart,2,dolphin;cat
14,fox,pretty,3,peacock;cat
15,frog,slimy,1,slug;snake
15,frog,noisy,2,bird;dog
15,frog,jumpy,3,kangaroo;rabbit
16,goat,funny,1,monkey;hyena
16,goat,hungry,2,hippo;lion
16,goat,loud,3,dog;elephant
17,goose,loud,1,dog;elephant
17,goose,mean,2,cat;lion
17,goose,annoying,3,dog;cat
18,horse,fast,1,cheetah;gazelle
18,horse,strong,2,ox;gorilla
18,horse,beautiful,3,peacock;lion
19,kangaroo,jumpy,1,frog;rabbit
19,kangaroo,bouncy,2,rabbit;frog
19,kangaroo,cute,3,puppy;kitten
20,lion,ferocious,1,tiger;bear
20,lion,scary,2,snake;bear
20,lion,strong,3,ox;gorilla
21,monkey,funny,1,hyena;parrot
21,monkey,smart,2,dolphin;cat
21,monkey,playful,3,dog;kitten
22,owl,wise,1,elephant;dolphin
22,owl,quiet,2,mouse;cat
22,owl,nocturnal,3,bat;snake
23,ox,strong,1,gorilla;lion
23,ox,big,2,elephant;bear
23,ox,slow,3,turtle;sloth
24,penguin,cold,1,polar bear;snake
24,penguin,cute,2,puppy;kitten
24,penguin,funny,3,monkey;hyena
25,pig,dirty,1,rat;dog
25,pig,fat,2,hippo;cat
25,pig,smelly,3,skunk;baboon
26,rabbit,fast,1,cheetah;gazelle
26,rabbit,furry,2,bear;cat
26,rabbit,cute,3,puppy;kitten
27,shark,scary,1,snake;bear
27,shark,dangerous,2,lion;bear
27,shark,mean,3,cat;lion
28,sheep,wooly,1,mammoth;lamb
28,sheep,fluffy,2,cat;rabbit
28,sheep,dumb,3,dog;ox
29,tiger,striped,1,zebra;bass
29,tiger,fierce,2,lion;wolf
29,tiger,scary,3,snake;bear
30,whale,large,1,elephant;hippo
30,whale,graceful,2,swan;gazelle
30,whale,majestic,3,lion;horse
31,wolf,scary,1,snake;bear
31,wolf,mean,2,cat;lion
31,wolf,angry,3,bull;lion
32,zebra,striped,1,tiger;bass
32,zebra,exotic,2,bird;peacock
32,zebra,fast,3,cheetah;gazelle
