workerid	Answer.gender	Answer.nativeLanguage	Answer.income	Answer.age	Answer.orders	Answer.categoryIDs	Answer.origAnimals	Answer.features	Answer.featureNums	Answer.altAnimals
A1CSDIX05PK9V	M	English	6	35	1,2,3,4,5,6,7,8,9	29,1,21,29,29,1,21,21,1	whale,ant,monkey,whale,whale,ant,monkey,monkey,ant	majestic,busy,smart,graceful,large,small,funny,playful,strong	3,3,2,2,1,1,1,3,2	eagle,ants,dolphin,gazelle,hippo,squirrel,chimp,dog,ape
A23VM3SZWYATBO	F	English	4	55	1,2,3,4,5,6,7,8,9	29,21,1,29,1,1,29,21,21	whale,monkey,ant,whale,ant,ant,whale,monkey,monkey	large,smart,strong,majestic,small,busy,graceful,funny,playful	1,2,2,3,1,3,2,1,3	elephant,dog,ox,elk,mouse,bee,swan,monkey,kitten
A3862RIFFUV141	M	English	4	45	1,2,3,4,5,6,7,8,9	29,1,21,29,21,1,29,1,21	whale,ant,monkey,whale,monkey,ant,whale,ant,monkey	majestic,small,playful,large,funny,strong,graceful,busy,smart	3,1,3,1,1,2,2,3,2	LION,MOUSE,KITTEN,ELEPHANT,GOOSE,BEAR,SWAN,BEE,DOG
A262AAMPE1EGLI	F	English	0	55	1,2,3,4,5,6,7,8,9	29,21,21,1,1,29,29,1,21	whale,monkey,monkey,ant,ant,whale,whale,ant,monkey	large,playful,smart,small,strong,majestic,graceful,busy,funny	1,3,2,1,2,3,2,3,1	elephant,otter,dolphin,shrew,water buffalo,eagle,swan,beaver,parakeet
A16WTL2DOIQ5SV	M	English	6	25	1,2,3,4,5,6,7,8,9	21,21,29,21,29,1,1,29,1	monkey,monkey,whale,monkey,whale,ant,ant,whale,ant	playful,funny,majestic,smart,graceful,strong,busy,large,small	3,1,3,2,2,2,3,1,1	dog,turtle,lion,monkey,swan,tiger,ant,elephant,rat
ATHS9GUME1XCA	M	ENGLISH	4	55	1,2,3,4,5,6,7,8,9	21,21,1,29,29,1,1,29,21	monkey,monkey,ant,whale,whale,ant,ant,whale,monkey	smart,funny,strong,majestic,graceful,small,busy,large,playful	2,1,2,3,2,1,3,1,3	CAT,DOG,LION,CHEETAH,DEER,MOUSE,TIGER,ELEPHANT,PUPPY
A3P5QAEA7BMTDI	M	English	6	35	1,2,3,4,5,6,7,8,9	21,1,29,29,21,29,1,21,1	monkey,ant,whale,whale,monkey,whale,ant,monkey,ant	playful,busy,graceful,majestic,funny,large,strong,smart,small	3,3,2,3,1,1,2,2,1	cat,bee,gazelle,lion,hyena,giraffe,elephant,dolphin,hamster
A1NIO3JNX5QTN8	F	English	4	35	1,2,3,4,5,6,7,8,9	29,21,21,29,1,21,1,29,1	whale,monkey,monkey,whale,ant,monkey,ant,whale,ant	majestic,playful,funny,graceful,small,smart,strong,large,busy	3,3,1,2,1,2,2,1,3	horse,kitten,owl,deer,mouse,monkey,gorilla,elephant,bee
A1GOJEDZM2CQTN	M	English	4	35	1,2,3,4,5,6,7,8,9	29,1,21,29,29,1,1,21,21	whale,ant,monkey,whale,whale,ant,ant,monkey,monkey	graceful,small,playful,majestic,large,strong,busy,funny,smart	2,1,3,3,1,2,3,1,2	gazelle,cat,cat,lion,elephant,lion,mouse,squirrel,dolphin
A2F1JTU06CO6VD	F	English	4	35	1,2,3,4,5,6,7,8,9	1,29,1,21,29,29,1,21,21	ant,whale,ant,monkey,whale,whale,ant,monkey,monkey	busy,majestic,strong,playful,large,graceful,small,smart,funny	3,3,2,3,1,2,1,2,1	bee,reindeer,buffalo,kitten,mountain lion,cheetah,fieldmouse,dolphin,hyena
