"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.categoryIDs"	"Answer.origAnimals"	"Answer.featureNums"	"Answer.features"	"Answer.altAnimals"	"Answer.orders"	"Answer.gender"	"Answer.age"	"Answer.income"	"Answer.nativeLanguage"	"Answer.comments"
"2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"25VGMMEGOOGQMPCBEF12YEIUUAKBB3"	"Fun HIT about animals"	"Write the first animal that comes to mind when you think about different characteristics. This should take less than 2 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.25"	"Wed Mar 05 09:59:44 PST 2014"	"30"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Thu Mar 06 02:39:44 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"2W6GOOGQSCM6CN07OJ9U0U064GOFFO"	"A1CSDIX05PK9V"	"Submitted"	"Thu Mar 06 02:43:54 PST 2014"	"Wed Mar 05 10:02:58 PST 2014"	"Wed Mar 05 10:03:54 PST 2014"	""	""	""	""	""	"[29,1,21,29,29,1,21,21,1]"	"[""whale"",""ant"",""monkey"",""whale"",""whale"",""ant"",""monkey"",""monkey"",""ant""]"	"[3,3,2,2,1,1,1,3,2]"	"[""majestic"",""busy"",""smart"",""graceful"",""large"",""small"",""funny"",""playful"",""strong""]"	"[""eagle"",""ants"",""dolphin"",""gazelle"",""hippo"",""squirrel"",""chimp"",""dog"",""ape""]"	"[1,2,3,4,5,6,7,8,9]"	"""M"""	"""35"""	"""6"""	"""English"""	""""""
"2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"25VGMMEGOOGQMPCBEF12YEIUUAKBB3"	"Fun HIT about animals"	"Write the first animal that comes to mind when you think about different characteristics. This should take less than 2 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.25"	"Wed Mar 05 09:59:44 PST 2014"	"30"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Thu Mar 06 02:39:44 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"2CWSMEZZ2MIKG0ZZ4U0Y98T2CNM5M2"	"A23VM3SZWYATBO"	"Submitted"	"Thu Mar 06 02:44:41 PST 2014"	"Wed Mar 05 10:03:21 PST 2014"	"Wed Mar 05 10:04:41 PST 2014"	""	""	""	""	""	"[29,21,1,29,1,1,29,21,21]"	"[""whale"",""monkey"",""ant"",""whale"",""ant"",""ant"",""whale"",""monkey"",""monkey""]"	"[1,2,2,3,1,3,2,1,3]"	"[""large"",""smart"",""strong"",""majestic"",""small"",""busy"",""graceful"",""funny"",""playful""]"	"[""elephant"",""dog"",""ox"",""elk"",""mouse"",""bee"",""swan"",""monkey"",""kitten""]"	"[1,2,3,4,5,6,7,8,9]"	"""F"""	"""55"""	"""4"""	"""English"""	"""It was fun - just not long enough!"""
"2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"25VGMMEGOOGQMPCBEF12YEIUUAKBB3"	"Fun HIT about animals"	"Write the first animal that comes to mind when you think about different characteristics. This should take less than 2 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.25"	"Wed Mar 05 09:59:44 PST 2014"	"30"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Thu Mar 06 02:39:44 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"2WIU6L5OBVCIV4N20F9JL7G0H0HGZB"	"A3862RIFFUV141"	"Submitted"	"Thu Mar 06 02:45:25 PST 2014"	"Wed Mar 05 10:03:06 PST 2014"	"Wed Mar 05 10:05:25 PST 2014"	""	""	""	""	""	"[29,1,21,29,21,1,29,1,21]"	"[""whale"",""ant"",""monkey"",""whale"",""monkey"",""ant"",""whale"",""ant"",""monkey""]"	"[3,1,3,1,1,2,2,3,2]"	"[""majestic"",""small"",""playful"",""large"",""funny"",""strong"",""graceful"",""busy"",""smart""]"	"[""LION"",""MOUSE"",""KITTEN"",""ELEPHANT"",""GOOSE"",""BEAR"",""SWAN"",""BEE"",""DOG""]"	"[1,2,3,4,5,6,7,8,9]"	"""M"""	"""45"""	"""4"""	"""English"""	"""Interesting HIT.  I enjoyed it."""
"2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"25VGMMEGOOGQMPCBEF12YEIUUAKBB3"	"Fun HIT about animals"	"Write the first animal that comes to mind when you think about different characteristics. This should take less than 2 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.25"	"Wed Mar 05 09:59:44 PST 2014"	"30"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Thu Mar 06 02:39:44 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"2PKVGULF395SQJDLXKJ3TYNPROJBP5"	"A262AAMPE1EGLI"	"Submitted"	"Thu Mar 06 02:45:43 PST 2014"	"Wed Mar 05 10:04:31 PST 2014"	"Wed Mar 05 10:05:43 PST 2014"	""	""	""	""	""	"[29,21,21,1,1,29,29,1,21]"	"[""whale"",""monkey"",""monkey"",""ant"",""ant"",""whale"",""whale"",""ant"",""monkey""]"	"[1,3,2,1,2,3,2,3,1]"	"[""large"",""playful"",""smart"",""small"",""strong"",""majestic"",""graceful"",""busy"",""funny""]"	"[""elephant"",""otter"",""dolphin"",""shrew"",""water buffalo"",""eagle"",""swan"",""beaver"",""parakeet""]"	"[1,2,3,4,5,6,7,8,9]"	"""F"""	"""55"""	"""0"""	"""English"""	"""None"""
"2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"25VGMMEGOOGQMPCBEF12YEIUUAKBB3"	"Fun HIT about animals"	"Write the first animal that comes to mind when you think about different characteristics. This should take less than 2 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.25"	"Wed Mar 05 09:59:44 PST 2014"	"30"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Thu Mar 06 02:39:44 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"2KYX3YOCCF0CJIA2LY9NOIX4WUTRSE"	"A16WTL2DOIQ5SV"	"Submitted"	"Thu Mar 06 02:46:16 PST 2014"	"Wed Mar 05 10:05:21 PST 2014"	"Wed Mar 05 10:06:16 PST 2014"	""	""	""	""	""	"[21,21,29,21,29,1,1,29,1]"	"[""monkey"",""monkey"",""whale"",""monkey"",""whale"",""ant"",""ant"",""whale"",""ant""]"	"[3,1,3,2,2,2,3,1,1]"	"[""playful"",""funny"",""majestic"",""smart"",""graceful"",""strong"",""busy"",""large"",""small""]"	"[""dog"",""turtle"",""lion"",""monkey"",""swan"",""tiger"",""ant"",""elephant"",""rat""]"	"[1,2,3,4,5,6,7,8,9]"	"""M"""	"""25"""	"""6"""	"""English"""	""""""
"2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"25VGMMEGOOGQMPCBEF12YEIUUAKBB3"	"Fun HIT about animals"	"Write the first animal that comes to mind when you think about different characteristics. This should take less than 2 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.25"	"Wed Mar 05 09:59:44 PST 2014"	"30"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Thu Mar 06 02:39:44 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"28SLWSBRI8IU5FOZ5DAHYTLHJB52EA"	"ATHS9GUME1XCA"	"Submitted"	"Thu Mar 06 02:46:29 PST 2014"	"Wed Mar 05 10:05:31 PST 2014"	"Wed Mar 05 10:06:29 PST 2014"	""	""	""	""	""	"[21,21,1,29,29,1,1,29,21]"	"[""monkey"",""monkey"",""ant"",""whale"",""whale"",""ant"",""ant"",""whale"",""monkey""]"	"[2,1,2,3,2,1,3,1,3]"	"[""smart"",""funny"",""strong"",""majestic"",""graceful"",""small"",""busy"",""large"",""playful""]"	"[""CAT"",""DOG"",""LION"",""CHEETAH"",""DEER"",""MOUSE"",""TIGER"",""ELEPHANT"",""PUPPY""]"	"[1,2,3,4,5,6,7,8,9]"	"""M"""	"""55"""	"""4"""	"""ENGLISH"""	""""""
"2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"25VGMMEGOOGQMPCBEF12YEIUUAKBB3"	"Fun HIT about animals"	"Write the first animal that comes to mind when you think about different characteristics. This should take less than 2 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.25"	"Wed Mar 05 09:59:44 PST 2014"	"30"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Thu Mar 06 02:39:44 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"2HUJENLVWJ5OJOQ3RLQ84MWHN4TS0G"	"A3P5QAEA7BMTDI"	"Submitted"	"Thu Mar 06 02:46:38 PST 2014"	"Wed Mar 05 10:05:16 PST 2014"	"Wed Mar 05 10:06:38 PST 2014"	""	""	""	""	""	"[21,1,29,29,21,29,1,21,1]"	"[""monkey"",""ant"",""whale"",""whale"",""monkey"",""whale"",""ant"",""monkey"",""ant""]"	"[3,3,2,3,1,1,2,2,1]"	"[""playful"",""busy"",""graceful"",""majestic"",""funny"",""large"",""strong"",""smart"",""small""]"	"[""cat"",""bee"",""gazelle"",""lion"",""hyena"",""giraffe"",""elephant"",""dolphin"",""hamster""]"	"[1,2,3,4,5,6,7,8,9]"	"""M"""	"""35"""	"""6"""	"""English"""	"""No comments. Thank you."""
"2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"25VGMMEGOOGQMPCBEF12YEIUUAKBB3"	"Fun HIT about animals"	"Write the first animal that comes to mind when you think about different characteristics. This should take less than 2 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.25"	"Wed Mar 05 09:59:44 PST 2014"	"30"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Thu Mar 06 02:39:44 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"2I6BDPGFL6VCJ9PENS4WOOV78XX4JT"	"A1NIO3JNX5QTN8"	"Submitted"	"Thu Mar 06 02:46:40 PST 2014"	"Wed Mar 05 10:05:01 PST 2014"	"Wed Mar 05 10:06:40 PST 2014"	""	""	""	""	""	"[29,21,21,29,1,21,1,29,1]"	"[""whale"",""monkey"",""monkey"",""whale"",""ant"",""monkey"",""ant"",""whale"",""ant""]"	"[3,3,1,2,1,2,2,1,3]"	"[""majestic"",""playful"",""funny"",""graceful"",""small"",""smart"",""strong"",""large"",""busy""]"	"[""horse"",""kitten"",""owl"",""deer"",""mouse"",""monkey"",""gorilla"",""elephant"",""bee""]"	"[1,2,3,4,5,6,7,8,9]"	"""F"""	"""35"""	"""4"""	"""English"""	""""""
"2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"25VGMMEGOOGQMPCBEF12YEIUUAKBB3"	"Fun HIT about animals"	"Write the first animal that comes to mind when you think about different characteristics. This should take less than 2 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.25"	"Wed Mar 05 09:59:44 PST 2014"	"30"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Thu Mar 06 02:39:44 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"2QCPEIB9BAWLMZNUMAMX0D3S9HX1Y8"	"A1GOJEDZM2CQTN"	"Submitted"	"Thu Mar 06 02:48:08 PST 2014"	"Wed Mar 05 10:07:16 PST 2014"	"Wed Mar 05 10:08:08 PST 2014"	""	""	""	""	""	"[29,1,21,29,29,1,1,21,21]"	"[""whale"",""ant"",""monkey"",""whale"",""whale"",""ant"",""ant"",""monkey"",""monkey""]"	"[2,1,3,3,1,2,3,1,2]"	"[""graceful"",""small"",""playful"",""majestic"",""large"",""strong"",""busy"",""funny"",""smart""]"	"[""gazelle"",""cat"",""cat"",""lion"",""elephant"",""lion"",""mouse"",""squirrel"",""dolphin""]"	"[1,2,3,4,5,6,7,8,9]"	"""M"""	"""35"""	"""4"""	"""English"""	""""""
"2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"25VGMMEGOOGQMPCBEF12YEIUUAKBB3"	"Fun HIT about animals"	"Write the first animal that comes to mind when you think about different characteristics. This should take less than 2 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.25"	"Wed Mar 05 09:59:44 PST 2014"	"30"	"0"	"0"	"0"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Thu Mar 06 02:39:44 PST 2014"	"http://requester.mturk.com/mturk/manageHIT?HITId=2HJ1K274J79KK9W64SV60XFFJ9YEGB"	"2UEN9U8P9Y38N9M2E8JU4IM6ZJFWF4"	"A2F1JTU06CO6VD"	"Submitted"	"Thu Mar 06 02:48:13 PST 2014"	"Wed Mar 05 10:06:41 PST 2014"	"Wed Mar 05 10:08:13 PST 2014"	""	""	""	""	""	"[1,29,1,21,29,29,1,21,21]"	"[""ant"",""whale"",""ant"",""monkey"",""whale"",""whale"",""ant"",""monkey"",""monkey""]"	"[3,3,2,3,1,2,1,2,1]"	"[""busy"",""majestic"",""strong"",""playful"",""large"",""graceful"",""small"",""smart"",""funny""]"	"[""bee"",""reindeer"",""buffalo"",""kitten"",""mountain lion"",""cheetah"",""fieldmouse"",""dolphin"",""hyena""]"	"[1,2,3,4,5,6,7,8,9]"	"""F"""	"""35"""	"""4"""	"""English"""	""""""
