"altAnimal","freq","feature","categoryID","origAnimal","featureNum"
"mouse",25,"small",1,"ant",1
"ant",7,"small",1,"ant",1
"hamster",3,"small",1,"ant",1
"snail",3,"small",1,"ant",1
"beatle",1,"small",1,"ant",1
"cat",1,"small",1,"ant",1
"chihuahua",1,"small",1,"ant",1
"dog",1,"small",1,"ant",1
"fieldmouse",1,"small",1,"ant",1
"flea",1,"small",1,"ant",1
"lion",13,"strong",1,"ant",2
"bear",10,"strong",1,"ant",2
"ox",8,"strong",1,"ant",2
"elephant",5,"strong",1,"ant",2
"ape",2,"strong",1,"ant",2
"gorilla",2,"strong",1,"ant",2
"tiger",2,"strong",1,"ant",2
"buffalo",1,"strong",1,"ant",2
"bull",1,"strong",1,"ant",2
"chimp",1,"strong",1,"ant",2
"bee",22,"busy",1,"ant",3
"beaver",10,"busy",1,"ant",3
"ant",5,"busy",1,"ant",3
"monkey",3,"busy",1,"ant",3
"ants",2,"busy",1,"ant",3
"dog",2,"busy",1,"ant",3
"bear",1,"busy",1,"ant",3
"bird",1,"busy",1,"ant",3
"hamster",1,"busy",1,"ant",3
"mouse",1,"busy",1,"ant",3
"monkey",10,"funny",21,"monkey",1
"hyena",6,"funny",21,"monkey",1
"cat",4,"funny",21,"monkey",1
"dog",4,"funny",21,"monkey",1
"chimpanzee",2,"funny",21,"monkey",1
"hippo",2,"funny",21,"monkey",1
"platypus",2,"funny",21,"monkey",1
"squirrel",2,"funny",21,"monkey",1
"baboon",1,"funny",21,"monkey",1
"beaver",1,"funny",21,"monkey",1
"dolphin",18,"smart",21,"monkey",2
"dog",7,"smart",21,"monkey",2
"cat",6,"smart",21,"monkey",2
"monkey",5,"smart",21,"monkey",2
"owl",5,"smart",21,"monkey",2
"ape",1,"smart",21,"monkey",2
"chimpanzee",1,"smart",21,"monkey",2
"coyote",1,"smart",21,"monkey",2
"elephant",1,"smart",21,"monkey",2
"horse",1,"smart",21,"monkey",2
"dog",13,"playful",21,"monkey",3
"kitten",11,"playful",21,"monkey",3
"cat",8,"playful",21,"monkey",3
"monkey",3,"playful",21,"monkey",3
"otter",3,"playful",21,"monkey",3
"puppy",3,"playful",21,"monkey",3
"panda",2,"playful",21,"monkey",3
"squirrel",2,"playful",21,"monkey",3
"bird",1,"playful",21,"monkey",3
"chihuahua",1,"playful",21,"monkey",3
"elephant",32,"large",29,"whale",1
"whale",6,"large",29,"whale",1
"giraffe",2,"large",29,"whale",1
"hippo",2,"large",29,"whale",1
"rhino",2,"large",29,"whale",1
"blue whale",1,"large",29,"whale",1
"eleqhant",1,"large",29,"whale",1
"gorilla",1,"large",29,"whale",1
"mountain lion",1,"large",29,"whale",1
"ox",1,"large",29,"whale",1
"swan",18,"graceful",29,"whale",2
"gazelle",10,"graceful",29,"whale",2
"cheetah",4,"graceful",29,"whale",2
"deer",4,"graceful",29,"whale",2
"cat",3,"graceful",29,"whale",2
"eagle",3,"graceful",29,"whale",2
"giraffe",3,"graceful",29,"whale",2
"lion",2,"graceful",29,"whale",2
"bird",1,"graceful",29,"whale",2
"butterfly",1,"graceful",29,"whale",2
"lion",17,"majestic",29,"whale",3
"eagle",11,"majestic",29,"whale",3
"horse",5,"majestic",29,"whale",3
"peacock",4,"majestic",29,"whale",3
"tiger",2,"majestic",29,"whale",3
"whale",2,"majestic",29,"whale",3
"brontosaurus",1,"majestic",29,"whale",3
"cheetah",1,"majestic",29,"whale",3
"dog",1,"majestic",29,"whale",3
"elk",1,"majestic",29,"whale",3
