workerID,gender,age,income,language,order,quality,discourseOrder,option1Type,option2Type,option1,option2
1,M,35,4,English,1,tall,fig-lit,figurative,literal,1,0.81
1,M,35,4,English,2,sweet,lit-lit,literal,literal,0.67,0.67
2,M,35,6,English,1,tall,lit-lit,literal,literal,0.69,0.66
2,M,35,6,English,2,sweet,lit-fig,literal,figurative,0.67,0.98
3,F,17,10,English,1,sweet,lit-lit,literal,literal,1,1
3,F,17,10,English,2,tall,fig-lit,figurative,literal,1,0.8
4,M,35,4,English,1,tall,lit-fig,literal,figurative,0.81,1
4,M,35,4,English,2,sweet,lit-lit,literal,literal,0.82,0.82
5,M,45,6,English,1,sweet,fig-lit,figurative,literal,1,0.67
5,M,45,6,English,2,tall,lit-lit,literal,literal,0.72,0.72
6,M,35,4,English,1,tall,fig-lit,figurative,literal,0.89,0.73
6,M,35,4,English,2,sweet,lit-lit,literal,literal,0.69,0.61
7,M,35,4,English,1,tall,lit-lit,literal,literal,0.58,0.59
7,M,35,4,English,2,sweet,fig-lit,figurative,literal,0.91,0.45
8,M,25,4,English,1,tall,lit-lit,literal,literal,0.79,0.76
8,M,25,4,English,2,sweet,fig-lit,figurative,literal,0.89,0.64
9,M,35,4,English,1,tall,lit-lit,literal,literal,0.87,0.7
9,M,35,4,English,2,sweet,fig-lit,figurative,literal,1,0.71
10,M,55,6,English,1,tall,lit-fig,literal,figurative,0.63,1
10,M,55,6,English,2,sweet,lit-lit,literal,literal,0.75,0.76
11,M,35,4,English,1,sweet,lit-fig,literal,figurative,0.85,0.91
11,M,35,4,English,2,tall,lit-lit,literal,literal,0.79,0.79
12,M,35,6,English,1,sweet,lit-lit,literal,literal,0.79,0.8
12,M,35,6,English,2,tall,fig-lit,figurative,literal,1,0.86
13,F,17,0,English,1,sweet,lit-fig,literal,figurative,0.53,0.96
13,F,17,0,English,2,tall,lit-lit,literal,literal,0.54,0.54
14,M,35,0,English,1,tall,lit-fig,literal,figurative,0.61,0.87
14,M,35,0,English,2,sweet,lit-lit,literal,literal,0.57,0.57
15,M,35,4,English,1,tall,lit-lit,literal,literal,0.66,0.68
15,M,35,4,English,2,sweet,fig-lit,figurative,literal,0.89,0.68
16,F,65,6,English,1,tall,lit-fig,literal,figurative,0.76,0.91
16,F,65,6,English,2,sweet,lit-lit,literal,literal,0.56,0.58
17,F,45,4,English,1,tall,lit-fig,literal,figurative,0.67,0.86
17,F,45,4,English,2,sweet,lit-lit,literal,literal,0.65,0.67
18,F,45,6,English,1,tall,lit-lit,literal,literal,0.78,0.8
18,F,45,6,English,2,sweet,lit-fig,literal,figurative,0.72,0.92
19,M,45,4,English,1,sweet,lit-lit,literal,literal,0.66,0.67
