workerID,gender,age,income,language,order,quality,discourseOrder,description,rating,option
1,M,35,4,English,1,tall,fig-lit,figurative,1,1
1,M,35,4,English,1,tall,fig-lit,literal,0.81,2
1,M,35,4,English,2,sweet,lit-lit,literal,0.67,1
1,M,35,4,English,2,sweet,lit-lit,literal,0.67,2
2,M,35,6,English,1,tall,lit-lit,literal,0.69,1
2,M,35,6,English,1,tall,lit-lit,literal,0.66,2
2,M,35,6,English,2,sweet,lit-fig,literal,0.67,1
2,M,35,6,English,2,sweet,lit-fig,figurative,0.98,2
3,F,17,10,English,1,sweet,lit-lit,literal,1,1
3,F,17,10,English,1,sweet,lit-lit,literal,1,2
3,F,17,10,English,2,tall,fig-lit,figurative,1,1
3,F,17,10,English,2,tall,fig-lit,literal,0.8,2
4,M,35,4,English,1,tall,lit-fig,literal,0.81,1
4,M,35,4,English,1,tall,lit-fig,figurative,1,2
4,M,35,4,English,2,sweet,lit-lit,literal,0.82,1
4,M,35,4,English,2,sweet,lit-lit,literal,0.82,2
5,M,45,6,English,1,sweet,fig-lit,figurative,1,1
5,M,45,6,English,1,sweet,fig-lit,literal,0.67,2
5,M,45,6,English,2,tall,lit-lit,literal,0.72,1
5,M,45,6,English,2,tall,lit-lit,literal,0.72,2
6,M,35,4,English,1,tall,fig-lit,figurative,0.89,1
6,M,35,4,English,1,tall,fig-lit,literal,0.73,2
6,M,35,4,English,2,sweet,lit-lit,literal,0.69,1
6,M,35,4,English,2,sweet,lit-lit,literal,0.61,2
7,M,35,4,English,1,tall,lit-lit,literal,0.58,1
7,M,35,4,English,1,tall,lit-lit,literal,0.59,2
7,M,35,4,English,2,sweet,fig-lit,figurative,0.91,1
7,M,35,4,English,2,sweet,fig-lit,literal,0.45,2
8,M,25,4,English,1,tall,lit-lit,literal,0.79,1
8,M,25,4,English,1,tall,lit-lit,literal,0.76,2
8,M,25,4,English,2,sweet,fig-lit,figurative,0.89,1
8,M,25,4,English,2,sweet,fig-lit,literal,0.64,2
9,M,35,4,English,1,tall,lit-lit,literal,0.87,1
9,M,35,4,English,1,tall,lit-lit,literal,0.7,2
9,M,35,4,English,2,sweet,fig-lit,figurative,1,1
9,M,35,4,English,2,sweet,fig-lit,literal,0.71,2
10,M,55,6,English,1,tall,lit-fig,literal,0.63,1
10,M,55,6,English,1,tall,lit-fig,figurative,1,2
10,M,55,6,English,2,sweet,lit-lit,literal,0.75,1
10,M,55,6,English,2,sweet,lit-lit,literal,0.76,2
11,M,35,4,English,1,sweet,lit-fig,literal,0.85,1
11,M,35,4,English,1,sweet,lit-fig,figurative,0.91,2
11,M,35,4,English,2,tall,lit-lit,literal,0.79,1
11,M,35,4,English,2,tall,lit-lit,literal,0.79,2
12,M,35,6,English,1,sweet,lit-lit,literal,0.79,1
12,M,35,6,English,1,sweet,lit-lit,literal,0.8,2
12,M,35,6,English,2,tall,fig-lit,figurative,1,1
12,M,35,6,English,2,tall,fig-lit,literal,0.86,2
13,F,17,0,English,1,sweet,lit-fig,literal,0.53,1
13,F,17,0,English,1,sweet,lit-fig,figurative,0.96,2
13,F,17,0,English,2,tall,lit-lit,literal,0.54,1
13,F,17,0,English,2,tall,lit-lit,literal,0.54,2
14,M,35,0,English,1,tall,lit-fig,literal,0.61,1
14,M,35,0,English,1,tall,lit-fig,figurative,0.87,2
14,M,35,0,English,2,sweet,lit-lit,literal,0.57,1
14,M,35,0,English,2,sweet,lit-lit,literal,0.57,2
15,M,35,4,English,1,tall,lit-lit,literal,0.66,1
15,M,35,4,English,1,tall,lit-lit,literal,0.68,2
15,M,35,4,English,2,sweet,fig-lit,figurative,0.89,1
15,M,35,4,English,2,sweet,fig-lit,literal,0.68,2
16,F,65,6,English,1,tall,lit-fig,literal,0.76,1
16,F,65,6,English,1,tall,lit-fig,figurative,0.91,2
16,F,65,6,English,2,sweet,lit-lit,literal,0.56,1
16,F,65,6,English,2,sweet,lit-lit,literal,0.58,2
17,F,45,4,English,1,tall,lit-fig,literal,0.67,1
17,F,45,4,English,1,tall,lit-fig,figurative,0.86,2
17,F,45,4,English,2,sweet,lit-lit,literal,0.65,1
17,F,45,4,English,2,sweet,lit-lit,literal,0.67,2
18,F,45,6,English,1,tall,lit-lit,literal,0.78,1
18,F,45,6,English,1,tall,lit-lit,literal,0.8,2
18,F,45,6,English,2,sweet,lit-fig,literal,0.72,1
18,F,45,6,English,2,sweet,lit-fig,figurative,0.92,2
19,M,45,4,English,1,sweet,lit-lit,literal,0.66,1
19,M,45,4,English,1,sweet,lit-lit,literal,0.67,2
19,M,45,4,English,2,tall,lit-fig,literal,0.65,1
19,M,45,4,English,2,tall,lit-fig,figurative,0.95,2
20,F,25,8,English,1,tall,lit-lit,literal,0.69,1
20,F,25,8,English,1,tall,lit-lit,literal,0.71,2
20,F,25,8,English,2,sweet,lit-fig,literal,0.62,1
20,F,25,8,English,2,sweet,lit-fig,figurative,0.86,2
21,M,25,6,English,1,tall,fig-lit,figurative,0.97,1
21,M,25,6,English,1,tall,fig-lit,literal,0.74,2
21,M,25,6,English,2,sweet,lit-lit,literal,0.86,1
21,M,25,6,English,2,sweet,lit-lit,literal,0.87,2
22,M,45,8,english,1,tall,lit-lit,literal,0.91,1
22,M,45,8,english,1,tall,lit-lit,literal,0.79,2
22,M,45,8,english,2,sweet,fig-lit,figurative,1,1
22,M,45,8,english,2,sweet,fig-lit,literal,0.8,2
23,M,45,0,English,1,sweet,fig-lit,figurative,0.97,1
23,M,45,0,English,1,sweet,fig-lit,literal,0.69,2
23,M,45,0,English,2,tall,lit-lit,literal,0.74,1
23,M,45,0,English,2,tall,lit-lit,literal,0.74,2
24,F,35,4,ENGLISH,1,tall,lit-lit,literal,0.51,1
24,F,35,4,ENGLISH,1,tall,lit-lit,literal,1,2
24,F,35,4,ENGLISH,2,sweet,lit-fig,literal,0.51,1
24,F,35,4,ENGLISH,2,sweet,lit-fig,figurative,0.99,2
25,M,45,8,English,1,sweet,lit-lit,literal,0.54,1
25,M,45,8,English,1,sweet,lit-lit,literal,0.55,2
25,M,45,8,English,2,tall,lit-fig,literal,0.51,1
25,M,45,8,English,2,tall,lit-fig,figurative,1,2
26,M,25,6,english,1,sweet,lit-lit,literal,0.63,1
26,M,25,6,english,1,sweet,lit-lit,literal,0.63,2
