"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.condition"	"Answer.option1"	"Answer.option2"	"Answer.option1Types"	"Answer.option2Types"	"Answer.orders"	"Answer.discourseOrders"	"Answer.qualities"	"Answer.gender"	"Answer.age"	"Answer.income"	"Answer.nativeLanguage"	"Answer.comments"
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3RYC5T2D73USFNLFUCZ0MO5B7HZPRX"	1	"Approved"	"Tue Feb 24 07:10:18 PST 2015"	"Mon Feb 23 14:29:19 PST 2015"	"Mon Feb 23 14:30:18 PST 2015"	"Mon Feb 23 17:34:48 PST 2015"	""	""	""	""	"1"	"[1,0.67]"	"[0.81,0.67]"	"[""figurative"",""literal""]"	"[""literal"",""literal""]"	"[1,2]"	"[""fig-lit"",""lit-lit""]"	"[""tall"",""sweet""]"	"""M"""	"""35"""	"""4"""	"""English"""	""""""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3RU7GD8VPOU4G2LS91Z5CYA7TJIPSL"	2	"Approved"	"Tue Feb 24 07:10:31 PST 2015"	"Mon Feb 23 14:29:20 PST 2015"	"Mon Feb 23 14:30:31 PST 2015"	"Mon Feb 23 17:34:49 PST 2015"	""	""	""	""	"1"	"[0.69,0.67]"	"[0.66,0.98]"	"[""literal"",""literal""]"	"[""literal"",""figurative""]"	"[1,2]"	"[""lit-lit"",""lit-fig""]"	"[""tall"",""sweet""]"	"""M"""	"""35"""	"""6"""	"""English"""	"""none"""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3TDXMTX3CBV7CI0RPT6I2WD3PGQI6G"	3	"Approved"	"Tue Feb 24 07:10:32 PST 2015"	"Mon Feb 23 14:29:33 PST 2015"	"Mon Feb 23 14:30:32 PST 2015"	"Mon Feb 23 17:34:49 PST 2015"	""	""	""	""	"1"	"[1,1]"	"[1,0.8]"	"[""literal"",""figurative""]"	"[""literal"",""literal""]"	"[1,2]"	"[""lit-lit"",""fig-lit""]"	"[""sweet"",""tall""]"	"""F"""	"""17"""	"""10"""	"""English"""	"""none"""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3RJSC4XJ10V0MJJXGK774MZ77RY50S"	4	"Approved"	"Tue Feb 24 07:10:44 PST 2015"	"Mon Feb 23 14:29:33 PST 2015"	"Mon Feb 23 14:30:44 PST 2015"	"Mon Feb 23 17:34:49 PST 2015"	""	""	""	""	"1"	"[0.81,0.82]"	"[1,0.82]"	"[""literal"",""literal""]"	"[""figurative"",""literal""]"	"[1,2]"	"[""lit-fig"",""lit-lit""]"	"[""tall"",""sweet""]"	"""M"""	"""35"""	"""4"""	"""English"""	""""""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3JPSL1DZ5S00DLNLCM0MN9B67YANAR"	5	"Approved"	"Tue Feb 24 07:11:08 PST 2015"	"Mon Feb 23 14:29:31 PST 2015"	"Mon Feb 23 14:31:08 PST 2015"	"Mon Feb 23 17:34:49 PST 2015"	""	""	""	""	"1"	"[1,0.72]"	"[0.67,0.72]"	"[""figurative"",""literal""]"	"[""literal"",""literal""]"	"[1,2]"	"[""fig-lit"",""lit-lit""]"	"[""sweet"",""tall""]"	"""M"""	"""45"""	"""6"""	"""English"""	""""""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3Z7VU45IPYIY0MO4JRIN7VPCDIC1ZY"	6	"Approved"	"Tue Feb 24 07:11:30 PST 2015"	"Mon Feb 23 14:29:27 PST 2015"	"Mon Feb 23 14:31:30 PST 2015"	"Mon Feb 23 17:34:49 PST 2015"	""	""	""	""	"1"	"[0.89,0.69]"	"[0.73,0.61]"	"[""figurative"",""literal""]"	"[""literal"",""literal""]"	"[1,2]"	"[""fig-lit"",""lit-lit""]"	"[""tall"",""sweet""]"	"""M"""	"""35"""	"""4"""	"""English"""	""""""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3RU7GD8VPOU4G2LS91Z5CYA7TJISPO"	7	"Approved"	"Tue Feb 24 07:12:51 PST 2015"	"Mon Feb 23 14:29:16 PST 2015"	"Mon Feb 23 14:32:51 PST 2015"	"Mon Feb 23 17:34:49 PST 2015"	""	""	""	""	"1"	"[0.58,0.91]"	"[0.59,0.45]"	"[""literal"",""figurative""]"	"[""literal"",""literal""]"	"[1,2]"	"[""lit-lit"",""fig-lit""]"	"[""tall"",""sweet""]"	"""M"""	"""35"""	"""4"""	"""English"""	""""""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XLBSAQ9Z4DCB83687ZW85GPG4C7Z1"	8	"Approved"	"Tue Feb 24 07:15:04 PST 2015"	"Mon Feb 23 14:29:26 PST 2015"	"Mon Feb 23 14:35:04 PST 2015"	"Mon Feb 23 17:34:50 PST 2015"	""	""	""	""	"1"	"[0.79,0.89]"	"[0.76,0.64]"	"[""literal"",""figurative""]"	"[""literal"",""literal""]"	"[1,2]"	"[""lit-lit"",""fig-lit""]"	"[""tall"",""sweet""]"	"""M"""	"""25"""	"""4"""	"""English"""	"""n/a"""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3Q5ZZ9ZEVOGI48O0BOKMX15PQPB85J"	9	"Approved"	"Tue Feb 24 07:18:16 PST 2015"	"Mon Feb 23 14:29:21 PST 2015"	"Mon Feb 23 14:38:16 PST 2015"	"Mon Feb 23 17:34:50 PST 2015"	""	""	""	""	"1"	"[0.87,1]"	"[0.7,0.71]"	"[""literal"",""figurative""]"	"[""literal"",""literal""]"	"[1,2]"	"[""lit-lit"",""fig-lit""]"	"[""tall"",""sweet""]"	"""M"""	"""35"""	"""4"""	"""English"""	"""none"""
"3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"3XL0AZPMI5CQC481FIO9TUT2MNSCQZ"	"Fun experiment about conversations!"	"Read different conversations and answer questions about them. This should take around 5 minutes."	"behavior,survey,psychology,estimate,experiment,language"	"$0.50"	"Mon Feb 23 14:29:05 PST 2015"	"40"	"0"	"0"	"20"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Tue Feb 24 12:25:36 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV45TNZ3724HEXVOVJFFBDF"	"32UTUBMZ7GXI401MKRM9S1PPBJXVBB"	10	"Approved"	"Tue Feb 24 07:21:31 PST 2015"	"Mon Feb 23 14:29:27 PST 2015"	"Mon Feb 23 14:41:31 PST 2015"	"Mon Feb 23 17:34:50 PST 2015"	""	""	""	""	"1"	"[0.63,0.75]"	"[1,0.76]"	"[""literal"",""literal""]"	"[""figurative"",""literal""]"	"[1,2]"	"[""lit-fig"",""lit-lit""]"	"[""tall"",""sweet""]"	"""M"""	"""55"""	"""6"""	"""English"""	"""Thank you for the survey."""
