"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.adjectives"	"Answer.comments"	"Answer.gender"	"Answer.categoryIDs"	"Answer.nativeLanguage"	"Answer.orders"	"Answer.income"	"Answer.animals"	"Answer.age"
"28P0G5R98D8JX84CSXJTTYCIZONTD6"	"2IXIXKO2L92H8PMF22UYUCCF0RLEDN"	"Fun animal game"	"Write the first word tht comes to mind when you think about different animals. This should take 5 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.50"	"Mon Dec 16 08:19:03 PST 2013"	"40"	"0"	"0"	"40"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Dec 16 13:46:41 PST 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=28P0G5R98D8JX84CSXJTTYCIZONTD6"	"25CI62NJQ217WCZEMMXBQLC0B3XVNH"	"A1T8NLL1O0Q1J"	"Approved"	"Tue Dec 17 01:04:58 PST 2013"	"Mon Dec 16 08:20:49 PST 2013"	"Mon Dec 16 08:24:58 PST 2013"	"Tue Dec 17 01:09:42 PST 2013"	""	""	""	""	"[""scary"",""wise"",""aquatic"",""slimy"",""caged"",""cute"",""friendly"",""giant"",""yellow"",""crafty"",""hairy"",""fluffy"",""courageous"",""mighty"",""fun loving"",""exotic"",""playful"",""regal"",""horny"",""gigantic"",""strong"",""cuddly"",""smelly"",""soft"",""annoying"",""wild"",""humpback"",""loud"",""loyal"",""sly"",""intimidating"",""filthy""]"	""""""	"""F"""	"[3,22,13,15,2,24,10,18,4,30,7,26,20,1,19,31,21,28,17,12,23,11,8,16,27,6,29,5,9,14,32,25]"	"""English"""	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]"	"""11"""	"[""BEAR"",""OWL"",""FISH"",""FROG"",""BAT"",""PENGUIN"",""DOLPHIN"",""HORSE"",""BEE"",""WOLF"",""CAT"",""RABBIT"",""LION"",""ANT"",""KANGAROO"",""ZEBRA"",""MONKEY"",""TIGER"",""GOAT"",""ELEPHANT"",""OX"",""DUCK"",""COW"",""GOOSE"",""SHEEP"",""BUFFALO"",""WHALE"",""BIRD"",""DOG"",""FOX"",""SHARK"",""PIG""]"	"""45"""
"28P0G5R98D8JX84CSXJTTYCIZONTD6"	"2IXIXKO2L92H8PMF22UYUCCF0RLEDN"	"Fun animal game"	"Write the first word tht comes to mind when you think about different animals. This should take 5 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.50"	"Mon Dec 16 08:19:03 PST 2013"	"40"	"0"	"0"	"40"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Dec 16 13:46:41 PST 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=28P0G5R98D8JX84CSXJTTYCIZONTD6"	"2418JHSTLB3LUS1O5NFBPEJWBNGSG0"	"A28I79QOYVQOFG"	"Approved"	"Tue Dec 17 01:05:49 PST 2013"	"Mon Dec 16 08:19:53 PST 2013"	"Mon Dec 16 08:25:49 PST 2013"	"Tue Dec 17 01:09:42 PST 2013"	""	""	""	""	"[""crazy"",""weird"",""funny"",""slimy"",""big"",""furry"",""cute"",""massive"",""smelly"",""smart"",""scary"",""huge"",""important"",""perfect"",""gray"",""extinct"",""jumpy"",""striped"",""smelly"",""cunning"",""fierce"",""flighty"",""warm"",""unique"",""dangerous"",""hurtful"",""annoying"",""sweet"",""sketchy"",""curious"",""comedy"",""nimble""]"	"""thanks for the fun survey"""	"""M"""	"[21,17,11,15,23,3,26,20,25,24,22,29,8,9,12,6,19,28,13,30,32,5,27,31,2,4,1,10,18,7,16,14]"	"""english"""	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]"	"""4"""	"[""MONKEY"",""GOAT"",""DUCK"",""FROG"",""OX"",""BEAR"",""RABBIT"",""LION"",""PIG"",""PENGUIN"",""OWL"",""WHALE"",""COW"",""DOG"",""ELEPHANT"",""BUFFALO"",""KANGAROO"",""TIGER"",""FISH"",""WOLF"",""SHARK"",""BIRD"",""SHEEP"",""ZEBRA"",""BAT"",""BEE"",""ANT"",""DOLPHIN"",""HORSE"",""CAT"",""GOOSE"",""FOX""]"	"""35"""
"28P0G5R98D8JX84CSXJTTYCIZONTD6"	"2IXIXKO2L92H8PMF22UYUCCF0RLEDN"	"Fun animal game"	"Write the first word tht comes to mind when you think about different animals. This should take 5 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.50"	"Mon Dec 16 08:19:03 PST 2013"	"40"	"0"	"0"	"40"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Dec 16 13:46:41 PST 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=28P0G5R98D8JX84CSXJTTYCIZONTD6"	"2CFJKM05BMJTOUO1YLKPFRACPX0IDQ"	"ARNTOT4L28BBP"	"Approved"	"Tue Dec 17 01:07:28 PST 2013"	"Mon Dec 16 08:21:52 PST 2013"	"Mon Dec 16 08:27:28 PST 2013"	"Tue Dec 17 01:09:42 PST 2013"	""	""	""	""	"[""bird"",""mammal"",""pretty"",""not a horse"",""doggie"",""supper"",""swimmer"",""lunch"",""roasted"",""bbq"",""rug"",""sushi"",""annoying"",""bacon"",""king"",""puller"",""lap warmer"",""self propelled lawnmower"",""buddy"",""friend"",""wily"",""hamburgers"",""fun"",""america"",""smart"",""ride"",""gumbo"",""legs"",""exterminator"",""filthy"",""aussie burgers"",""population control""]"	"""none"""	"""M"""	"[16,10,5,31,30,27,24,26,11,32,3,29,1,25,20,23,7,17,9,4,14,8,12,6,22,18,13,15,2,21,19,28]"	"""english"""	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]"	"""10"""	"[""GOOSE"",""DOLPHIN"",""BIRD"",""ZEBRA"",""WOLF"",""SHEEP"",""PENGUIN"",""RABBIT"",""DUCK"",""SHARK"",""BEAR"",""WHALE"",""ANT"",""PIG"",""LION"",""OX"",""CAT"",""GOAT"",""DOG"",""BEE"",""FOX"",""COW"",""ELEPHANT"",""BUFFALO"",""OWL"",""HORSE"",""FISH"",""FROG"",""BAT"",""MONKEY"",""KANGAROO"",""TIGER""]"	"""55"""
"28P0G5R98D8JX84CSXJTTYCIZONTD6"	"2IXIXKO2L92H8PMF22UYUCCF0RLEDN"	"Fun animal game"	"Write the first word tht comes to mind when you think about different animals. This should take 5 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.50"	"Mon Dec 16 08:19:03 PST 2013"	"40"	"0"	"0"	"40"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Dec 16 13:46:41 PST 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=28P0G5R98D8JX84CSXJTTYCIZONTD6"	"2W6C1PC6SK9RDLVTVNQENMAFMERP1I"	"A2IASXMEJ90PQY"	"Approved"	"Tue Dec 17 01:09:09 PST 2013"	"Mon Dec 16 08:21:08 PST 2013"	"Mon Dec 16 08:29:09 PST 2013"	"Tue Dec 17 01:09:42 PST 2013"	""	""	""	""	"[""gray"",""loud"",""black"",""slick"",""hooter"",""green"",""cute"",""fat"",""tiny"",""strong"",""huge"",""brown"",""feathery"",""wanderer"",""striped"",""small"",""strong"",""soft"",""warm"",""quacker"",""spotted"",""strong"",""striped"",""bumpy"",""howler"",""silly"",""big"",""smart"",""brown"",""sly"",""cuddly"",""wooly""]"	""""""	"""F"""	"[12,16,2,13,22,15,24,25,1,32,29,3,5,17,31,4,23,26,7,11,8,20,28,18,30,21,6,10,19,14,9,27]"	"""English"""	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]"	"""6"""	"[""ELEPHANT"",""GOOSE"",""BAT"",""FISH"",""OWL"",""FROG"",""PENGUIN"",""PIG"",""ANT"",""SHARK"",""WHALE"",""BEAR"",""BIRD"",""GOAT"",""ZEBRA"",""BEE"",""OX"",""RABBIT"",""CAT"",""DUCK"",""COW"",""LION"",""TIGER"",""HORSE"",""WOLF"",""MONKEY"",""BUFFALO"",""DOLPHIN"",""KANGAROO"",""FOX"",""DOG"",""SHEEP""]"	"""35"""
"28P0G5R98D8JX84CSXJTTYCIZONTD6"	"2IXIXKO2L92H8PMF22UYUCCF0RLEDN"	"Fun animal game"	"Write the first word tht comes to mind when you think about different animals. This should take 5 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.50"	"Mon Dec 16 08:19:03 PST 2013"	"40"	"0"	"0"	"40"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Dec 16 13:46:41 PST 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=28P0G5R98D8JX84CSXJTTYCIZONTD6"	"25H9746OQ1SNK3XV2CR57QKHKJ5N3D"	"AKG7VBOY97HKA"	"Approved"	"Tue Dec 17 01:10:51 PST 2013"	"Mon Dec 16 08:24:47 PST 2013"	"Mon Dec 16 08:30:51 PST 2013"	"Tue Dec 17 01:14:38 PST 2013"	""	""	""	""	"[""small"",""red"",""tall"",""black"",""brown"",""boxer"",""small'"",""gray"",""big"",""bigger"",""striped"",""killer"",""small"",""dirty"",""long"",""ugly"",""big"",""little"",""white"",""white"",""stripped"",""little"",""black"",""gray"",""black"",""brown"",""stripped"",""green"",""scared"",""big"",""scary"",""red""]"	"""Kind of fun!"""	"""F"""	"[13,14,19,8,10,9,1,7,23,29,31,32,26,25,16,2,6,22,11,17,28,24,18,30,3,21,4,15,27,12,20,5]"	"""English"""	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]"	"""4"""	"[""FISH"",""FOX"",""KANGAROO"",""COW"",""DOLPHIN"",""DOG"",""ANT"",""CAT"",""OX"",""WHALE"",""ZEBRA"",""SHARK"",""RABBIT"",""PIG"",""GOOSE"",""BAT"",""BUFFALO"",""OWL"",""DUCK"",""GOAT"",""TIGER"",""PENGUIN"",""HORSE"",""WOLF"",""BEAR"",""MONKEY"",""BEE"",""FROG"",""SHEEP"",""ELEPHANT"",""LION"",""BIRD""]"	"""66"""
"28P0G5R98D8JX84CSXJTTYCIZONTD6"	"2IXIXKO2L92H8PMF22UYUCCF0RLEDN"	"Fun animal game"	"Write the first word tht comes to mind when you think about different animals. This should take 5 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.50"	"Mon Dec 16 08:19:03 PST 2013"	"40"	"0"	"0"	"40"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Dec 16 13:46:41 PST 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=28P0G5R98D8JX84CSXJTTYCIZONTD6"	"2OJILKH1Q6SVKL7D4RHUCL5T8NF0JQ"	"A1Q2Y8OZT0TJ2S"	"Approved"	"Tue Dec 17 01:19:02 PST 2013"	"Mon Dec 16 08:23:20 PST 2013"	"Mon Dec 16 08:39:02 PST 2013"	"Tue Dec 17 01:19:39 PST 2013"	""	""	""	""	"[""sneaky"",""noisy"",""fluffy"",""large"",""ferocious"",""springy"",""fast"",""sneaky"",""quiet"",""majestic"",""soft"",""small"",""powerful"",""beautiful"",""wobbly"",""round"",""scary"",""loud"",""big"",""white"",""small"",""tiny"",""fast"",""friendly"",""quick"",""curios"",""swift"",""graceful"",""happy"",""slimey"",""quiet"",""huge""]"	"""This would not advance for me in Google Chrome. I switched to Internet Explorer and it worked great."""	"""F"""	"[14,11,30,6,20,19,4,7,22,12,27,15,23,5,24,25,32,16,3,8,17,1,28,9,31,21,26,18,10,13,2,29]"	"""English"""	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]"	"""4"""	"[""FOX"",""DUCK"",""WOLF"",""BUFFALO"",""LION"",""KANGAROO"",""BEE"",""CAT"",""OWL"",""ELEPHANT"",""SHEEP"",""FROG"",""OX"",""BIRD"",""PENGUIN"",""PIG"",""SHARK"",""GOOSE"",""BEAR"",""COW"",""GOAT"",""ANT"",""TIGER"",""DOG"",""ZEBRA"",""MONKEY"",""RABBIT"",""HORSE"",""DOLPHIN"",""FISH"",""BAT"",""WHALE""]"	"""35"""
"28P0G5R98D8JX84CSXJTTYCIZONTD6"	"2IXIXKO2L92H8PMF22UYUCCF0RLEDN"	"Fun animal game"	"Write the first word tht comes to mind when you think about different animals. This should take 5 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.50"	"Mon Dec 16 08:19:03 PST 2013"	"40"	"0"	"0"	"40"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Dec 16 13:46:41 PST 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=28P0G5R98D8JX84CSXJTTYCIZONTD6"	"2SL3HVWAVKI6W09VY6Y2599VEYIOG4"	"AO7FM98CP90CL"	"Approved"	"Tue Dec 17 01:27:18 PST 2013"	"Mon Dec 16 08:28:24 PST 2013"	"Mon Dec 16 08:47:18 PST 2013"	"Tue Dec 17 01:29:45 PST 2013"	""	""	""	""	"[""short"",""mean"",""young"",""fierce"",""tiny"",""quick "",""tall"",""rich"",""little"",""jumpy"",""weak"",""terrifying"",""striped"",""watery"",""big"",""jumpy"",""toothy"",""large"",""big"",""fast"",""fat"",""silent"",""loud"",""qiiet"",""shy"",""strong"",""gullible"",""selfish"",""creepy"",""fast"",""sweet"",""loyal""]"	""""""	"""F"""	"[24,30,11,20,1,26,6,3,4,19,5,28,31,13,23,15,32,12,29,14,16,7,8,22,27,18,17,25,2,21,10,9]"	"""English """	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]"	"""4"""	"[""PENGUIN"",""WOLF"",""DUCK"",""LION"",""ANT"",""RABBIT"",""BUFFALO"",""BEAR"",""BEE"",""KANGAROO"",""BIRD"",""TIGER"",""ZEBRA"",""FISH"",""OX"",""FROG"",""SHARK"",""ELEPHANT"",""WHALE"",""FOX"",""GOOSE"",""CAT"",""COW"",""OWL"",""SHEEP"",""HORSE"",""GOAT"",""PIG"",""BAT"",""MONKEY"",""DOLPHIN"",""DOG""]"	"""35"""
"28P0G5R98D8JX84CSXJTTYCIZONTD6"	"2IXIXKO2L92H8PMF22UYUCCF0RLEDN"	"Fun animal game"	"Write the first word tht comes to mind when you think about different animals. This should take 5 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.50"	"Mon Dec 16 08:19:03 PST 2013"	"40"	"0"	"0"	"40"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Dec 16 13:46:41 PST 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=28P0G5R98D8JX84CSXJTTYCIZONTD6"	"2HIEOZFYQS1CM6CTB2IDY4IHY6HLIO"	"A1FKCYWMD3HCXU"	"Approved"	"Tue Dec 17 01:38:40 PST 2013"	"Mon Dec 16 08:56:32 PST 2013"	"Mon Dec 16 08:58:40 PST 2013"	"Tue Dec 17 01:39:51 PST 2013"	""	""	""	""	"[""slow"",""scary"",""fast"",""wiley"",""strong"",""tasty"",""annoying"",""jumpy"",""strong"",""quick"",""strong"",""annoying"",""loyal"",""fearsome"",""cute"",""strong"",""steady"",""smart"",""fast"",""quiet"",""annoying"",""patient"",""cute"",""old"",""quick"",""fast"",""fast"",""big"",""tasty"",""loyal"",""quiet"",""ferocious""]"	""""""	"""M"""	"[27,3,32,14,12,25,11,19,1,5,23,21,9,28,26,20,6,10,2,7,16,15,24,17,31,13,4,29,8,18,22,30]"	"""english"""	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]"	"""4"""	"[""SHEEP"",""BEAR"",""SHARK"",""FOX"",""ELEPHANT"",""PIG"",""DUCK"",""KANGAROO"",""ANT"",""BIRD"",""OX"",""MONKEY"",""DOG"",""TIGER"",""RABBIT"",""LION"",""BUFFALO"",""DOLPHIN"",""BAT"",""CAT"",""GOOSE"",""FROG"",""PENGUIN"",""GOAT"",""ZEBRA"",""FISH"",""BEE"",""WHALE"",""COW"",""HORSE"",""OWL"",""WOLF""]"	"""25"""
"28P0G5R98D8JX84CSXJTTYCIZONTD6"	"2IXIXKO2L92H8PMF22UYUCCF0RLEDN"	"Fun animal game"	"Write the first word tht comes to mind when you think about different animals. This should take 5 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.50"	"Mon Dec 16 08:19:03 PST 2013"	"40"	"0"	"0"	"40"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Dec 16 13:46:41 PST 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=28P0G5R98D8JX84CSXJTTYCIZONTD6"	"2CQU98JHSTLBXYQK7O0IUBJJGJXEQX"	"AGPBP85B17VXL"	"Approved"	"Tue Dec 17 01:39:15 PST 2013"	"Mon Dec 16 08:54:56 PST 2013"	"Mon Dec 16 08:59:15 PST 2013"	"Tue Dec 17 01:44:49 PST 2013"	""	""	""	""	"[""Green"",""Jumping"",""eats"",""angry"",""lazy"",""scary"",""flying"",""bites"",""swimming"",""alone"",""Group"",""Caring"",""killer"",""NA"",""killer"",""caring"",""angry"",""hunter"",""caring"",""alone"",""africa"",""afraid"",""huge"",""honest"",""useless"",""meat"",""fast "",""attacker"",""flying"",""swimming"",""killer"",""scared""]"	""""""	"""M"""	"[15,21,26,7,17,14,2,4,13,22,23,19,28,16,32,29,20,1,10,24,31,25,12,9,27,8,18,3,5,11,30,6]"	"""English"""	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]"	"""4"""	"[""FROG"",""MONKEY"",""RABBIT"",""CAT"",""GOAT"",""FOX"",""BAT"",""BEE"",""FISH"",""OWL"",""OX"",""KANGAROO"",""TIGER"",""GOOSE"",""SHARK"",""WHALE"",""LION"",""ANT"",""DOLPHIN"",""PENGUIN"",""ZEBRA"",""PIG"",""ELEPHANT"",""DOG"",""SHEEP"",""COW"",""HORSE"",""BEAR"",""BIRD"",""DUCK"",""WOLF"",""BUFFALO""]"	"""25"""
"28P0G5R98D8JX84CSXJTTYCIZONTD6"	"2IXIXKO2L92H8PMF22UYUCCF0RLEDN"	"Fun animal game"	"Write the first word tht comes to mind when you think about different animals. This should take 5 minutes."	"animals,words,language,survey,psychology,experiment"	"$0.50"	"Mon Dec 16 08:19:03 PST 2013"	"40"	"0"	"0"	"40"	"Reviewable"	"NotReviewed"	"1 1"	"7200"	"60000"	"Mon Dec 16 13:46:41 PST 2013"	"http://requester.mturk.com/mturk/manageHIT?HITId=28P0G5R98D8JX84CSXJTTYCIZONTD6"	"2M7806UFBNFSPTKQB805YW6SDTIG2M"	"A1NK6UXWXKFMC7"	"Approved"	"Tue Dec 17 01:42:23 PST 2013"	"Mon Dec 16 08:22:37 PST 2013"	"Mon Dec 16 09:02:23 PST 2013"	"Tue Dec 17 01:44:49 PST 2013"	""	""	""	""	"[""wet"",""stinky"",""black"",""fat"",""wet"",""funny"",""loud"",""fuzzy"",""fiesty"",""tiny"",""tall"",""striped"",""sly"",""haughty"",""cute"",""bumbling"",""big"",""happy"",""scary"",""loud"",""wise"",""proud"",""dirty"",""scheming"",""friendly"",""wise"",""sly"",""compassionate"",""lazy"",""wary"",""angry"",""furry""]"	""""""	"""F"""	"[13,17,27,29,11,21,5,3,19,1,18,31,14,7,2,6,23,4,32,9,22,20,25,28,24,10,30,12,8,15,16,26]"	"""englush"""	"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]"	"""10"""	"[""FISH"",""GOAT"",""SHEEP"",""WHALE"",""DUCK"",""MONKEY"",""BIRD"",""BEAR"",""KANGAROO"",""ANT"",""HORSE"",""ZEBRA"",""FOX"",""CAT"",""BAT"",""BUFFALO"",""OX"",""BEE"",""SHARK"",""DOG"",""OWL"",""LION"",""PIG"",""TIGER"",""PENGUIN"",""DOLPHIN"",""WOLF"",""ELEPHANT"",""COW"",""FROG"",""GOOSE"",""RABBIT""]"	"""45"""
