workerID,gender,age,income,language,order,categoryID,animal,condition,set1prob,set2prob,set3prob,set4prob,set1,set2,set3,set4
1,M,25,0,english,1,32,zebra,person,0.375,0.375,0.55,0.575,striped;exotic,striped;native,unpatterned;exotic,unpatterned;native
1,M,25,0,english,2,19,kangaroo,animal,0.625,0.125,0.6,0.35,jumpy;bouncy,jumpy;inelastic,relaxed;bouncy,relaxed;inelastic
1,M,25,0,english,3,17,goose,animal,0.275,0.6,0.15,0.625,loud;mean,loud;nice,quiet;mean,quiet;nice
1,M,25,0,english,4,12,elephant,person,0.7,0.575,0.75,0.375,huge;smart,huge;stupid,small;smart,small;stupid
1,M,25,0,english,5,2,bat,animal,0.675,0.25,0.775,0.125,scary;blind,scary;sighted,unalarming;blind,unalarming;sighted
1,M,25,0,english,6,14,fox,animal,0.625,0.675,0.325,0.7,sly;smart,sly;stupid,artless;smart,artless;stupid
1,M,25,0,english,7,9,dog,animal,0.25,0.15,0.325,0.6,loyal;friendly,loyal;unfriendly,disloyal;friendly,disloyal;unfriendly
1,M,25,0,english,8,11,duck,person,0.275,0.375,0.35,0.825,loud;cute,loud;unattractive,quiet;cute,quiet;unattractive
1,M,25,0,english,9,7,cat,animal,0.3,0.15,0.75,0.6,independent;lazy,independent;fast,dependent;lazy,dependent;fast
1,M,25,0,english,10,8,cow,person,0.35,0.575,0.2,0.65,fat;dumb,fat;smart,thin;dumb,thin;smart
1,M,25,0,english,11,3,bear,person,0.675,0.375,0.175,0.725,scary;big,scary;small,unalarming;big,unalarming;small
1,M,25,0,english,12,18,horse,animal,0.65,0.15,0.7,0.425,fast;strong,fast;weak,slow;strong,slow;weak
1,M,25,0,english,13,5,bird,person,0.35,0.65,0.45,0.725,free;graceful,free;awkward,unfree;graceful,unfree;awkward
1,M,25,0,english,14,27,shark,animal,0.225,0.225,0.7,0.275,scary;dangerous,scary;safe,unalarming;dangerous,unalarming;safe
1,M,25,0,english,15,24,penguin,animal,0.675,0.4,0.625,0.8,cold;cute,cold;unattractive,hot;cute,hot;unattractive
1,M,25,0,english,16,10,dolphin,animal,0.1,0.775,0.8,0.825,smart;friendly,smart;unfriendly,stupid;friendly,stupid;unfriendly
2,M,35,8,English,1,27,shark,animal,0.825,0.275,0.775,0.375,scary;dangerous,scary;safe,unalarming;dangerous,unalarming;safe
2,M,35,8,English,2,15,frog,animal,0.75,0.725,0.25,0.275,slimy;noisy,slimy;quiet,nonslippery;noisy,nonslippery;quiet
2,M,35,8,English,3,10,dolphin,person,0.725,0.775,0.75,0.775,smart;friendly,smart;unfriendly,stupid;friendly,stupid;unfriendly
2,M,35,8,English,4,19,kangaroo,person,0.575,0.575,0.75,0.675,jumpy;bouncy,jumpy;inelastic,relaxed;bouncy,relaxed;inelastic
2,M,35,8,English,5,5,bird,person,0.525,0.55,0.575,0.525,free;graceful,free;awkward,unfree;graceful,unfree;awkward
2,M,35,8,English,6,2,bat,person,0.6,0.7,0.65,0.65,scary;blind,scary;sighted,unalarming;blind,unalarming;sighted
2,M,35,8,English,7,24,penguin,person,0.55,0.8,0.775,0.175,cold;cute,cold;unattractive,hot;cute,hot;unattractive
2,M,35,8,English,8,21,monkey,animal,0.575,0.65,0.575,0.75,funny;smart,funny;stupid,humorless;smart,humorless;stupid
2,M,35,8,English,9,11,duck,animal,0.55,0.65,0.6,0.6,loud;cute,loud;unattractive,quiet;cute,quiet;unattractive
