workerid,gender,age,income,categoryID,order,animal,f1,f2,f3,f1prob_animal,f2prob_animal,f3prob_animal,f1prob_person,f2prob_person,f3prob_person
AX02RVCLHA0B,F,45,4,11,1,duck,loud,cute,quacking,0.7,1,0.975,0.5,0.5,0.275
AX02RVCLHA0B,F,45,4,15,2,frog,slimy,noisy,jumpy,0.925,0.925,0.925,0.275,0.725,0.5
AX02RVCLHA0B,F,45,4,32,3,zebra,striped,exotic,fast,0.975,1,0.975,0.075,0.075,0.5
AX02RVCLHA0B,F,45,4,23,4,ox,strong,big,slow,0.975,0.975,0.475,0.7,0.5,0.5
AX02RVCLHA0B,F,45,4,17,5,goose,loud,mean,annoying,0.975,1,1,0.475,0.5,0.5
AX02RVCLHA0B,F,45,4,22,6,owl,wise,quiet,nocturnal,0.5,0.3,0.925,0.5,0.5,0.5
AX02RVCLHA0B,F,45,4,19,7,kangaroo,jumpy,bouncy,cute,1,0.975,1,0.5,0.5,0.5
AX02RVCLHA0B,F,45,4,24,8,penguin,cold,cute,funny,1,0.975,1,0.5,0.5,0.5
AX02RVCLHA0B,F,45,4,21,9,monkey,funny,smart,playful,1,0.975,1,0.7,0.7,0.5
AX02RVCLHA0B,F,45,4,29,10,tiger,striped,fierce,scary,1,0.975,1,0.275,0.5,0.5
AX02RVCLHA0B,F,45,4,25,11,pig,dirty,fat,smelly,0.975,0.975,0.975,0.5,0.5,0.5
AX02RVCLHA0B,F,45,4,4,12,bee,busy,small,angry,1,0.975,1,0.5,0.5,0.5
AX02RVCLHA0B,F,45,4,5,13,bird,small,graceful,free,0.975,1,0.975,0.5,0.475,0.5
AX02RVCLHA0B,F,45,4,20,14,lion,scary,strong,ferocious,1,1,1,0.5,0.475,0.275
AX02RVCLHA0B,F,45,4,3,15,bear,scary,big,fierce,0.975,0.975,0.975,0.525,0.5,0.5
AX02RVCLHA0B,F,45,4,10,16,dolphin,smart,friendly,playful,0.975,0.975,0.975,0.725,0.7,0.5
AX02RVCLHA0B,F,45,4,18,17,horse,fast,strong,beautiful,0.975,0.975,0.975,0.5,0.5,0.275
AX02RVCLHA0B,F,45,4,8,18,cow,fat,lazy,dumb,1,1,0.5,0.5,0.5,0.5
AX02RVCLHA0B,F,45,4,12,19,elephant,huge,smart,heavy,1,0.975,0.975,0.5,0.5,0.5
AX02RVCLHA0B,F,45,4,9,20,dog,loyal,friendly,happy,0.975,1,1,0.5,0.5,0.5
AX02RVCLHA0B,F,45,4,30,21,whale,large,graceful,majestic,0.975,1,0.975,0.5,0.5,0.5
AX02RVCLHA0B,F,45,4,2,22,bat,scary,blind,nocturnal,1,0.7,0.925,0.5,0.5,0.5
AX02RVCLHA0B,F,45,4,16,23,goat,funny,hungry,loud,0.975,0.975,0.975,0.5,0.5,0.5
AX02RVCLHA0B,F,45,4,6,24,buffalo,big,strong,wild,0.975,0.975,0.975,0.5,0.5,0.275
AX02RVCLHA0B,F,45,4,28,25,sheep,wooly,fluffy,dumb,0.975,0.975,0.975,0.275,0.3,0.275
AX02RVCLHA0B,F,45,4,1,26,ant,small,strong,busy,0.975,1,0.975,0.5,0.5,0.5
AX02RVCLHA0B,F,45,4,14,27,fox,sly,smart,pretty,0.975,0.975,0.975,0.5,0.5,0.275
AX02RVCLHA0B,F,45,4,27,28,shark,scary,mean,dangerous,1,1,0.975,0.5,0.5,0.5
AX02RVCLHA0B,F,45,4,13,29,fish,scaly,wet,smelly,0.975,0.975,0.975,0.275,0.275,0.5
AX02RVCLHA0B,F,45,4,31,30,wolf,scary,mean,angry,1,0.975,0.975,0.5,0.5,0.5
AX02RVCLHA0B,F,45,4,7,31,cat,independent,lazy,soft,0.975,0.975,0.975,0.5,0.5,0.3
AX02RVCLHA0B,F,45,4,26,32,rabbit,fast,furry,cute,0.975,0.975,1,0.5,0.275,0.5
A25JOUC4BDBDQI,M,35,4,28,1,sheep,wooly,fluffy,dumb,0.95,0.95,0.95,0,0,0.5
A25JOUC4BDBDQI,M,35,4,14,2,fox,sly,smart,pretty,1,0.975,0.975,0.5,0.5,0.025
A25JOUC4BDBDQI,M,35,4,20,3,lion,scary,strong,ferocious,0.975,0.975,0.975,0.025,0.5,0.025
A25JOUC4BDBDQI,M,35,4,3,4,bear,scary,big,fierce,0.975,0.975,0.975,0,0.5,0
A25JOUC4BDBDQI,M,35,4,22,5,owl,wise,quiet,nocturnal,0.275,0.975,0.975,0.5,0.5,0.5
A25JOUC4BDBDQI,M,35,4,19,6,kangaroo,jumpy,bouncy,cute,0.95,0.95,0.95,0.275,0.3,0.5
A25JOUC4BDBDQI,M,35,4,13,7,fish,scaly,wet,smelly,0.975,0.975,0.975,0,0.025,0.5
A25JOUC4BDBDQI,M,35,4,6,8,buffalo,big,strong,wild,0.95,0.925,0.925,0.5,0.5,0.025
A25JOUC4BDBDQI,M,35,4,12,9,elephant,huge,smart,heavy,0.975,0.5,0.975,0.5,0.5,0.5
A25JOUC4BDBDQI,M,35,4,30,10,whale,large,graceful,majestic,0.975,0.975,0.975,0.5,0.5,0.075
A25JOUC4BDBDQI,M,35,4,26,11,rabbit,fast,furry,cute,0.975,0.975,0.975,0.05,0.05,0.5
A25JOUC4BDBDQI,M,35,4,4,12,bee,busy,small,angry,0.95,0.95,0.5,0.5,0.5,0.5
A25JOUC4BDBDQI,M,35,4,5,13,bird,small,graceful,free,0.95,0.95,0.95,0.275,0.5,0.925
A25JOUC4BDBDQI,M,35,4,16,14,goat,funny,hungry,loud,0.275,0.7,0.275,0.725,0.725,0.5
A25JOUC4BDBDQI,M,35,4,7,15,cat,independent,lazy,soft,0.925,0.925,0.925,0.5,0.5,0.05
A25JOUC4BDBDQI,M,35,4,8,16,cow,fat,lazy,dumb,0.925,0.95,0.925,0.5,0.5,0.5
A25JOUC4BDBDQI,M,35,4,10,17,dolphin,smart,friendly,playful,0.975,0.975,0.975,0.5,0.5,0.5
A25JOUC4BDBDQI,M,35,4,21,18,monkey,funny,smart,playful,0.975,0.95,0.95,0.5,0.5,0.5
A25JOUC4BDBDQI,M,35,4,32,19,zebra,striped,exotic,fast,0.95,0.95,0.95,0.05,0.05,0.5
A25JOUC4BDBDQI,M,35,4,2,20,bat,scary,blind,nocturnal,0.075,0.925,0.925,0.5,0.5,0.5
A25JOUC4BDBDQI,M,35,4,17,21,goose,loud,mean,annoying,0.95,0.275,0.925,0.5,0.5,0.5
A25JOUC4BDBDQI,M,35,4,25,22,pig,dirty,fat,smelly,0.95,0.925,0.925,0.5,0.5,0.5
A25JOUC4BDBDQI,M,35,4,1,23,ant,small,strong,busy,0.925,0.925,0.925,0.5,0.5,0.5
A25JOUC4BDBDQI,M,35,4,18,24,horse,fast,strong,beautiful,0.975,0.975,0.975,0.5,0.5,0.275
A25JOUC4BDBDQI,M,35,4,11,25,duck,loud,cute,quacking,0.975,0.95,0.925,0.5,0.075,0.075
A25JOUC4BDBDQI,M,35,4,27,26,shark,scary,mean,dangerous,0.95,0.95,0.95,0.5,0.5,0.5
A25JOUC4BDBDQI,M,35,4,31,27,wolf,scary,mean,angry,0.95,0.05,0.05,0.5,0.5,0.5
A25JOUC4BDBDQI,M,35,4,29,28,tiger,striped,fierce,scary,0.975,0.975,0.975,0.05,0.05,0.5
A25JOUC4BDBDQI,M,35,4,24,29,penguin,cold,cute,funny,0.95,0.95,0.95,0.05,0.025,0.025
A25JOUC4BDBDQI,M,35,4,15,30,frog,slimy,noisy,jumpy,0.95,0.95,0.95,0.025,0.5,0.5
A25JOUC4BDBDQI,M,35,4,9,31,dog,loyal,friendly,happy,0.95,0.5,0.5,0.475,0.5,0.5
A25JOUC4BDBDQI,M,35,4,23,32,ox,strong,big,slow,0.925,0.95,0.925,0.5,0.5,0.5
A2STEFCSDKQ7OR,M,45,4,11,1,duck,loud,cute,quacking,0.65,0.7,0.8,0.8,0.95,0.075
A2STEFCSDKQ7OR,M,45,4,31,2,wolf,scary,mean,angry,0.775,0.9,0.825,0.15,0.2,0.1
A2STEFCSDKQ7OR,M,45,4,10,3,dolphin,smart,friendly,playful,0.85,0.85,0.925,0.875,0.875,0.925
A2STEFCSDKQ7OR,M,45,4,28,4,sheep,wooly,fluffy,dumb,0.775,0.85,0.575,0.05,0.175,0.525
