"","categoryID","animal","featureNum","feature","antonym","animalPriors","personPriors"
"1",1,"ant",1,"small","large",0.694181487719542,0.479276726725365
"2",1,"ant",2,"strong","weak",0.591111029383392,0.514446572504018
"3",1,"ant",3,"busy","idle",0.619646571391018,0.500787469849708
"4",2,"bat",1,"scary","unalarming",0.524330156609468,0.462374214694524
"5",2,"bat",2,"blind","sighted",0.595684290907482,0.436513791570584
"6",2,"bat",3,"nocturnal","diurnal",0.697566526364537,0.430842352969735
"7",3,"bear",1,"scary","unalarming",0.600012976779566,0.493746515665393
"8",3,"bear",2,"big","small",0.576070965146795,0.514849202203378
"9",3,"bear",3,"fierce","nonviolent",0.55846510588043,0.481960103147421
"10",4,"bee",1,"busy","idle",0.615859243679568,0.527595926963666
"11",4,"bee",2,"small","large",0.606104157538174,0.485860376590894
"12",4,"bee",3,"angry","unangry",0.503035276733021,0.47819501693488
"13",5,"bird",1,"free","unfree",0.613736903658622,0.586362094341127
"14",5,"bird",2,"graceful","awkward",0.57973570553108,0.488107609993375
"15",5,"bird",3,"small","large",0.510376399223236,0.477522361213571
"16",6,"buffalo",1,"big","small",0.65678054256691,0.497299456499741
"17",6,"buffalo",2,"strong","weak",0.643405161657156,0.526169960658933
"18",6,"buffalo",3,"wild","tame",0.594556113488839,0.470560721320626
"19",7,"cat",1,"independent","dependent",0.578781924013183,0.500218027058513
"20",7,"cat",2,"lazy","fast",0.516515025604306,0.502245835926655
"21",7,"cat",3,"soft","hard",0.704221015955281,0.506328622904523
"22",8,"cow",1,"fat","thin",0.681985278932394,0.483928718269443
"23",8,"cow",2,"dumb","smart",0.56086027977424,0.483439108387413
"24",8,"cow",3,"lazy","fast",0.611157495398485,0.516571732904397
"25",9,"dog",1,"loyal","disloyal",0.615431555871671,0.511910416901329
"26",9,"dog",2,"friendly","unfriendly",0.548056782424409,0.534767889406687
"27",9,"dog",3,"happy","unhappy",0.556377433704644,0.490211899085375
"28",10,"dolphin",1,"smart","stupid",0.706519349327641,0.545036175019522
"29",10,"dolphin",2,"friendly","unfriendly",0.586230305484139,0.535956250962686
"30",10,"dolphin",3,"playful","unplayful",0.588862311604012,0.498387459424692
"31",11,"duck",1,"loud","quiet",0.58617376335031,0.508864517242333
"32",11,"duck",2,"cute","unattractive",0.545747565429503,0.486981575157053
"33",11,"duck",3,"quacking","non-quacking",0.602969788197975,0.296131833464669
"34",12,"elephant",1,"huge","small",0.669436074862464,0.472002984319027
"35",12,"elephant",2,"smart","stupid",0.578905715544863,0.500970361081528
"36",12,"elephant",3,"heavy","light",0.787621247859577,0.538644572006825
"37",13,"fish",1,"scaly","smooth",0.54976436771351,0.28484587911446
"38",13,"fish",2,"wet","dry",0.657031387640975,0.469342422691803
"39",13,"fish",3,"smelly","fragrant",0.648726082838853,0.512080216112392
"40",14,"fox",1,"sly","artless",0.608047358056113,0.510102089236593
"41",14,"fox",2,"smart","stupid",0.629055756019002,0.520099223820378
"42",14,"fox",3,"pretty","ugly",0.599144690277201,0.498046364189515
"43",15,"frog",1,"slimy","nonslippery",0.693169007718304,0.329657787893549
"44",15,"frog",2,"noisy","quiet",0.527820172489269,0.49453906372675
"45",15,"frog",3,"jumpy","relaxed",0.556603442043666,0.489824532762845
"46",16,"goat",1,"funny","humorless",0.487761982171508,0.508189818389946
"47",16,"goat",2,"hungry","full",0.516606370128455,0.500083046057641
"48",16,"goat",3,"loud","quiet",0.551490522357246,0.506712477807265
"49",17,"goose",1,"loud","quiet",0.633827483512412,0.499497472654815
"50",17,"goose",2,"mean","nice",0.528362173064139,0.477752799906073
"51",17,"goose",3,"annoying","agreeable",0.639992198839741,0.527432344076771
"52",18,"horse",1,"fast","slow",0.532436734249907,0.469028643101317
"53",18,"horse",2,"strong","weak",0.595452012121993,0.543090025500807
"54",18,"horse",3,"beautiful","ugly",0.573877604853717,0.485705846544981
"55",19,"kangaroo",1,"jumpy","relaxed",0.528422696942882,0.461396465968825
"56",19,"kangaroo",2,"bouncy","inelastic",0.608844212828012,0.508604677951218
"57",19,"kangaroo",3,"cute","unattractive",0.54314623603348,0.488590471358914
"58",20,"lion",1,"ferocious","nonviolent",0.597591629395862,0.385816519443005
"59",20,"lion",2,"scary","unalarming",0.615911128287998,0.466054002561354
"60",20,"lion",3,"strong","weak",0.642928624739445,0.515356566630901
"61",21,"monkey",1,"funny","humorless",0.551796106550367,0.508098772213418
"62",21,"monkey",2,"smart","stupid",0.585154434653904,0.515736036175269
"63",21,"monkey",3,"playful","unplayful",0.555395814517375,0.511339950922
"64",22,"owl",1,"wise","foolish",0.611899701193197,0.504885608610587
"65",22,"owl",2,"quiet","loud",0.53747136324273,0.507999439084792
"66",22,"owl",3,"nocturnal","diurnal",0.651779575399236,0.420940768039957
"67",23,"ox",1,"strong","weak",0.621950209520999,0.534413104263857
"68",23,"ox",2,"big","small",0.619822015637661,0.502783224668642
"69",23,"ox",3,"slow","fast",0.58657207945807,0.518887850708061
"70",24,"penguin",1,"cold","hot",0.738197226111124,0.496575548686324
"71",24,"penguin",2,"cute","unattractive",0.561280343860113,0.516073328453287
"72",24,"penguin",3,"funny","humorless",0.550383284449947,0.512722204144998
"73",25,"pig",1,"dirty","clean",0.618867916164582,0.493196799376583
"74",25,"pig",2,"fat","thin",0.660483141733008,0.492997181832204
"75",25,"pig",3,"smelly","fragrant",0.640452237035895,0.539551806196909
"76",26,"rabbit",1,"fast","slow",0.641316548403965,0.491185071000618
"77",26,"rabbit",2,"furry","hairless",0.678623744652663,0.337217475689721
"78",26,"rabbit",3,"cute","unattractive",0.568094266119178,0.498970969259518
"79",27,"shark",1,"scary","unalarming",0.659982497595708,0.491875950613849
"80",27,"shark",2,"dangerous","safe",0.657861221541541,0.482872069897481
"81",27,"shark",3,"mean","nice",0.660631480209972,0.49164271343846
"82",28,"sheep",1,"wooly","hairless",0.674070281940252,0.329401889075074
"83",28,"sheep",2,"fluffy","hard",0.619432937638681,0.373853880534723
"84",28,"sheep",3,"dumb","smart",0.562205691434387,0.496273919430894
"85",29,"tiger",1,"striped","unpatterned",0.6834494034993,0.271247354208174
"86",29,"tiger",2,"fierce","nonviolent",0.605156989100791,0.482487866060941
"87",29,"tiger",3,"scary","unalarming",0.633537006190865,0.484540683486727
"88",30,"whale",1,"large","small",0.658979864000852,0.505039620124599
"89",30,"whale",2,"graceful","awkward",0.594934491717929,0.474193021557204
"90",30,"whale",3,"majestic","inferior",0.627772915146142,0.47885526975078
"91",31,"wolf",1,"scary","unalarming",0.609297120575756,0.495529001577226
"92",31,"wolf",2,"mean","nice",0.560259949806864,0.497192940933837
"93",31,"wolf",3,"angry","unangry",0.494858049914526,0.452471097641944
"94",32,"zebra",1,"striped","unpatterned",0.801514371957649,0.2375332710676
"95",32,"zebra",2,"exotic","native",0.538115689314053,0.464504316947751
"96",32,"zebra",3,"fast","slow",0.606485868567188,0.50068255827066
