categoryID,category,featurePresent,normalizedProb,featureNum
1,animal,1,0.694181488,1
1,animal,1,0.591111029,2
1,animal,1,0.619646571,3
1,person,1,0.479276727,1
1,person,1,0.514446573,2
1,person,1,0.50078747,3
2,animal,1,0.524330157,1
2,animal,1,0.595684291,2
2,animal,1,0.697566526,3
2,person,1,0.462374215,1
2,person,1,0.436513792,2
2,person,1,0.430842353,3
3,animal,1,0.600012977,1
3,animal,1,0.576070965,2
3,animal,1,0.558465106,3
3,person,1,0.493746516,1
3,person,1,0.514849202,2
3,person,1,0.481960103,3
4,animal,1,0.615859244,1
4,animal,1,0.606104158,2
4,animal,1,0.503035277,3
4,person,1,0.527595927,1
4,person,1,0.485860377,2
4,person,1,0.478195017,3
5,animal,1,0.613736904,1
5,animal,1,0.579735706,2
5,animal,1,0.510376399,3
5,person,1,0.586362094,1
5,person,1,0.48810761,2
5,person,1,0.477522361,3
6,animal,1,0.656780543,1
6,animal,1,0.643405162,2
6,animal,1,0.594556113,3
6,person,1,0.497299456,1
6,person,1,0.526169961,2
6,person,1,0.470560721,3
7,animal,1,0.578781924,1
7,animal,1,0.516515026,2
7,animal,1,0.704221016,3
7,person,1,0.500218027,1
7,person,1,0.502245836,2
7,person,1,0.506328623,3
8,animal,1,0.681985279,1
8,animal,1,0.56086028,2
8,animal,1,0.611157495,3
8,person,1,0.483928718,1
8,person,1,0.483439108,2
8,person,1,0.516571733,3
9,animal,1,0.615431556,1
9,animal,1,0.548056782,2
9,animal,1,0.556377434,3
9,person,1,0.511910417,1
9,person,1,0.534767889,2
9,person,1,0.490211899,3
10,animal,1,0.706519349,1
10,animal,1,0.586230305,2
10,animal,1,0.588862312,3
10,person,1,0.545036175,1
10,person,1,0.535956251,2
10,person,1,0.498387459,3
11,animal,1,0.586173763,1
11,animal,1,0.545747565,2
11,animal,1,0.602969788,3
11,person,1,0.508864517,1
11,person,1,0.486981575,2
11,person,1,0.296131833,3
12,animal,1,0.669436075,1
12,animal,1,0.578905716,2
12,animal,1,0.787621248,3
12,person,1,0.472002984,1
12,person,1,0.500970361,2
12,person,1,0.538644572,3
13,animal,1,0.549764368,1
13,animal,1,0.657031388,2
13,animal,1,0.648726083,3
13,person,1,0.284845879,1
13,person,1,0.469342423,2
13,person,1,0.512080216,3
14,animal,1,0.608047358,1
14,animal,1,0.629055756,2
14,animal,1,0.59914469,3
14,person,1,0.510102089,1
14,person,1,0.520099224,2
14,person,1,0.498046364,3
15,animal,1,0.693169008,1
15,animal,1,0.527820172,2
15,animal,1,0.556603442,3
15,person,1,0.329657788,1
15,person,1,0.494539064,2
15,person,1,0.489824533,3
16,animal,1,0.487761982,1
16,animal,1,0.51660637,2
16,animal,1,0.551490522,3
16,person,1,0.508189818,1
16,person,1,0.500083046,2
16,person,1,0.506712478,3
17,animal,1,0.633827484,1
17,animal,1,0.528362173,2
17,animal,1,0.639992199,3
17,person,1,0.499497473,1
17,person,1,0.4777528,2
17,person,1,0.527432344,3
18,animal,1,0.532436734,1
18,animal,1,0.595452012,2
18,animal,1,0.573877605,3
18,person,1,0.469028643,1
18,person,1,0.543090026,2
18,person,1,0.485705847,3
19,animal,1,0.528422697,1
19,animal,1,0.608844213,2
19,animal,1,0.543146236,3
19,person,1,0.461396466,1
19,person,1,0.508604678,2
19,person,1,0.488590471,3
20,animal,1,0.597591629,1
20,animal,1,0.615911128,2
20,animal,1,0.642928625,3
20,person,1,0.385816519,1
20,person,1,0.466054003,2
20,person,1,0.515356567,3
21,animal,1,0.551796107,1
21,animal,1,0.585154435,2
21,animal,1,0.555395815,3
21,person,1,0.508098772,1
21,person,1,0.515736036,2
21,person,1,0.511339951,3
22,animal,1,0.611899701,1
22,animal,1,0.537471363,2
22,animal,1,0.651779575,3
22,person,1,0.504885609,1
22,person,1,0.507999439,2
22,person,1,0.420940768,3
23,animal,1,0.62195021,1
23,animal,1,0.619822016,2
23,animal,1,0.586572079,3
23,person,1,0.534413104,1
23,person,1,0.502783225,2
23,person,1,0.518887851,3
24,animal,1,0.738197226,1
24,animal,1,0.561280344,2
24,animal,1,0.550383284,3
24,person,1,0.496575549,1
24,person,1,0.516073328,2
24,person,1,0.512722204,3
25,animal,1,0.618867916,1
25,animal,1,0.660483142,2
25,animal,1,0.640452237,3
25,person,1,0.493196799,1
25,person,1,0.492997182,2
25,person,1,0.539551806,3
26,animal,1,0.641316548,1
26,animal,1,0.678623745,2
26,animal,1,0.568094266,3
26,person,1,0.491185071,1
26,person,1,0.337217476,2
26,person,1,0.498970969,3
27,animal,1,0.659982498,1
27,animal,1,0.657861222,2
27,animal,1,0.66063148,3
27,person,1,0.491875951,1
27,person,1,0.48287207,2
27,person,1,0.491642713,3
28,animal,1,0.674070282,1
28,animal,1,0.619432938,2
28,animal,1,0.562205691,3
28,person,1,0.329401889,1
28,person,1,0.373853881,2
28,person,1,0.496273919,3
29,animal,1,0.683449403,1
29,animal,1,0.605156989,2
29,animal,1,0.633537006,3
29,person,1,0.271247354,1
29,person,1,0.482487866,2
29,person,1,0.484540683,3
30,animal,1,0.658979864,1
30,animal,1,0.594934492,2
30,animal,1,0.627772915,3
30,person,1,0.50503962,1
30,person,1,0.474193022,2
30,person,1,0.47885527,3
31,animal,1,0.609297121,1
31,animal,1,0.56025995,2
31,animal,1,0.49485805,3
31,person,1,0.495529002,1
31,person,1,0.497192941,2
31,person,1,0.452471098,3
32,animal,1,0.801514372,1
32,animal,1,0.538115689,2
32,animal,1,0.606485869,3
32,person,1,0.237533271,1
32,person,1,0.464504317,2
32,person,1,0.500682558,3
