ID,animal,is_a_frequency,frequency,ngrams source
1,ant,2769,2596717,web
2,bat,3697,3522268,web
3,bear,14772,15536594,web
4,bee,3220,2469538,web
5,bird,44266,12968165,web
6,buffalo,840,1644565,web
7,cat,34019,17896258,web
8,cow,10241,4276366,web
9,dog,79031,40098032,web
10,dolphin,2521,1162358,web
11,duck,9686,2907403,web
12,elephant,8013,2286346,web
13,fish,30900,29432269,web
14,fox,5181,2579588,web
15,frog,4425,3384818,web
16,goat,4943,2968719,web
17,goose,2132,1161563,web
18,horse,37613,34801009,web
19,kangaroo,1536,478469,web
20,lion,12211,6513422,web
21,monkey,8550,3373041,web
22,owl,3201,1532505,web
23,ox,1045,937429,web
24,penguin,3764,952600,web
25,pig,16063,3576982,web
26,rabbit,6048,3636775,web
27,shark,3983,2049584,web
28,sheep,7137,5529005,web
29,tiger,6516,2333375,web
30,whale,5852,2598768,web
31,wolf,14201,2422112,web
32,zebra,2010,726377,web
