workerid	Answer.gender	Answer.age	Answer.income	Answer.categoryIDs	Answer.orders	Answer.speakers	Answer.animals	Answer.f1s	Answer.f2s	Answer.f3s	Answer.conditions	Answer.f1probs	Answer.f2probs	Answer.f3probs
AKKCFV0GQBWHW	M	35	10	2,14,18,19,4,23,9,6,31,28,1,5,21,8,27,32,15,11,7,29,10,20,26,13,12,24,30,16,25,3,17,22	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	Zach,Kenneth,Luke,Bob,Frank,Patrick,Henry,Ivan,Ethan,Tom,Barry,Fred,Gary,George,Calvin,Alex,Eric,Jeff,Jake,Albert,David,Charles,Owen,Harry,Matt,Nathan,Robert,Quinn,Daniel,Winston,Steve,Victor	bat,fox,horse,kangaroo,bee,ox,dog,buffalo,wolf,sheep,ant,bird,monkey,cow,shark,zebra,frog,duck,cat,tiger,dolphin,lion,rabbit,fish,elephant,penguin,whale,goat,pig,bear,goose,owl	scary,sly,fast,jumpy,busy,strong,loyal,big,scary,wooly,small,small,funny,fat,scary,striped,slimy,loud,independent,striped,smart,scary,fast,scaly,huge,cold,large,funny,dirty,scary,loud,wise	blind,smart,strong,bouncy,small,big,friendly,strong,mean,fluffy,strong,graceful,smart,lazy,mean,exotic,noisy,cute,lazy,fierce,friendly,strong,furry,wet,smart,cute,graceful,hungry,fat,big,mean,quiet	nocturnal,cunning,beautiful,cute,angry,slow,happy,wild,angry,dumb,busy,free,playful,dumb,dangerous,fast,jumpy,quacking,soft,scary,playful,ferocious,cute,smelly,heavy,funny,majestic,loud,smelly,fierce,annoying,nocturnal	4,2,3,4,2,1,1,4,2,4,2,1,2,4,1,3,1,1,3,4,3,2,3,4,3,1,1,2,3,4,3,2	0.625,1,1,1,0.675,1,1,1,0.45,0.575,0.3,0.975,0.15,1,1,1,1,1,1,0,1,0.425,1,0.875,0.975,1,1,0.5,1,0.4,1,0.775	0.55,0.5,0,1,0.375,0,0,0.725,0.15,0.6,0.15,0.325,0.2,0.775,0.65,0,0,0,0,0.75,0.1,1,0,0.6,0,0,0,0.775,0,1,0,0.175	0.3,0.925,0,0,0.5,0,0,0.275,0.275,0.5,1,0.175,0.8,0.625,0.3,0,0,0,0,0.2,0.2,0.375,0,0.125,0.5,0,0,0.5,0.65,0.275,0,0.55
A1T6QVMIXF74FF	F	25	10	31,27,23,18,6,32,22,12,28,4,8,7,15,24,11,5,21,20,25,30,26,3,19,16,2,14,1,29,17,9,10,13	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	Quinn,Ethan,Barry,Matt,Alex,Steve,Kenneth,Nathan,Zach,Winston,Harry,Albert,Daniel,Frank,Patrick,Jake,Tom,Henry,Victor,Charles,Owen,Jeff,Gary,Robert,Eric,Luke,Bob,Calvin,Ivan,David,George,Fred	wolf,shark,ox,horse,buffalo,zebra,owl,elephant,sheep,bee,cow,cat,frog,penguin,duck,bird,monkey,lion,pig,whale,rabbit,bear,kangaroo,goat,bat,fox,ant,tiger,goose,dog,dolphin,fish	scary,scary,strong,fast,big,striped,wise,huge,wooly,busy,fat,independent,slimy,cold,loud,small,funny,scary,dirty,large,fast,scary,jumpy,funny,scary,sly,small,striped,loud,loyal,smart,scaly	mean,mean,big,strong,strong,exotic,quiet,smart,fluffy,small,lazy,lazy,noisy,cute,cute,graceful,smart,strong,fat,graceful,furry,big,bouncy,hungry,blind,smart,strong,fierce,mean,friendly,friendly,wet	angry,dangerous,slow,beautiful,wild,fast,nocturnal,heavy,dumb,angry,dumb,soft,jumpy,funny,quacking,free,playful,ferocious,smelly,majestic,cute,fierce,cute,loud,nocturnal,cunning,busy,scary,annoying,happy,playful,smelly	4,1,1,2,2,3,4,3,3,1,2,3,4,2,2,4,1,2,1,4,1,3,3,2,1,3,4,3,4,2,1,4	0.675,1,1,1,0.9,1,1,1,1,1,1,1,1,0.7,0.7,0.325,1,0.575,1,1,1,1,1,0.325,1,1,1,1,0.8,1,1,1	0.725,0.675,0.725,0.725,1,0.65,0.4,0.475,0.7,0.225,0.675,0.325,0.3,0.65,0.55,1,0.675,0.7,0.6,0.275,0.35,0.325,0.725,0.6,0.025,0.8,0.6,0.375,0.05,0.8,0.6,0.725	0.85,0.7,0.275,0.5,0.725,0.55,0.55,0.7,0.35,0.275,0.275,0.325,0.875,0.35,1,0.625,0.625,1,0.875,0.275,0.35,0.725,0.3,0.4,0.1,0.825,0.575,0.275,0.7,0.675,0.625,0.725
AOPG07J95DDJT	F	35	4	30,26,7,17,24,25,22,5,3,29,28,31,32,16,14,13,19,10,9,8,2,23,11,15,18,20,12,21,4,6,1,27	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	Harry,Winston,Fred,Frank,Daniel,Robert,Ivan,Jeff,Owen,Quinn,Nathan,Tom,Gary,Matt,Ethan,Calvin,Steve,Henry,Albert,Patrick,Bob,David,Victor,Alex,Luke,Eric,Barry,Kenneth,Zach,Charles,Jake,George	whale,rabbit,cat,goose,penguin,pig,owl,bird,bear,tiger,sheep,wolf,zebra,goat,fox,fish,kangaroo,dolphin,dog,cow,bat,ox,duck,frog,horse,lion,elephant,monkey,bee,buffalo,ant,shark	large,fast,independent,loud,cold,dirty,wise,small,scary,striped,wooly,scary,striped,funny,sly,scaly,jumpy,smart,loyal,fat,scary,strong,loud,slimy,fast,scary,huge,funny,busy,big,small,scary	graceful,furry,lazy,mean,cute,fat,quiet,graceful,big,fierce,fluffy,mean,exotic,hungry,smart,wet,bouncy,friendly,friendly,lazy,blind,big,cute,noisy,strong,strong,smart,smart,small,strong,strong,mean	majestic,cute,soft,annoying,funny,smelly,nocturnal,free,fierce,scary,dumb,angry,fast,loud,cunning,smelly,cute,playful,happy,dumb,nocturnal,slow,quacking,jumpy,beautiful,ferocious,heavy,playful,angry,wild,busy,dangerous	2,2,1,2,4,4,3,4,2,4,3,1,4,2,3,3,3,2,2,1,3,1,1,1,4,1,2,4,4,1,3,3	0.85,0.775,0.625,0.725,0.7,0.85,0.775,0.625,0.625,0.8,0.825,0.875,0.825,0.55,0.7,0.55,0.675,0.825,0.725,0.75,0.725,0.85,0.8,0.6,0.75,0.875,0.8,0.725,0.775,0.8,0.725,0.8	0.175,0.675,0.575,0.725,0.25,0.85,0.675,0.75,0.9,0.7,0.85,0.725,0.725,0.7,0.825,0.55,0.45,0.9,0.9,0.6,0.1,0.725,0.125,0.4,0.35,0.625,0.425,0.6,0.55,0.55,0.325,0.825	0.225,0.375,0.25,0.925,0.25,0.825,0.35,0.3,0.775,0.675,0.575,0.475,0.7,0.85,0.675,0.8,0.25,0.6,0.925,0.275,0.125,0.675,0.3,0.45,0.35,0.575,0.725,0.75,0.6,0.675,0.1,0.85
A2SNOG31ZZHXBS	F	45	4	3,12,5,31,18,2,24,13,20,22,19,9,27,16,30,15,14,6,28,32,1,4,26,23,8,10,29,21,17,7,11,25	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	Quinn,Eric,Tom,Kenneth,Charles,Matt,Patrick,Frank,Luke,George,Jake,Alex,Gary,Steve,Albert,Calvin,Winston,Henry,Ivan,Owen,Nathan,Jeff,Victor,Harry,David,Zach,Fred,Robert,Ethan,Daniel,Bob,Barry	bear,elephant,bird,wolf,horse,bat,penguin,fish,lion,owl,kangaroo,dog,shark,goat,whale,frog,fox,buffalo,sheep,zebra,ant,bee,rabbit,ox,cow,dolphin,tiger,monkey,goose,cat,duck,pig	scary,huge,small,scary,fast,scary,cold,scaly,scary,wise,jumpy,loyal,scary,funny,large,slimy,sly,big,wooly,striped,small,busy,fast,strong,fat,smart,striped,funny,loud,independent,loud,dirty	big,smart,graceful,mean,strong,blind,cute,wet,strong,quiet,bouncy,friendly,mean,hungry,graceful,noisy,smart,strong,fluffy,exotic,strong,small,furry,big,lazy,friendly,fierce,smart,mean,lazy,cute,fat	fierce,heavy,free,angry,beautiful,nocturnal,funny,smelly,ferocious,nocturnal,cute,happy,dangerous,loud,majestic,jumpy,cunning,wild,dumb,fast,busy,angry,cute,slow,dumb,playful,scary,playful,annoying,soft,quacking,smelly	3,4,2,3,3,2,1,1,1,3,1,1,3,4,2,4,3,2,4,3,2,2,4,1,3,2,4,4,1,1,2,4	0.9,0.95,0.95,0.95,0.925,0.575,0.5,0.575,0.95,0.95,0.55,0.95,0.925,0.55,0.925,0.675,0.925,0.925,0.85,0.525,0.925,0.95,0.95,0.925,0.925,0.725,0.05,0.7,0.725,0.725,0.35,0.925	0.7,0.5,0.45,0.95,0.575,0.95,0.475,0.55,0.775,0.55,0.55,0.625,0.875,0.475,0.45,0.05,0.675,0.725,0.55,0.7,0.275,0.275,0.725,0.95,0.925,0.725,0.95,0.725,0.3,0.075,0.275,0.95	0.75,0.975,0.475,0.95,0.45,0.5,0.55,0.575,0.85,0.45,0.525,0.65,0.9,0.475,0.375,0.1,0.9,0.725,0.05,0.075,0.725,0.3,0.05,0.3,0.925,0.7,0.05,0.725,0.7,0.075,0.325,0.925
ADPVKKFJ886DJ	F	25	10	28,25,12,2,23,27,11,19,6,21,30,5,16,29,10,18,20,8,1,32,26,9,22,7,3,14,24,17,4,31,13,15	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	Frank,Charles,Zach,Victor,Alex,Matt,Eric,Albert,Steve,Owen,Bob,Patrick,Winston,Ivan,Kenneth,Fred,George,Tom,Ethan,Quinn,Calvin,Gary,Jeff,Jake,Luke,David,Nathan,Henry,Robert,Daniel,Harry,Barry	sheep,pig,elephant,bat,ox,shark,duck,kangaroo,buffalo,monkey,whale,bird,goat,tiger,dolphin,horse,lion,cow,ant,zebra,rabbit,dog,owl,cat,bear,fox,penguin,goose,bee,wolf,fish,frog	wooly,dirty,huge,scary,strong,scary,loud,jumpy,big,funny,large,small,funny,striped,smart,fast,scary,fat,small,striped,fast,loyal,wise,independent,scary,sly,cold,loud,busy,scary,scaly,slimy	fluffy,fat,smart,blind,big,mean,cute,bouncy,strong,smart,graceful,graceful,hungry,fierce,friendly,strong,strong,lazy,strong,exotic,furry,friendly,quiet,lazy,big,smart,cute,mean,small,mean,wet,noisy	dumb,smelly,heavy,nocturnal,slow,dangerous,quacking,cute,wild,playful,majestic,free,loud,scary,playful,beautiful,ferocious,dumb,busy,fast,cute,happy,nocturnal,soft,fierce,cunning,funny,annoying,angry,angry,smelly,jumpy	1,4,2,1,2,4,1,4,1,1,3,1,4,2,2,3,3,3,4,4,4,3,2,3,2,1,3,4,1,3,2,2	0.275,0.725,0.7,0.7,0.7,0.5,0.925,0.725,0.95,0.95,0.925,0.925,0.925,0.05,0.3,0.95,0.975,0.925,0.95,0.925,0.925,0.95,0.925,0.9,0.5,0.95,0.95,0.7,0.95,0.95,0.275,0.3	0.275,0.275,0.275,0.05,0.725,0.5,0.075,0.725,0.475,0.025,0.05,0.05,0.05,0.725,0.725,0.5,0.475,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.725,0.925,0.5,0.5,0.5,0.5,0.5,0.7	0.7,0.5,0.5,0.075,0.3,0.7,0.075,0.275,0.05,0.275,0.075,0.05,0.075,0.275,0.725,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.725,0.5,0.7,0.925,0.5,0.5,0.5,0.5,0.275,0.7
AIUKV0KVALMY6	F	35	4	31,22,30,15,14,8,13,7,28,3,2,19,26,18,11,21,5,16,10,27,9,20,6,29,24,17,12,25,1,32,4,23	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	Harry,Frank,Owen,Matt,Kenneth,Nathan,Winston,Jake,Henry,Albert,Zach,Ethan,Barry,Daniel,Steve,David,Robert,George,Patrick,Gary,Victor,Tom,Alex,Bob,Luke,Fred,Calvin,Jeff,Eric,Ivan,Charles,Quinn	wolf,owl,whale,frog,fox,cow,fish,cat,sheep,bear,bat,kangaroo,rabbit,horse,duck,monkey,bird,goat,dolphin,shark,dog,lion,buffalo,tiger,penguin,goose,elephant,pig,ant,zebra,bee,ox	scary,wise,large,slimy,sly,fat,scaly,independent,wooly,scary,scary,jumpy,fast,fast,loud,funny,small,funny,smart,scary,loyal,scary,big,striped,cold,loud,huge,dirty,small,striped,busy,strong	mean,quiet,graceful,noisy,smart,lazy,wet,lazy,fluffy,big,blind,bouncy,furry,strong,cute,smart,graceful,hungry,friendly,mean,friendly,strong,strong,fierce,cute,mean,smart,fat,strong,exotic,small,big	angry,nocturnal,majestic,jumpy,cunning,dumb,smelly,soft,dumb,fierce,nocturnal,cute,cute,beautiful,quacking,playful,free,loud,playful,dangerous,happy,ferocious,wild,scary,funny,annoying,heavy,smelly,busy,fast,angry,slow	3,4,2,4,3,4,2,3,2,4,2,3,3,4,1,1,4,1,3,4,1,1,3,1,2,1,1,3,2,4,2,2	1,0.9,1,1,1,1,0.75,1,0,1,0.7,1,1,1,1,1,1,1,1,1,1,0.975,1,1,0.75,1,1,1,1,0.975,1,0.725	0.7,0.5,0,0.7,0.725,1,0.725,0,0,1,0.7,0,0,0.725,0,0.7,0,0.025,0,0.725,0.725,0,0.725,0,0.575,0.5,0,0.75,0,0.725,0.5,0.75	0.725,0.7,0,0.275,1,0.725,0.725,0,0.725,1,0.5,0,0,0,0.725,0,0,0,0,0.7,0,0.625,0,0,0,1,1,1,0,0,0.7,0
A2R369ORILTO29	F	55	4	5,17,23,28,26,15,1,22,31,9,10,2,7,3,32,14,29,20,24,25,18,12,4,30,6,11,8,19,13,27,21,16	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	Jeff,Jake,Gary,Steve,Henry,Winston,Zach,Albert,Owen,Barry,Bob,David,Nathan,Daniel,Quinn,Ivan,Alex,Tom,Harry,Victor,Frank,Luke,Patrick,Charles,George,Matt,Ethan,Calvin,Kenneth,Fred,Eric,Robert	bird,goose,ox,sheep,rabbit,frog,ant,owl,wolf,dog,dolphin,bat,cat,bear,zebra,fox,tiger,lion,penguin,pig,horse,elephant,bee,whale,buffalo,duck,cow,kangaroo,fish,shark,monkey,goat	small,loud,strong,wooly,fast,slimy,small,wise,scary,loyal,smart,scary,independent,scary,striped,sly,striped,scary,cold,dirty,fast,huge,busy,large,big,loud,fat,jumpy,scaly,scary,funny,funny	graceful,mean,big,fluffy,furry,noisy,strong,quiet,mean,friendly,friendly,blind,lazy,big,exotic,smart,fierce,strong,cute,fat,strong,smart,small,graceful,strong,cute,lazy,bouncy,wet,mean,smart,hungry	free,annoying,slow,dumb,cute,jumpy,busy,nocturnal,angry,happy,playful,nocturnal,soft,fierce,fast,cunning,scary,ferocious,funny,smelly,beautiful,heavy,angry,majestic,wild,quacking,dumb,cute,smelly,dangerous,playful,loud	1,3,1,1,3,4,1,2,1,4,2,4,4,3,2,4,3,3,4,1,2,1,3,3,4,2,2,2,1,4,2,3	0.925,0.925,0.9,0.825,0.9,0.875,0.9,0.625,0.925,0.9,0.575,0.85,0.875,0.85,0.6,0.9,0.925,0.95,0.925,0.925,0.825,0.925,0.9,0.925,0.9,0.525,0.7,0.575,0.925,0.9,0.575,0.925	0.45,0.675,0.775,0.775,0.3,0.4,0.175,0.45,0.65,0.8,0.625,0.425,0.25,0.575,0.675,0.75,0.575,0.725,0.575,0.225,0.8,0.25,0.175,0.2,0.625,0.625,0.525,0.675,0.6,0.75,0.375,0.2	0.325,0.6,0.35,0.375,0.275,0.475,0.225,0.525,0.45,0.55,0.8,0.15,0.15,0.775,0.65,0.825,0.575,0.85,0.275,0.6,0.55,0.55,0.325,0.375,0.3,0.55,0.425,0.45,0.275,0.675,0.725,0.275
A26FUTGDW7S0Q4	F	45	6	28,23,26,10,25,22,9,27,21,18,31,3,17,4,13,29,19,15,2,7,14,24,1,12,16,8,30,6,11,32,20,5	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	Quinn,Matt,Kenneth,Eric,Victor,Jake,Ivan,Calvin,Alex,Gary,Jeff,Winston,George,Tom,Barry,Luke,Harry,Steve,Charles,Zach,Nathan,Daniel,Patrick,Owen,Robert,Ethan,Fred,David,Frank,Henry,Bob,Albert	sheep,ox,rabbit,dolphin,pig,owl,dog,shark,monkey,horse,wolf,bear,goose,bee,fish,tiger,kangaroo,frog,bat,cat,fox,penguin,ant,elephant,goat,cow,whale,buffalo,duck,zebra,lion,bird	wooly,strong,fast,smart,dirty,wise,loyal,scary,funny,fast,scary,scary,loud,busy,scaly,striped,jumpy,slimy,scary,independent,sly,cold,small,huge,funny,fat,large,big,loud,striped,scary,small	fluffy,big,furry,friendly,fat,quiet,friendly,mean,smart,strong,mean,big,mean,small,wet,fierce,bouncy,noisy,blind,lazy,smart,cute,strong,smart,hungry,lazy,graceful,strong,cute,exotic,strong,graceful	dumb,slow,cute,playful,smelly,nocturnal,happy,dangerous,playful,beautiful,angry,fierce,annoying,angry,smelly,scary,cute,jumpy,nocturnal,soft,cunning,funny,busy,heavy,loud,dumb,majestic,wild,quacking,fast,ferocious,free	2,4,1,4,2,4,1,2,4,3,1,3,4,3,3,3,4,1,3,3,1,1,3,2,1,2,1,2,2,2,4,4	0.15,0.95,0.95,0.575,0.925,0.925,0.95,0.2,0.925,0.925,0.95,0.925,0.925,0.95,0.95,0.075,0.925,0.7,0.925,0.925,0.975,0.875,0.975,0.8,0.9,0.925,0.95,0.9,0.9,0.15,0.075,0.9	0.2,0.95,0.025,0.825,0.875,0.95,0.25,0.775,0.1,0.325,0.45,0.25,0.25,0.025,0.35,0.375,0.95,0.05,0.025,0.05,0.975,0.025,0.025,0.8,0,0.225,0.075,0.925,0.275,0.125,0.85,0.625	0.925,0.275,0.025,0.95,0.9,0.325,0.25,0.55,0.95,0,0.425,0.2,0.375,0.025,0.6,0.4,0.325,0.05,0.025,0.025,0.95,0.025,0.025,0.825,0.125,0.7,0.85,0.3,0.275,0.4,0.85,0.775
A3HOBJ4PJUOCUN	F	55	6	20,7,5,9,24,25,31,12,1,16,14,27,32,18,3,17,2,30,8,21,11,29,13,6,19,10,28,26,15,23,4,22	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	George,Ivan,Zach,Kenneth,Nathan,Robert,Winston,Owen,Luke,Steve,Frank,Eric,Harry,Quinn,Tom,Alex,Victor,Fred,Henry,Gary,Patrick,Matt,Barry,Jeff,Jake,Ethan,David,Bob,Calvin,Albert,Charles,Daniel	lion,cat,bird,dog,penguin,pig,wolf,elephant,ant,goat,fox,shark,zebra,horse,bear,goose,bat,whale,cow,monkey,duck,tiger,fish,buffalo,kangaroo,dolphin,sheep,rabbit,frog,ox,bee,owl	scary,independent,small,loyal,cold,dirty,scary,huge,small,funny,sly,scary,striped,fast,scary,loud,scary,large,fat,funny,loud,striped,scaly,big,jumpy,smart,wooly,fast,slimy,strong,busy,wise	strong,lazy,graceful,friendly,cute,fat,mean,smart,strong,hungry,smart,mean,exotic,strong,big,mean,blind,graceful,lazy,smart,cute,fierce,wet,strong,bouncy,friendly,fluffy,furry,noisy,big,small,quiet	ferocious,soft,free,happy,funny,smelly,angry,heavy,busy,loud,cunning,dangerous,fast,beautiful,fierce,annoying,nocturnal,majestic,dumb,playful,quacking,scary,smelly,wild,cute,playful,dumb,cute,jumpy,slow,angry,nocturnal	1,2,4,1,2,3,4,3,3,4,3,2,1,1,4,1,2,4,4,4,1,3,2,1,3,3,2,2,2,4,3,1	0.5,0.7,0.725,0.725,0.5,0.7,0.725,0.725,0.7,0.275,0.725,0.6,0.275,0.7,0.725,0.7,0.275,0.725,0.725,0.5,0.7,0.275,0.275,0.725,0.725,0.725,0.275,0.5,0.275,0.775,0.775,0.75	0.725,0.7,0.5,0.5,0.5,0.275,0.7,0.275,0.275,0.275,0.725,0.6,0.275,0.7,0.5,0.5,0.5,0.275,0.3,0.5,0.275,0.275,0.275,0.725,0.5,0.5,0.275,0.275,0.275,0.725,0.275,0.575	0.725,0.3,0.275,0.5,0.5,0.5,0.5,0.5,0.5,0.275,0.725,0.6,0.275,0.5,0.725,0.6,0.575,0.275,0.275,0.5,0.275,0.275,0.275,0.5,0.5,0.5,0.275,0.5,0.325,0.45,0.275,0.425
A6CLIMO36WI0G	F	35	10	18,19,21,8,2,28,9,20,31,30,24,1,11,3,26,6,25,17,10,13,32,14,22,12,27,5,15,29,23,16,4,7	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	Barry,Tom,Henry,Harry,Victor,Quinn,Calvin,Gary,Ethan,Charles,Matt,Nathan,David,Ivan,Kenneth,Zach,Alex,Patrick,Jake,Eric,George,Frank,Steve,Winston,Bob,Daniel,Luke,Albert,Robert,Fred,Jeff,Owen	horse,kangaroo,monkey,cow,bat,sheep,dog,lion,wolf,whale,penguin,ant,duck,bear,rabbit,buffalo,pig,goose,dolphin,fish,zebra,fox,owl,elephant,shark,bird,frog,tiger,ox,goat,bee,cat	fast,jumpy,funny,fat,scary,wooly,loyal,scary,scary,large,cold,small,loud,scary,fast,big,dirty,loud,smart,scaly,striped,sly,wise,huge,scary,small,slimy,striped,strong,funny,busy,independent	strong,bouncy,smart,lazy,blind,fluffy,friendly,strong,mean,graceful,cute,strong,cute,big,furry,strong,fat,mean,friendly,wet,exotic,smart,quiet,smart,mean,graceful,noisy,fierce,big,hungry,small,lazy	beautiful,cute,playful,dumb,nocturnal,dumb,happy,ferocious,angry,majestic,funny,busy,quacking,fierce,cute,wild,smelly,annoying,playful,smelly,fast,cunning,nocturnal,heavy,dangerous,free,jumpy,scary,slow,loud,angry,soft	2,2,4,1,4,2,1,1,2,2,3,2,3,4,2,2,3,1,3,3,3,1,4,4,3,4,4,1,4,3,1,1	0.7,0.275,1,0.975,0.925,0.05,0.925,0.925,0.6,0.925,0.95,0.95,0.925,0.95,0.725,0.925,0.925,0.925,0.925,1,1,1,0.975,0.975,0.925,0.925,0.95,0.95,0.925,0.925,0.925,0.925	0.7,0.95,0,0,0.275,0.05,0.275,0.5,0.775,0.275,0.4,0.05,0.3,0.7,0.6,0.55,0.05,0.325,0.425,0.575,0.6,0.625,0.375,0.275,0.725,0.4,0.375,0.4,0.35,0.275,0.275,0.05	0.275,0.275,0.725,0,0.275,0.725,0.275,0.625,0.55,0.275,0.375,0.075,0.275,0.7,0.725,0.4,0.725,0.875,0.4,0.575,0.35,0.625,0.3,0.725,0.575,0.4,0.375,0.4,0.375,0.275,0.275,0.3
