workerID,gender,age,income,language,condition,order,categoryID,speaker,animal,f1,f2,f3,att1,att2,att3
8,F,35,6,english,1,4,1,Luke,ant,small,strong,busy,meek,small stature,agreeable
5,F,25,4,Spanish,1,7,2,Barry,bat,scary,blind,nocturnal,cranky,scary,mysterious
9,M,35,4,English,1,5,2,Ivan,bat,scary,blind,nocturnal,night person,poor vision,good hearing
15,F,35,6,English,1,2,2,Luke,bat,scary,blind,nocturnal,black,mysterious,fast
17,F,55,6,english,1,3,2,Tom,bat,scary,blind,nocturnal,partier,neutral,little social
19,M,45,4,English,1,7,2,Nathan,bat,scary,blind,nocturnal,insomniac,jittery,bad vision
11,F,17,8,English,1,5,3,Zach,bear,scary,big,fierce,hairy,fat,tall
13,F,45,6,english,1,3,3,Patrick,bear,scary,big,fierce,calm,friendly,fury
14,F,45,4,Englsih,1,3,3,David,bear,scary,big,fierce,big,harry,tuff
1,F,45,8,English,1,8,4,Ethan,bee,busy,small,angry,active,hyper,talkative
9,M,35,4,English,1,2,4,Daniel,bee,busy,small,angry,wandering,slow,defensive
10,M,35,8,english,1,6,4,Harry,bee,busy,small,angry,swift,stings,flies
14,F,45,4,Englsih,1,5,5,Patrick,bird,small,graceful,free,graceful,sharp eye,no nonsense
17,F,55,6,english,1,6,5,Owen,bird,small,graceful,free,quiet,beautiful,friendly
1,F,45,8,English,1,4,6,Zach,buffalo,big,strong,wild,large,strong,solid
5,F,25,4,Spanish,1,6,6,Nathan,buffalo,big,strong,wild,big,lazy,fat
8,F,35,6,english,1,7,6,Frank,buffalo,big,strong,wild,stalwart,solid,fat
12,F,65,6,ENGLISH,1,2,6,Robert,buffalo,big,strong,wild,slow,strong,dumb
10,M,35,8,english,1,5,8,Robert,cow,fat,lazy,dumb,large,hungry,slow
13,F,45,6,english,1,7,8,Robert,cow,fat,lazy,dumb,annoying,slow,interrupts
4,F,35,4,English,1,6,9,Ivan,dog,loyal,friendly,happy,furry,loyal,jerk
16,M,35,4,English,1,4,9,Matt,dog,loyal,friendly,happy,loyal,friendly,active
9,M,35,4,English,1,8,10,Henry,dolphin,smart,friendly,playful,clever,playful,talkative
14,F,45,4,Englsih,1,6,10,Daniel,dolphin,smart,friendly,playful,smart,friendly,fast
16,M,35,4,English,1,1,10,Kenneth,dolphin,smart,friendly,playful,friendly,hyperactive,helpful
18,M,25,4,English,1,4,11,Kenneth,duck,loud,cute,quacking,nurturing,docile,friendly
1,F,45,8,English,1,6,12,Calvin,elephant,huge,smart,heavy,wise,kind,large
6,F,25,4,english,1,8,12,Luke,elephant,huge,smart,heavy,big,tall,old
