animal,alternative,set1,set2,set3,set4
ant,ant,0.74446149145749,0.114139622932556,0.119274955202213,0.0221239304077409
ant,beaver,0.703683967931776,0.144667227096853,0.0812016010447021,0.0704472039266686
ant,dog,0.215765757377879,0.27794724132784,0.199048999394221,0.307238001900061
ant,man,0.267742799832736,0.215229687021002,0.249016408866864,0.268011104279399
ant,monkey,0.238177155333493,0.244961810488507,0.275259338530224,0.241601695647776
ant,mouse,0.620468149487816,0.266493943515743,0.0480392780657969,0.0649986289306444
bird,ant,0.510611056216626,0.0754384055012746,0.406593127800284,0.00735741048181513
bird,bird,0.449537430589352,0.221536083451403,0.189911363734121,0.139015122225124
bird,cheetah,0.248236118459544,0.562064310046878,0.0992762107307783,0.0904233607628004
bird,jaguar,0.208388407697394,0.547940722513684,0.0961555349000466,0.147515334888876
bird,man,0.28540900247742,0.204576737093933,0.220813498005166,0.289200762423482
bird,mouse,0.6572467192765,0.175035910915653,0.0972474365235061,0.0704699332843409
cheetah,cat,0.593470758934462,0.169156897829902,0.142963536195884,0.0944088070397518
cheetah,cheetah,0.544911846578515,0.228947245767605,0.126541249321263,0.0995996583326177
cheetah,jaguar,0.73135496082491,0.104609101611659,0.0822344517517152,0.081801485811716
cheetah,leopard,0.64545956709993,0.184264656393045,0.133416239171379,0.0368595373356464
cheetah,man,0.294229462223872,0.248802624865861,0.17993446127275,0.277033451637517
cheetah,monkey,0.548712535673367,0.207800151546149,0.125823001499983,0.117664311280501
elephant,armadillo,0.281656358002509,0.0332951579046804,0.61854639347666,0.0665020906161508
elephant,elephant,0.610560523032319,0.249554791995787,0.0849706700433445,0.0549140149285498
elephant,hippo,0.502540623756818,0.139728953296707,0.222180822135021,0.135549600811455
elephant,man,0.28263905934338,0.280075735077027,0.194964124499774,0.242321081079819
elephant,turtle,0.355144645896595,0.0768920435202142,0.476235510551217,0.0917278000319736
elephant,whale,0.497219704097533,0.368747317524383,0.0538913522752741,0.0801416261028096
giraffe,flamingo,0.575549714049575,0.045662605439255,0.323982432672021,0.0548052478391486
giraffe,giraffe,0.625010206618621,0.124597665508861,0.177668341301995,0.0727237865705228
giraffe,horse,0.620412925854102,0.0693067226890756,0.166808937250114,0.143471414206708
giraffe,man,0.458809937474382,0.0829897860715833,0.129168237847508,0.329032038606527
giraffe,snake,0.127466380528132,0.107098816681666,0.539512136245217,0.225922666544986
giraffe,whale,0.590834149897563,0.124719616562092,0.163546815842054,0.120899417698291
lion,elephant,0.414532779493392,0.0717011489086266,0.402428500243015,0.111337571354966
lion,horse,0.344079199519301,0.0654709797171549,0.445815658255463,0.144634162508081
lion,lion,0.642520332722461,0.09553772259264,0.177069649908796,0.0848722947761036
lion,man,0.336058618138582,0.215158874109919,0.225577753572676,0.223204754178823
lion,shark,0.765381521787395,0.113017336786275,0.0647399207611506,0.05686122066518
lion,tiger,0.646740111112878,0.105146217775061,0.173788715990848,0.0743249551212129
monkey,cat,0.296200692846098,0.208947145552476,0.304895569209054,0.189956592392372
monkey,dog,0.225175315663539,0.316302781848714,0.271605706633258,0.186916195854488
monkey,dolphin,0.379588567175122,0.181224324304697,0.343144625756616,0.0960424827635656
monkey,hyena,0.218745729145676,0.265847983666199,0.263040722437165,0.25236556475096
monkey,man,0.252258170840235,0.235633093767269,0.305933492160476,0.20617524323202
monkey,monkey,0.328705758758391,0.266543650967026,0.188310554611836,0.216440035662748
panda,cat,0.203403248466421,0.421393787951021,0.169730752619027,0.20547221096353
panda,dog,0.284642232528831,0.276715308838956,0.219799628855855,0.218842829776358
panda,elephant,0.481965833407515,0.0528522064238373,0.429342914869454,0.0358390452991937
panda,man,0.237165184663224,0.27059809338705,0.286263929944132,0.205972792005594
panda,panda,0.527818827150616,0.176430098256726,0.229570341607719,0.0661807329849386
panda,whale,0.42385362357287,0.0728840668251774,0.4041509531422,0.0991113564597522
penguin,cat,0.490392139213139,0.188910493575043,0.200061561306122,0.120635805905696
penguin,dog,0.303524498442733,0.254450145899017,0.239676264480432,0.202349091177819
penguin,kitten,0.415607825836567,0.181139036483322,0.294504235761087,0.108748901919024
penguin,man,0.249911105387554,0.255517059633617,0.208715605135775,0.285856229843053
penguin,monkey,0.20707606082754,0.224685494431705,0.204596056341626,0.363642388399129
penguin,penguin,0.375786805375605,0.17062664652706,0.353166053616162,0.100420494481173
rabbit,cat,0.397179257990382,0.190072972629422,0.267008897177223,0.145738872202973
rabbit,cheetah,0.536825145527425,0.351043389682714,0.0596205886740036,0.052510876115858
rabbit,dog,0.324825556499001,0.24723887481995,0.214161381289825,0.213774187391224
rabbit,jaguar,0.576341963951271,0.313576816288061,0.0612003658946699,0.0488808538659982
rabbit,man,0.174045073107145,0.298781701699582,0.17295547201779,0.354217753175483
rabbit,rabbit,0.45563322745094,0.254447634911194,0.205390947223361,0.0845281904145049
turtle,elephant,0.495732562032357,0.101817633337672,0.338624157624344,0.0638256470056273
turtle,horse,0.232777315749852,0.188872458687029,0.422857782080089,0.15549244348303
turtle,man,0.14476330347994,0.338742966812505,0.359840010660791,0.156653719046763
turtle,sloth,0.393768267129279,0.470950262465322,0.0519839806289659,0.0832974897764329
turtle,snail,0.281854993955573,0.653203126178247,0.0305928071381419,0.0343490727280379
turtle,turtle,0.153493033829835,0.761173707904392,0.0388539268675141,0.0464793313982584
whale,elephant,0.436587213096207,0.403144766725713,0.086537316980355,0.0737307031977252
whale,hippo,0.458390446619297,0.400155992319272,0.0631077869080071,0.0783457741534241
whale,horse,0.410108090950557,0.306310326745364,0.134107824835462,0.149473757468617
whale,lion,0.533917204677566,0.307470499106479,0.0945923293677273,0.0640199668482278
whale,man,0.244607594336984,0.339321934737915,0.090403010336028,0.325667460589073
whale,whale,0.604220246897862,0.247350783243348,0.0925523279919875,0.0558766418668019
