"workerid","utteranceType","animalType","alterantive","animal","categoryID","QUD","setNum","featureSet","response"
0,"lit","alt","monkey","penguin",7,"gen",3,"serious; cute",0.35
0,"lit","alt","monkey","penguin",7,"gen",1,"funny; cute",0.58
0,"lit","alt","monkey","penguin",7,"gen",2,"funny; ugly",0.05
0,"lit","alt","monkey","penguin",7,"gen",4,"serious; ugly",0.07
0,"lit","alt","dog","panda",5,"gen",1,"cute; big",0.71
0,"lit","alt","dog","panda",5,"gen",3,"ugly; big",0.03
0,"lit","alt","dog","panda",5,"gen",4,"ugly; small",0.05
0,"lit","alt","dog","panda",5,"gen",2,"cute; small",0.01
0,"fig","orig","bird","bird",3,"f1",4,"slow; big",0.02
0,"fig","orig","bird","bird",3,"f1",3,"slow; small",0.06
0,"fig","orig","bird","bird",3,"f1",1,"fast; small",0.8
0,"fig","orig","bird","bird",3,"f1",2,"fast; big",0.2
0,"lit","orig","monkey","monkey",6,"gen",2,"funny; stupid",0.51
0,"lit","orig","monkey","monkey",6,"gen",4,"serious; stupid",0.04
0,"lit","orig","monkey","monkey",6,"gen",3,"serious; smart",0.04
0,"lit","orig","monkey","monkey",6,"gen",1,"funny; smart",0.26
0,"lit","orig","whale","whale",2,"f2",4,"small; shabby",0.02
0,"lit","orig","whale","whale",2,"f2",1,"big; majestic",0.67
0,"lit","orig","whale","whale",2,"f2",2,"big; shabby",0.01
0,"lit","orig","whale","whale",2,"f2",3,"small; majestic",0.03
0,"fig","alt","turtle","elephant",4,"f1",2,"big; soft",0.01
0,"fig","alt","turtle","elephant",4,"f1",4,"small; soft",0
0,"fig","alt","turtle","elephant",4,"f1",1,"big; hard",0.34
0,"fig","alt","turtle","elephant",4,"f1",3,"small; hard",0.68
0,"lit","alt","monkey","monkey",6,"f1",4,"serious; stupid",0.02
0,"lit","alt","monkey","monkey",6,"f1",3,"serious; smart",0.03
0,"lit","alt","monkey","monkey",6,"f1",2,"funny; stupid",0.24
0,"lit","alt","monkey","monkey",6,"f1",1,"funny; smart",0.53
0,"lit","alt","jaguar","bird",3,"f2",1,"fast; small",0.47
0,"lit","alt","jaguar","bird",3,"f2",4,"slow; big",0.03
0,"lit","alt","jaguar","bird",3,"f2",3,"slow; small",0.45
0,"lit","alt","jaguar","bird",3,"f2",2,"fast; big",0.03
0,"lit","orig","ant","ant",1,"f2",1,"small; industrious",0.47
0,"lit","orig","ant","ant",1,"f2",4,"big; lazy",0.04
0,"lit","orig","ant","ant",1,"f2",2,"small; lazy",0.04
0,"lit","orig","ant","ant",1,"f2",3,"big; industrious",0.48
0,"fig","orig","turtle","turtle",10,"f1",2,"slow; weak",0.46
0,"fig","orig","turtle","turtle",10,"f1",3,"fast; strong",0.03
0,"fig","orig","turtle","turtle",10,"f1",4,"fast; weak",0.02
0,"fig","orig","turtle","turtle",10,"f1",1,"slow; strong",0.24
0,"fig","orig","lion","lion",11,"f1",1,"fierce; strong",0.72
0,"fig","orig","lion","lion",11,"f1",4,"gentle; weak",0.01
0,"fig","orig","lion","lion",11,"f1",2,"fierce; weak",0.02
0,"fig","orig","lion","lion",11,"f1",3,"gentle; strong",0.21
0,"fig","orig","panda","panda",5,"f2",4,"ugly; small",0.03
