"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.condition"	"Answer.orders"	"Answer.items"	"Answer.desTypes"	"Answer.qualities"	"Answer.dimensions"	"Answer.speakerGenders"	"Answer.describedGenders"	"Answer.responses"	"Answer.gender"	"Answer.age"	"Answer.income"	"Answer.nativeLanguage"	"Answer.comments"
"3VLL1PIENQPG9UXCYRBXU77XJ1AOZC"	"3S2GEPESO9CMYYP11999N0F8TSJUQL"	"Psychology study: Animals (metset)"	"We are interested in how people communicate with each other. This experiment should take around 3-5 minutes."	"language research stanford fun cognitive science university psychology"	"$0.50"	"Mon Feb 08 13:47:25 PST 2016"	9	0	0	9	"Reviewable"	"NotReviewed"	"1 cond"	1800	60000	"Wed Mar 09 13:47:25 PST 2016"	"https://requester.mturk.com/mturk/manageHIT?HITId=3VLL1PIENQPG9UXCYRBXU77XJ1AOZC"	"3FTF2T8WLRJCVWMUCHD9NXDDCG49WR"	0	"Approved"	"Tue Feb 09 06:29:07 PST 2016"	"Mon Feb 08 13:47:53 PST 2016"	"Mon Feb 08 13:49:07 PST 2016"	"Tue Feb 09 06:31:56 PST 2016"	NA	NA	NA	NA	1	"[1,2,3,4,5,6]"	"[penguin,cheetah,elephant,turtle,giraffe,bird]"	"[lit,lit,fig,lit,fig,fig]"	"[short,fast,heavy,slow,tall,light]"	"[height,speed,weight,speed,height,weight]"	"[woman,man,woman,man,woman,man]"	"[woman,man,woman,woman,man,man]"	"[62,10,180,1,73,110]"	"F"	25	4	"english"	""
"3VLL1PIENQPG9UXCYRBXU77XJ1AOZC"	"3S2GEPESO9CMYYP11999N0F8TSJUQL"	"Psychology study: Animals (metset)"	"We are interested in how people communicate with each other. This experiment should take around 3-5 minutes."	"language research stanford fun cognitive science university psychology"	"$0.50"	"Mon Feb 08 13:47:25 PST 2016"	9	0	0	9	"Reviewable"	"NotReviewed"	"1 cond"	1800	60000	"Wed Mar 09 13:47:25 PST 2016"	"https://requester.mturk.com/mturk/manageHIT?HITId=3VLL1PIENQPG9UXCYRBXU77XJ1AOZC"	"3Z4AIRP3C6E9VROPI9U2AA91N6M1X3"	1	"Approved"	"Tue Feb 09 06:29:27 PST 2016"	"Mon Feb 08 13:47:55 PST 2016"	"Mon Feb 08 13:49:27 PST 2016"	"Tue Feb 09 06:31:56 PST 2016"	NA	NA	NA	NA	1	"[1,2,3,4,5,6]"	"[bird,giraffe,elephant,turtle,cheetah,penguin]"	"[fig,lit,fig,lit,fig,lit]"	"[light,tall,heavy,slow,fast,short]"	"[weight,height,weight,speed,speed,height]"	"[woman,man,man,woman,woman,woman]"	"[woman,woman,man,man,woman,man]"	"[110,70,300,2,2,60]"	"M"	25	4	"english"	""
"3VLL1PIENQPG9UXCYRBXU77XJ1AOZC"	"3S2GEPESO9CMYYP11999N0F8TSJUQL"	"Psychology study: Animals (metset)"	"We are interested in how people communicate with each other. This experiment should take around 3-5 minutes."	"language research stanford fun cognitive science university psychology"	"$0.50"	"Mon Feb 08 13:47:25 PST 2016"	9	0	0	9	"Reviewable"	"NotReviewed"	"1 cond"	1800	60000	"Wed Mar 09 13:47:25 PST 2016"	"https://requester.mturk.com/mturk/manageHIT?HITId=3VLL1PIENQPG9UXCYRBXU77XJ1AOZC"	"3LBXNTKX0RWRKWRKMM9VPGRKLIA9XK"	2	"Approved"	"Tue Feb 09 06:30:03 PST 2016"	"Mon Feb 08 13:48:08 PST 2016"	"Mon Feb 08 13:50:03 PST 2016"	"Tue Feb 09 06:31:56 PST 2016"	NA	NA	NA	NA	1	"[1,2,3,4,5,6]"	"[bird,elephant,cheetah,turtle,penguin,giraffe]"	"[fig,fig,lit,fig,lit,lit]"	"[light,heavy,fast,slow,short,tall]"	"[weight,weight,speed,speed,height,height]"	"[woman,man,man,man,man,man]"	"[woman,woman,man,man,man,woman]"	"[90,350,15,2,64,70]"	"F"	25	6	"English"	"none."
"3VLL1PIENQPG9UXCYRBXU77XJ1AOZC"	"3S2GEPESO9CMYYP11999N0F8TSJUQL"	"Psychology study: Animals (metset)"	"We are interested in how people communicate with each other. This experiment should take around 3-5 minutes."	"language research stanford fun cognitive science university psychology"	"$0.50"	"Mon Feb 08 13:47:25 PST 2016"	9	0	0	9	"Reviewable"	"NotReviewed"	"1 cond"	1800	60000	"Wed Mar 09 13:47:25 PST 2016"	"https://requester.mturk.com/mturk/manageHIT?HITId=3VLL1PIENQPG9UXCYRBXU77XJ1AOZC"	"3TYCR1GOTCKBQTS8C106RAYQTCOZL3"	3	"Approved"	"Tue Feb 09 06:30:55 PST 2016"	"Mon Feb 08 13:47:54 PST 2016"	"Mon Feb 08 13:50:55 PST 2016"	"Tue Feb 09 06:31:56 PST 2016"	NA	NA	NA	NA	1	"[1,2,3,4,5,6]"	"[bird,penguin,turtle,giraffe,elephant,cheetah]"	"[lit,lit,fig,lit,fig,fig]"	"[light,short,slow,tall,heavy,fast]"	"[weight,height,speed,height,weight,speed]"	"[woman,man,woman,woman,man,woman]"	"[man,woman,man,woman,man,woman]"	"[175,64,3,70,260,8]"	"F"	45	10	"English"	""
"3VLL1PIENQPG9UXCYRBXU77XJ1AOZC"	"3S2GEPESO9CMYYP11999N0F8TSJUQL"	"Psychology study: Animals (metset)"	"We are interested in how people communicate with each other. This experiment should take around 3-5 minutes."	"language research stanford fun cognitive science university psychology"	"$0.50"	"Mon Feb 08 13:47:25 PST 2016"	9	0	0	9	"Reviewable"	"NotReviewed"	"1 cond"	1800	60000	"Wed Mar 09 13:47:25 PST 2016"	"https://requester.mturk.com/mturk/manageHIT?HITId=3VLL1PIENQPG9UXCYRBXU77XJ1AOZC"	"3EJJQNKU9R6026NRBZRVDF3K3EWRHV"	4	"Approved"	"Tue Feb 09 06:31:18 PST 2016"	"Mon Feb 08 13:48:00 PST 2016"	"Mon Feb 08 13:51:18 PST 2016"	"Tue Feb 09 06:31:56 PST 2016"	NA	NA	NA	NA	1	"[1,2,3,4,5,6]"	"[turtle,elephant,penguin,bird,cheetah,giraffe]"	"[fig,lit,fig,fig,lit,lit]"	"[slow,heavy,short,light,fast,tall]"	"[speed,weight,height,weight,speed,height]"	"[woman,woman,man,woman,man,man]"	"[man,woman,woman,man,man,woman]"	"[3,200,56,90,10,74]"	"M"	45	4	"English"	"Thanks!"
"3VLL1PIENQPG9UXCYRBXU77XJ1AOZC"	"3S2GEPESO9CMYYP11999N0F8TSJUQL"	"Psychology study: Animals (metset)"	"We are interested in how people communicate with each other. This experiment should take around 3-5 minutes."	"language research stanford fun cognitive science university psychology"	"$0.50"	"Mon Feb 08 13:47:25 PST 2016"	9	0	0	9	"Reviewable"	"NotReviewed"	"1 cond"	1800	60000	"Wed Mar 09 13:47:25 PST 2016"	"https://requester.mturk.com/mturk/manageHIT?HITId=3VLL1PIENQPG9UXCYRBXU77XJ1AOZC"	"3CFJTT4SXTRQGIEW83BA8ADZ2FI7I6"	5	"Approved"	"Tue Feb 09 06:31:25 PST 2016"	"Mon Feb 08 13:48:17 PST 2016"	"Mon Feb 08 13:51:25 PST 2016"	"Tue Feb 09 06:31:56 PST 2016"	NA	NA	NA	NA	1	"[1,2,3,4,5,6]"	"[penguin,elephant,turtle,cheetah,giraffe,bird]"	"[lit,fig,fig,lit,lit,fig]"	"[short,heavy,slow,fast,tall,light]"	"[height,weight,speed,speed,height,weight]"	"[woman,woman,man,man,woman,man]"	"[man,woman,woman,man,man,woman]"	"[67,300,1,10,76,100]"	"F"	25	4	"English"	""
"3VLL1PIENQPG9UXCYRBXU77XJ1AOZC"	"3S2GEPESO9CMYYP11999N0F8TSJUQL"	"Psychology study: Animals (metset)"	"We are interested in how people communicate with each other. This experiment should take around 3-5 minutes."	"language research stanford fun cognitive science university psychology"	"$0.50"	"Mon Feb 08 13:47:25 PST 2016"	9	0	0	9	"Reviewable"	"NotReviewed"	"1 cond"	1800	60000	"Wed Mar 09 13:47:25 PST 2016"	"https://requester.mturk.com/mturk/manageHIT?HITId=3VLL1PIENQPG9UXCYRBXU77XJ1AOZC"	"3TMSXRD2X61U6RJZ84YG8RVUE4G1WA"	6	"Approved"	"Tue Feb 09 06:31:46 PST 2016"	"Mon Feb 08 13:47:59 PST 2016"	"Mon Feb 08 13:51:46 PST 2016"	"Tue Feb 09 06:31:56 PST 2016"	NA	NA	NA	NA	1	"[1,2,3,4,5,6]"	"[giraffe,cheetah,penguin,elephant,bird,turtle]"	"[lit,fig,lit,fig,lit,fig]"	"[tall,fast,short,heavy,light,slow]"	"[height,speed,height,weight,weight,speed]"	"[man,man,man,woman,woman,man]"	"[woman,woman,man,man,man,woman]"	"[73,15,65,300,150,8]"	"M"	35	4	"English"	""
"3VLL1PIENQPG9UXCYRBXU77XJ1AOZC"	"3S2GEPESO9CMYYP11999N0F8TSJUQL"	"Psychology study: Animals (metset)"	"We are interested in how people communicate with each other. This experiment should take around 3-5 minutes."	"language research stanford fun cognitive science university psychology"	"$0.50"	"Mon Feb 08 13:47:25 PST 2016"	9	0	0	9	"Reviewable"	"NotReviewed"	"1 cond"	1800	60000	"Wed Mar 09 13:47:25 PST 2016"	"https://requester.mturk.com/mturk/manageHIT?HITId=3VLL1PIENQPG9UXCYRBXU77XJ1AOZC"	"352YTHGROVET10LT0NVI5MSAB0D4HQ"	7	"Approved"	"Tue Feb 09 06:33:24 PST 2016"	"Mon Feb 08 13:48:10 PST 2016"	"Mon Feb 08 13:53:24 PST 2016"	"Tue Feb 09 06:36:55 PST 2016"	NA	NA	NA	NA	1	"[1,2,3,4,5,6]"	"[penguin,cheetah,giraffe,turtle,bird,elephant]"	"[fig,fig,lit,fig,lit,lit]"	"[short,fast,tall,slow,light,heavy]"	"[height,speed,height,speed,weight,weight]"	"[man,woman,woman,man,woman,man]"	"[man,woman,woman,woman,man,man]"	"[25,20,73,3,150,200]"	"M"	35	4	"english"	""
"3VLL1PIENQPG9UXCYRBXU77XJ1AOZC"	"3S2GEPESO9CMYYP11999N0F8TSJUQL"	"Psychology study: Animals (metset)"	"We are interested in how people communicate with each other. This experiment should take around 3-5 minutes."	"language research stanford fun cognitive science university psychology"	"$0.50"	"Mon Feb 08 13:47:25 PST 2016"	9	0	0	9	"Reviewable"	"NotReviewed"	"1 cond"	1800	60000	"Wed Mar 09 13:47:25 PST 2016"	"https://requester.mturk.com/mturk/manageHIT?HITId=3VLL1PIENQPG9UXCYRBXU77XJ1AOZC"	"38F5OAUN5NDQKN3C2LTP8YCK224H7O"	8	"Approved"	"Tue Feb 09 07:19:00 PST 2016"	"Mon Feb 08 14:28:16 PST 2016"	"Mon Feb 08 14:39:00 PST 2016"	"Tue Feb 09 07:21:53 PST 2016"	NA	NA	NA	NA	1	"[1,2,3,4,5,6]"	"[bird,cheetah,elephant,giraffe,turtle,penguin]"	"[lit,fig,fig,lit,lit,fig]"	"[light,fast,heavy,tall,slow,short]"	"[weight,speed,weight,height,speed,height]"	"[man,woman,woman,man,woman,man]"	"[man,man,man,woman,woman,woman]"	"[150,10,255,70,5,60]"	"M"	35	6	"English"	""
"3OID399FXG8J0GFN763AGLFG3IADFH"	"3S2GEPESO9CMYYP11999N0F8TSJUQL"	"Psychology study: Animals (metset)"	"We are interested in how people communicate with each other. This experiment should take around 3-5 minutes."	"language research stanford fun cognitive science university psychology"	"$0.50"	"Mon Feb 08 14:20:23 PST 2016"	9	0	0	9	"Reviewable"	"NotReviewed"	"1 cond"	1800	60000	"Wed Mar 09 14:20:23 PST 2016"	"https://requester.mturk.com/mturk/manageHIT?HITId=3OID399FXG8J0GFN763AGLFG3IADFH"	"3HPZF4IVNMUIIZOX325OAKZ1T98CYB"	9	"Approved"	"Tue Feb 09 07:02:01 PST 2016"	"Mon Feb 08 14:20:56 PST 2016"	"Mon Feb 08 14:22:01 PST 2016"	"Tue Feb 09 07:06:52 PST 2016"	NA	NA	NA	NA	1	"[1,2,3,4,5,6]"	"[turtle,cheetah,bird,elephant,giraffe,penguin]"	"[fig,lit,lit,lit,fig,fig]"	"[slow,fast,light,heavy,tall,short]"	"[speed,speed,weight,weight,height,height]"	"[man,man,woman,woman,man,woman]"	"[man,woman,man,man,woman,woman]"	"[2,10,150,500,73,59]"	"F"	35	10	"english"	NA
