workerid	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.orders	Answer.items	Answer.dimensions	Answer.desTypes	Answer.qualities	Answer.speakerGenders	Answer.genders	Answer.bins0	Answer.bins1	Answer.bins2	Answer.bins3	Answer.bins4	Answer.bins5	Answer.bins6	Answer.bins7	Answer.bins8	Answer.bins9	Answer.priors0	Answer.priors1	Answer.priors2	Answer.priors3	Answer.priors4	Answer.priors5	Answer.priors6	Answer.priors7	Answer.priors8	Answer.priors9
1	M	25	4	english	1,2,3,4,5,6	cheetah,bird,elephant,hamster,turtle,giraffe	speed,weight,weight,height,speed,height	lit,lit,fig,fig,fig,lit	fast,light,heavy,short,slow,tall	man,man,woman,man,man,woman	man,woman,woman,man,man,woman	0,0,0,0,0,0	1,10,10,0.5,1,0.5	5,100,100,4,5,4	10,120,120,4.5,10,4.5	12,140,140,5,12,5	14,160,160,5.5,14,5.5	16,180,180,6,16,6	18,200,200,6.5,18,6.5	20,220,220,7,20,7	60,10000,10000,15,60,15	0.95,0.02,0.03,0.32,0.03,0.03	0.94,0.03,0.03,0.6,0.86,0.03	0.49,0.44,0.25,0.19,0.38,0.04	0.3,0.8,0.38,0.04,0.03,0.03	0.03,0.34,0.57,0.02,0.03,0.41	0.02,0.1,0.66,0.02,0.03,0.86	0.01,0,0.76,0.02,0.04,0.95	0.02,0.01,0.85,0.02,0.03,0.45	0.03,0,0.91,0.03,0,0.02	0,0.02,0.03,0.02,0.02,0
2	M	35	4	english	1,2,3,4,5,6	elephant,bird,giraffe,hamster,cheetah,turtle	weight,weight,height,height,speed,speed	lit,fig,lit,lit,fig,fig	heavy,light,tall,short,fast,slow	woman,man,man,man,woman,man	man,man,woman,man,woman,woman	0,0,0,0,0,0	10,10,0.5,0.5,1,1	100,100,4,4,5,5	120,120,4.5,4.5,10,10	140,140,5,5,12,12	160,160,5.5,5.5,14,14	180,180,6,6,16,16	200,200,6.5,6.5,18,18	220,220,7,7,20,20	10000,10000,15,15,60,60	0,0.02,0.02,0.01,0.02,0.02	0,0.01,0.01,0.01,0.01,0.19	0,0.38,0.02,0.12,0.02,0.49	0,0.82,0.01,0.12,0.01,0.88	0,0.69,0.16,0.9,0.29,0.28	0.11,0.02,0.88,0.4,0.53,0.07	0.19,0.04,0.78,0.02,0.9,0.01	0.54,0.04,0.16,0.02,0.33,0.01	0.85,0.01,0.01,0.02,0,0.01	0,0.01,0,0.02,0.02,0.01
3	F	25	4	English	1,2,3,4,5,6	cheetah,hamster,bird,turtle,giraffe,elephant	speed,height,weight,speed,height,weight	lit,fig,lit,fig,fig,lit	fast,short,light,slow,tall,heavy	man,man,man,man,man,woman	woman,man,woman,man,woman,man	0,0,0,0,0,0	1,0.5,10,1,0.5,10	5,4,100,5,4,100	10,4.5,120,10,4.5,120	12,5,140,12,5,140	14,5.5,160,14,5.5,160	16,6,180,16,6,180	18,6.5,200,18,6.5,200	20,7,220,20,7,220	60,15,10000,60,15,10000	0.97,0.01,0.01,0.96,0.02,0.02	0.97,0.01,0.97,0.99,0.02,0.03	0.99,0.18,0.99,0.97,0.02,0.02	0.97,0.28,0.72,0.83,0.02,0.01	0.97,0.28,0.34,0.62,0.01,0	0.67,0.07,0.15,0.27,0.41,0.17	0.19,0.02,0.04,0.01,0.75,0.41	0,0,0.01,0.01,0.87,0.8	0.01,0.01,0.02,0.02,0.74,0.98	0.03,0,0.02,0.01,0.01,0.71
4	M	25	6	english	1,2,3,4,5,6	giraffe,elephant,bird,turtle,hamster,cheetah	height,weight,weight,speed,height,speed	lit,lit,lit,fig,fig,fig	tall,heavy,light,slow,short,fast	woman,woman,man,man,woman,man	man,woman,man,woman,woman,man	0,0,0,0,0,0	0.5,10,10,1,0.5,1	4,100,100,5,4,5	4.5,120,120,10,4.5,10	5,140,140,12,5,12	5.5,160,160,14,5.5,14	6,180,180,16,6,16	6.5,200,200,18,6.5,18	7,220,220,20,7,20	15,10000,10000,60,15,60	0,0.02,0.04,0.98,0.03,0.03	0,0.02,0.04,0.98,0.04,0.04	0.02,0.03,0.02,0.98,0.55,0.03	0.03,0.03,0.61,0.47,0.97,0.05	0.02,0.02,0.98,0.02,0.28,0.26	0.03,0.44,0.38,0.03,0.04,0.59	0.97,0.59,0.05,0.02,0.05,0.6	0.47,0.76,0.03,0.05,0.04,0.62	0.04,0.03,0.04,0.02,0.02,0.16	0.03,0.03,0.03,0.05,0.03,0.02
5	F	35	4	vietnamese	1,2,3,4,5,6	elephant,giraffe,cheetah,hamster,turtle,bird	weight,height,speed,height,speed,weight	lit,lit,fig,lit,fig,fig	heavy,tall,fast,short,slow,light	man,woman,woman,woman,man,man	woman,man,man,man,woman,woman	0,0,0,0,0,0	10,0.5,1,0.5,1,10	100,4,5,4,5,100	120,4.5,10,4.5,10,120	140,5,12,5,12,140	160,5.5,14,5.5,14,160	180,6,16,6,16,180	200,6.5,18,6.5,18,200	220,7,20,7,20,220	10000,15,60,15,60,10000	0.02,0.03,0.01,0.02,0.97,0	0.03,0.02,0,0.85,0.99,0.96	0.03,0.03,0.03,0.93,0.77,0.78	0.04,0.03,0.16,0.9,0.69,0.68	0.08,0.02,0.33,0.87,0.42,0.45	0.2,0.58,0.49,0.19,0.15,0.35	0.51,0.79,0.64,0.02,0.12,0.03	0.75,0.95,0.84,0.02,0,0.02	0.97,0.96,0.96,0.03,0.02,0.01	0.96,0.04,0.97,0.04,0.03,0.01
6	M	25	4	English	1,2,3,4,5,6	bird,hamster,elephant,turtle,cheetah,giraffe	weight,height,weight,speed,speed,height	fig,fig,lit,lit,lit,fig	light,short,heavy,slow,fast,tall	man,man,man,woman,woman,woman	woman,man,woman,man,man,woman	0,0,0,0,0,0	10,0.5,10,1,1,0.5	100,4,100,5,5,4	120,4.5,120,10,10,4.5	140,5,140,12,12,5	160,5.5,160,14,14,5.5	180,6,180,16,16,6	200,6.5,200,18,18,6.5	220,7,220,20,20,7	10000,15,10000,60,60,15	0,0,0,1,1,0	0.71,0,0.23,1,1,0.03	0.82,0.07,0.38,0.74,1,0.29	0.73,0.5,0.47,0.08,1,0.32	0.07,0.79,0.61,0,1,0.48	0,0.48,0.7,0,0.9,0.68	0,0.04,0.76,0,0.76,0.82	0,0,0.85,0,0.57,0.79	0,0,0.23,0,0.09,0.69	0,0,0,0,0,0
7	F	45	0	English	1,2,3,4,5,6	giraffe,elephant,hamster,bird,turtle,cheetah	height,weight,height,weight,speed,speed	fig,lit,lit,lit,fig,fig	tall,heavy,short,light,slow,fast	woman,man,woman,man,woman,man	woman,woman,man,man,woman,man	0,0,0,0,0,0	0.5,10,0.5,10,1,1	4,100,4,100,5,5	4.5,120,4.5,120,10,10	5,140,5,140,12,12	5.5,160,5.5,160,14,14	6,180,6,180,16,16	6.5,200,6.5,200,18,18	7,220,7,220,20,20	15,10000,15,10000,60,60	0.05,0,0.02,0.03,0.88,0.15	0.04,0.13,0.03,0.67,0.88,0.23	0.22,0.2,0.27,0.87,0.53,0.66	0.32,0.24,0.77,0.87,0.35,0.82	0.47,0.29,0.86,0.76,0.19,0.95	0.7,0.6,0.73,0.6,0.12,0.89	0.88,0.8,0.6,0.47,0.09,0.67	0.9,0.6,0.38,0.03,0.12,0.52	0.19,0,0.16,0.02,0.09,0.09	0.1,0,0.02,0.03,0.02,0.02
8	M	25	10	English	1,2,3,4,5,6	giraffe,hamster,cheetah,turtle,elephant,bird	height,height,speed,speed,weight,weight	lit,lit,lit,fig,fig,fig	tall,short,fast,slow,heavy,light	man,man,man,woman,man,man	man,man,woman,woman,woman,man	0,0,0,0,0,0	0.5,0.5,1,1,10,10	4,4,5,5,100,100	4.5,4.5,10,10,120,120	5,5,12,12,140,140	5.5,5.5,14,14,160,160	6,6,16,16,180,180	6.5,6.5,18,18,200,200	7,7,20,20,220,220	15,15,60,60,10000,10000	0,0,0,0.55,0,0	0,0.07,0.19,0.55,0.08,0.06	0,0.4,0.22,0.12,0.14,0.2	0,0.51,0.53,0.05,0.14,0.56	0,0.63,0.57,0,0.2,0.3	0.32,0.63,0.56,0,0.22,0.09	0.79,0.09,0.17,0,0.28,0.07	0.47,0,0.16,0,0.48,0.05	0.08,0,0,0,0.58,0.05	0,0,0,0,0,0
9	M	35	6	English	1,2,3,4,5,6	giraffe,cheetah,elephant,bird,turtle,hamster	height,speed,weight,weight,speed,height	lit,lit,fig,fig,lit,fig	tall,fast,heavy,light,slow,short	man,man,man,man,woman,woman	man,man,woman,woman,woman,man	0,0,0,0,0,0	0.5,1,10,10,1,0.5	4,5,100,100,5,4	4.5,10,120,120,10,4.5	5,12,140,140,12,5	5.5,14,160,160,14,5.5	6,16,180,180,16,6	6.5,18,200,200,18,6.5	7,20,220,220,20,7	15,60,10000,10000,60,15	0,0.03,0,0,0.4,0	0,0.97,0,0.77,0.97,0	0,0.74,0.07,0.74,0.43,0.04	0,0.55,0.14,0.51,0.12,0.08	0,0.39,0.21,0.34,0,0.68	0.38,0.29,0.37,0.11,0,0.65	0.93,0.18,0.57,0.06,0,0.06	0.46,0.07,0.7,0.01,0,0	0.09,0.01,0.89,0,0,0	0,0,0,0,0,0
10	F	35	4	English	1,2,3,4,5,6	elephant,giraffe,bird,hamster,turtle,cheetah	weight,height,weight,height,speed,speed	lit,fig,lit,lit,fig,fig	heavy,tall,light,short,slow,fast	man,woman,man,man,woman,man	woman,woman,woman,man,man,man	0,0,0,0,0,0	10,0.5,10,0.5,1,1	100,4,100,4,5,5	120,4.5,120,4.5,10,10	140,5,140,5,12,12	160,5.5,160,5.5,14,14	180,6,180,6,16,16	200,6.5,200,6.5,18,18	220,7,220,7,20,20	10000,15,10000,15,60,60	0.02,0,0,0,0.82,0.01	0.05,0.07,0.86,0.86,0.71,0.08	0.1,0.08,0.72,0.9,0.03,0.65	0.17,0.12,0.63,0.94,0,0.92	0.26,0.15,0.47,0.95,0,0.9	0.37,0.81,0.12,0.76,0,0.78	0.61,0.89,0.04,0.23,0,0.49	0.55,0.67,0.01,0.06,0,0.16	0.12,0.08,0,0,0,0	0,0.03,0.02,0,0,0
