workerID,gender,age,income,language,order,item,dimension,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,prior0,prior1,prior2,prior3,prior4,prior5,prior6,prior7,prior8,prior9
1,F,25,4,English,1,turtle,speed,0,1,5,10,12,14,16,18,20,60,0.375,0.33984375,0.28515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,F,25,4,English,2,giraffe,height,0,0.5,4,4.5,5,5.5,6,6.5,7,15,0.105485232068,0.105485232068,0.102320675105,0.105485232068,0.105485232068,0.105485232068,0.105485232068,0.105485232068,0.0907172995781,0.0685654008439
1,F,25,4,English,3,man,speed,0,1,5,10,12,14,16,18,20,60,0.191570881226,0.191570881226,0.168582375479,0.13601532567,0.11877394636,0.0900383141762,0.0747126436782,0.0287356321839,0.0,0.0
1,F,25,4,English,4,woman,speed,0,1,5,10,12,14,16,18,20,60,0.217391304348,0.217391304348,0.173913043478,0.126086956522,0.1,0.0739130434783,0.054347826087,0.0369565217391,0.0,0.0
1,F,25,4,English,5,elephant,weight,0,10,100,120,140,160,180,200,220,10000,0.112994350282,0.112994350282,0.112994350282,0.112994350282,0.112994350282,0.112994350282,0.112994350282,0.112994350282,0.0757062146893,0.0203389830508
1,F,25,4,English,6,woman,height,0,0.5,4,4.5,5,5.5,6,6.5,7,15,0.219298245614,0.201754385965,0.197368421053,0.168859649123,0.118421052632,0.0592105263158,0.0263157894737,0.00877192982456,0.0,0.0
1,F,25,4,English,7,man,height,0,0.5,4,4.5,5,5.5,6,6.5,7,15,0.201207243461,0.201207243461,0.191146881288,0.177062374245,0.130784708249,0.0583501006036,0.0301810865191,0.010060362173,0.0,0.0
1,F,25,4,English,8,woman,weight,0,10,100,120,140,160,180,200,220,10000,0.185185185185,0.166666666667,0.151851851852,0.135185185185,0.109259259259,0.0925925925926,0.0796296296296,0.0574074074074,0.0222222222222,0.0
1,F,25,4,English,9,cheetah,speed,0,1,5,10,12,14,16,18,20,60,0.113250283126,0.113250283126,0.113250283126,0.113250283126,0.113250283126,0.113250283126,0.113250283126,0.113250283126,0.0872027180068,0.00679501698754
1,F,25,4,English,10,bird,weight,0,10,100,120,140,160,180,200,220,10000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
