workerID,gender,age,income,language,order,item,dimension,bin,prior
1,F,25,4,English,1,turtle,speed,0,0.375
1,F,25,4,English,1,turtle,speed,1,0.33984375
1,F,25,4,English,1,turtle,speed,5,0.28515625
1,F,25,4,English,1,turtle,speed,10,0.0
1,F,25,4,English,1,turtle,speed,12,0.0
1,F,25,4,English,1,turtle,speed,14,0.0
1,F,25,4,English,1,turtle,speed,16,0.0
1,F,25,4,English,1,turtle,speed,18,0.0
1,F,25,4,English,1,turtle,speed,20,0.0
1,F,25,4,English,1,turtle,speed,60,0.0
1,F,25,4,English,2,giraffe,height,0,0.105485232068
1,F,25,4,English,2,giraffe,height,0.5,0.105485232068
1,F,25,4,English,2,giraffe,height,4,0.102320675105
1,F,25,4,English,2,giraffe,height,4.5,0.105485232068
1,F,25,4,English,2,giraffe,height,5,0.105485232068
1,F,25,4,English,2,giraffe,height,5.5,0.105485232068
1,F,25,4,English,2,giraffe,height,6,0.105485232068
1,F,25,4,English,2,giraffe,height,6.5,0.105485232068
1,F,25,4,English,2,giraffe,height,7,0.0907172995781
1,F,25,4,English,2,giraffe,height,15,0.0685654008439
1,F,25,4,English,3,man,speed,0,0.191570881226
1,F,25,4,English,3,man,speed,1,0.191570881226
1,F,25,4,English,3,man,speed,5,0.168582375479
1,F,25,4,English,3,man,speed,10,0.13601532567
1,F,25,4,English,3,man,speed,12,0.11877394636
1,F,25,4,English,3,man,speed,14,0.0900383141762
1,F,25,4,English,3,man,speed,16,0.0747126436782
1,F,25,4,English,3,man,speed,18,0.0287356321839
1,F,25,4,English,3,man,speed,20,0.0
1,F,25,4,English,3,man,speed,60,0.0
1,F,25,4,English,4,woman,speed,0,0.217391304348
1,F,25,4,English,4,woman,speed,1,0.217391304348
1,F,25,4,English,4,woman,speed,5,0.173913043478
1,F,25,4,English,4,woman,speed,10,0.126086956522
1,F,25,4,English,4,woman,speed,12,0.1
1,F,25,4,English,4,woman,speed,14,0.0739130434783
1,F,25,4,English,4,woman,speed,16,0.054347826087
1,F,25,4,English,4,woman,speed,18,0.0369565217391
1,F,25,4,English,4,woman,speed,20,0.0
1,F,25,4,English,4,woman,speed,60,0.0
1,F,25,4,English,5,elephant,weight,0,0.112994350282
1,F,25,4,English,5,elephant,weight,10,0.112994350282
1,F,25,4,English,5,elephant,weight,100,0.112994350282
1,F,25,4,English,5,elephant,weight,120,0.112994350282
1,F,25,4,English,5,elephant,weight,140,0.112994350282
1,F,25,4,English,5,elephant,weight,160,0.112994350282
