dimension,animal,0,1,2,3,4,5,6,7,8,9
height,animalA,0.205810960034787,0.458766168805167,0.145350577233808,0.083623728540052,0.0425689469496057,0.031448137596977,0.006251511937344,0.0103438381156437,0.00894443804051267,0.006891692746014
height,animalB,0.0105799999930897,0.018882016250192,0.0273339431278523,0.0399459523137403,0.0563239641838323,0.072446778529327,0.09359340710608,0.14108672130692,0.265113243259273,0.274693973929906
height,man,0.00466584651275533,0.0256393467368847,0.055110737963629,0.0857493009542357,0.15851605077849,0.275003998648351,0.207387504980247,0.10909237227593,0.0604353422593143,0.0183994988903297
height,woman,0.008093452863883,0.04065836891396,0.100889918421187,0.168045813088943,0.287079538841867,0.2272221608992,0.0925271982385433,0.049719152114149,0.0195911356449417,0.00617326097329267
speed,animalA,0.471321580972,0.320479211884384,0.102094320911577,0.0371106414013783,0.018758892985418,0.0163937191101723,0.0129094132369433,0.0102423376868027,0.00528287277537933,0.00540700903592333
speed,animalB,0.0474271137031097,0.0540927452664767,0.058581191268784,0.059961135667886,0.062919858450124,0.0666201793971333,0.0740292091516873,0.119858864657327,0.279698500329703,0.176811202107631
speed,man,0.0692925512364423,0.153389251334603,0.164912741068333,0.16471019646636,0.126475994314087,0.102881751320657,0.0813287333178603,0.0752116301026433,0.0456354602147027,0.0161616906241867
speed,woman,0.070361131255806,0.154514100674333,0.181532011822487,0.169249442019243,0.144015808486637,0.110163460734857,0.0848252399126637,0.0678437134865957,0.0152574575234293,0.00223763408401833
weight,animalA,0.536260708084933,0.258905119455233,0.0540259993885453,0.038898567998987,0.031865192036153,0.021766059588123,0.0220938825020947,0.017559835917681,0.01263239701822,0.00599223800996
weight,animalB,0.0151946926075433,0.0225916396726337,0.0322757021291367,0.036245239058414,0.0439219176528107,0.0487360237276323,0.0623274468850367,0.104543363204844,0.415349573514332,0.218814401547509
weight,man,0.008442112435133,0.033886558319676,0.07570437419588,0.113938707430203,0.15562964200941,0.178586353401867,0.175455778594023,0.147148214448303,0.106182238102743,0.005026021062748
weight,woman,0.00268880957060967,0.09555471248335,0.16524644318164,0.1769125620819,0.16414176220851,0.13880785555072,0.112164134334393,0.0893650538296733,0.054188426420753,0.000930240338364333
