featureID,feature,animal,freq
1,small,mouse,29
1,small,ant,4
1,small,dog,3
1,small,bird,2
1,small,snail,2
1,small,squirrel,2
1,small,bug,1
1,small,cat,1
1,small,chipmunk,1
1,small,gopher,1
1,small,ladybug,1
1,small,lizard,1
1,small,rabbit,1
1,small,rat,1
2,industrious,ant,14
2,industrious,beaver,6
2,industrious,monkey,6
2,industrious,cow,2
2,industrious,dog,2
2,industrious,donkey,2
2,industrious,horse,2
2,industrious,mule,2
2,industrious,anteater,1
2,industrious,bee,1
2,industrious,bird,1
2,industrious,crow,1
2,industrious,elephant,1
2,industrious,honeybadger,1
2,industrious,human,1
2,industrious,humans,1
2,industrious,lion,1
2,industrious,orangatain,1
2,industrious,rackoon,1
2,industrious,rat,1
2,industrious,rhinocerous,1
2,industrious,skunk,1
3,big,elephant,23
3,big,whale,6
3,big,bear,5
3,big,hippo,5
3,big,gorilla,3
3,big,bluewhale,2
3,big,buffalo,2
3,big,rhino,2
3,big,horse,1
3,big,tiger,1
4,majestic,lion,12
4,majestic,horse,9
4,majestic,eagle,5
4,majestic,tiger,3
4,majestic,elephant,2
4,majestic,peacock,2
4,majestic,whale,2
4,majestic,baldeagle,1
4,majestic,bear,1
4,majestic,cat,1
4,majestic,dog,1
4,majestic,flyingsquirrel,1
4,majestic,gazelle,1
4,majestic,hourse,1
4,majestic,jaguar,1
4,majestic,longhairedguineapig,1
4,majestic,lynx,1
4,majestic,mustang,1
4,majestic,owl,1
4,majestic,pig,1
4,majestic,sharks,1
4,majestic,unicorn,1
5,fast,cheetah,27
5,fast,cheeta,3
5,fast,jaguar,3
5,fast,leopard,3
5,fast,cat,2
5,fast,antelope,1
5,fast,chetta,1
5,fast,cougar,1
5,fast,dog,1
5,fast,horse,1
5,fast,impala,1
5,fast,lion,1
5,fast,mountainlion,1
5,fast,ostrich,1
5,fast,panther,1
5,fast,rabbit,1
5,fast,tiger,1
6,hard,turtle,23
6,hard,armadillo,7
6,hard,rhino,4
6,hard,elephant,2
6,hard,pig,2
6,hard,alligator,1
6,hard,billygoat,1
6,hard,buffalo,1
6,hard,bull,1
6,hard,clam,1
6,hard,crab,1
6,hard,hippo,1
6,hard,horse,1
6,hard,polarbear,1
6,hard,porcupine,1
6,hard,tortoise,1
6,hard,turrtle,1
7,cute,cat,11
7,cute,dog,10
7,cute,kitten,8
7,cute,rabbit,4
7,cute,bunny,3
7,cute,panda,2
7,cute,puppy,2
7,cute,bear,1
7,cute,chinchilla,1
7,cute,cockerspaniel,1
7,cute,hamster,1
7,cute,khalabear,1
7,cute,koala,1
7,cute,monkey,1
7,cute,penguin,1
7,cute,puppydog,1
7,cute,sugarglide,1
8,funny,monkey,15
8,funny,cat,6
8,funny,dog,4
8,funny,hyena,4
8,funny,gorilla,2
8,funny,horse,2
8,funny,pig,2
8,funny,aardvark,1
8,funny,baboons,1
8,funny,bulldog,1
8,funny,ferret,1
8,funny,giraffe,1
8,funny,hedgehog,1
8,funny,meerkat,1
8,funny,mouse,1
8,funny,panda,1
8,funny,parrot,1
8,funny,penguin,1
8,funny,platypus,1
8,funny,rabbit,1
8,funny,sloth,1
8,funny,slothe,1
9,smart,dog,16
9,smart,dolphin,12
9,smart,monkey,4
9,smart,cat,3
9,smart,chimpanzee,2
9,smart,owl,2
9,smart,ape,1
9,smart,bird,1
9,smart,chimapanzee,1
9,smart,elephant,1
9,smart,octopus,1
9,smart,orcas,1
9,smart,parrot,1
9,smart,pig,1
9,smart,rat,1
9,smart,tiger,1
9,smart,whale,1
10,tall,giraffe,43
10,tall,horse,2
10,tall,bears,1
10,tall,elephant,1
10,tall,elethan,1
10,tall,flamingo,1
10,tall,giraffee,1
11,long,snake,28
11,long,giraffe,8
11,long,whale,3
11,long,...crocodiles,1
11,long,aardvark,1
11,long,aligator,1
11,long,alligator,1
11,long,bluewhale,1
11,long,cat,1
11,long,crocodile,1
11,long,fox,1
11,long,horse,1
11,long,octopus,1
11,long,platypus,1
12,agile,monkey,9
12,agile,cat,8
12,agile,cheetah,5
12,agile,deer,5
12,agile,horse,3
12,agile,panther,2
12,agile,bird,1
12,agile,cheeta,1
12,agile,cougar,1
12,agile,dontknow,1
12,agile,falcon,1
12,agile,gazelle,1
12,agile,gorilla,1
12,agile,jaguar,1
12,agile,leopard,1
12,agile,lion,1
12,agile,mountaingoat,1
12,agile,mountainlion,1
12,agile,octopus,1
12,agile,owl,1
12,agile,puma,1
12,agile,spidermonkey,1
12,agile,squirrel,1
12,agile,tiger,1
13,slow,turtle,18
13,slow,sloth,16
13,slow,snail,7
13,slow,tortoise,2
13,slow,dog,1
13,slow,elephant,1
13,slow,mule,1
13,slow,pig,1
13,slow,rhino,1
13,slow,slug,1
13,slow,snake,1
14,strong,elephant,9
14,strong,horse,9
14,strong,gorilla,7
14,strong,bear,4
14,strong,lion,4
14,strong,ox,4
14,strong,bull,2
14,strong,rhino,2
14,strong,tiger,2
14,strong,ape,1
14,strong,chimpanze,1
14,strong,dog,1
14,strong,donkey,1
14,strong,hippo,1
14,strong,kangaroo,1
14,strong,kangroo,1
15,fierce,lion,24
15,fierce,tiger,15
15,fierce,shark,2
15,fierce,badger,1
15,fierce,bear,1
15,fierce,beetle,1
15,fierce,cat,1
15,fierce,dog,1
15,fierce,mountainlion,1
15,fierce,panther,1
15,fierce,puma,1
15,fierce,squirrel,1
