workerid,gender,language,income,age,order,featureID,feature,animal
1,F,English,4,35,1,22,friendly,kitten
1,F,English,4,35,2,16,quiet,mouse
1,F,English,4,35,3,19,sleek,eel
1,F,English,4,35,4,21,loyal,dog
1,F,English,4,35,5,23,playful,puppy
1,F,English,4,35,6,20,lazy,sloth
1,F,English,4,35,7,28,hairy,bear
1,F,English,4,35,8,24,loud,bird
1,F,English,4,35,9,27,dumb,dog
1,F,English,4,35,10,26,slithery,snake
1,F,English,4,35,11,17,busy,bee
1,F,English,4,35,12,29,striped,zebra
1,F,English,4,35,13,18,proud,peacock
1,F,English,4,35,14,25,happy,dog
2,F,English,6,45,1,25,happy,dog
2,F,English,6,45,2,28,hairy,cat
2,F,English,6,45,3,17,busy,mouse
2,F,English,6,45,4,22,friendly,dog
2,F,English,6,45,5,21,loyal,dog
2,F,English,6,45,6,26,slithery,snake
2,F,English,6,45,7,18,proud,dog
2,F,English,6,45,8,27,dumb,cow
2,F,English,6,45,9,16,quiet,cat
2,F,English,6,45,10,23,playful,dog
2,F,English,6,45,11,29,striped,zebra
2,F,English,6,45,12,19,sleek,cat
2,F,English,6,45,13,20,lazy,cat
2,F,English,6,45,14,24,loud,dog
3,F,english,4,35,1,26,slithery,snake
3,F,english,4,35,2,22,friendly,horse
3,F,english,4,35,3,24,loud,hyena
3,F,english,4,35,4,21,loyal,cat
3,F,english,4,35,5,19,sleek,mink
3,F,english,4,35,6,29,striped,zebra
3,F,english,4,35,7,18,proud,duck
3,F,english,4,35,8,25,happy,dog
3,F,english,4,35,9,20,lazy,cat
3,F,english,4,35,10,16,quiet,mouse
3,F,english,4,35,11,27,dumb,hippo
3,F,english,4,35,12,17,busy,chicken
3,F,english,4,35,13,23,playful,dog
3,F,english,4,35,14,28,hairy,gorilla
4,M,english,6,25,1,28,hairy,elephant
4,M,english,6,25,2,20,lazy,slug
4,M,english,6,25,3,21,loyal,dog
4,M,english,6,25,4,23,playful,cat
4,M,english,6,25,5,29,striped,cats
4,M,english,6,25,6,19,sleek,snake
4,M,english,6,25,7,25,happy,bunny
4,M,english,6,25,8,17,busy,rabbit
4,M,english,6,25,9,27,dumb,tortoise
4,M,english,6,25,10,26,slithery,snake
4,M,english,6,25,11,18,proud,lion
4,M,english,6,25,12,16,quiet,mouse
