"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.categoryIDs"	"Answer.adjectives"	"Answer.orders"	"Answer.animals"	"Answer.gender"	"Answer.age"	"Answer.income"	"Answer.nativeLanguage"	"Answer.comments"
"3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"356P7NIWHJNPKOOSSJ8K7NDD0TMVFC"	"Fun HIT about animals!"	"In this experiment, we are interested in how people describe different animals. This should take around 3 minutes."	"animals,behavior,survey,psychology,describe,experiment,language"	"$0.30"	"Thu Apr 09 10:18:35 PDT 2015"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Apr 09 16:42:28 PDT 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"3QECW5O0KH212SGOEMVHOX1C7YHT59"	1	"Approved"	"Fri Apr 10 03:00:27 PDT 2015"	"Thu Apr 09 10:19:08 PDT 2015"	"Thu Apr 09 10:20:27 PDT 2015"	"Thu Apr 09 11:54:37 PDT 2015"	""	""	""	""	"[10,6,3,9,12,4,8,1,11,2,5,7]"	"[""slow"",""smart"",""light"",""fast"",""cute"",""large"",""tall"",""tiny"",""loud"",""large"",""fat"",""silly""]"	"[1,2,3,4,5,6,7,8,9,10,11,12]"	"[""turtle"",""monkey"",""bird"",""cheetah"",""rabbit"",""elephant"",""giraffe"",""ant"",""lion"",""whale"",""panda"",""penguin""]"	"""M"""	"""35"""	"""6"""	"""English"""	""""""
"3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"356P7NIWHJNPKOOSSJ8K7NDD0TMVFC"	"Fun HIT about animals!"	"In this experiment, we are interested in how people describe different animals. This should take around 3 minutes."	"animals,behavior,survey,psychology,describe,experiment,language"	"$0.30"	"Thu Apr 09 10:18:35 PDT 2015"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Apr 09 16:42:28 PDT 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"30LB5CDZNCBYTX3MN8ENTQ62BMT0ZC"	2	"Approved"	"Fri Apr 10 03:00:59 PDT 2015"	"Thu Apr 09 10:19:25 PDT 2015"	"Thu Apr 09 10:20:59 PDT 2015"	"Thu Apr 09 11:54:38 PDT 2015"	""	""	""	""	"[10,4,7,6,12,8,9,11,5,2,3,1]"	"[""shelled"",""grey"",""stupid"",""asshole"",""docile"",""tall"",""fast"",""big"",""useless"",""giant"",""lame"",""small""]"	"[1,2,3,4,5,6,7,8,9,10,11,12]"	"[""turtle"",""elephant"",""penguin"",""monkey"",""rabbit"",""giraffe"",""cheetah"",""lion"",""panda"",""whale"",""bird"",""ant""]"	"""M"""	"""35"""	"""6"""	"""English"""	""""""
"3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"356P7NIWHJNPKOOSSJ8K7NDD0TMVFC"	"Fun HIT about animals!"	"In this experiment, we are interested in how people describe different animals. This should take around 3 minutes."	"animals,behavior,survey,psychology,describe,experiment,language"	"$0.30"	"Thu Apr 09 10:18:35 PDT 2015"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Apr 09 16:42:28 PDT 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"37WLF8U1WPRYIDQFPWRUFCSGKG26KX"	3	"Approved"	"Fri Apr 10 03:01:18 PDT 2015"	"Thu Apr 09 10:19:12 PDT 2015"	"Thu Apr 09 10:21:18 PDT 2015"	"Thu Apr 09 11:54:38 PDT 2015"	""	""	""	""	"[10,11,12,7,6,1,3,5,2,9,4,8]"	"[""slow"",""scary"",""timid"",""cute"",""adorable"",""tiny"",""pretty"",""cuddly"",""big"",""fast"",""large"",""tall""]"	"[1,2,3,4,5,6,7,8,9,10,11,12]"	"[""turtle"",""lion"",""rabbit"",""penguin"",""monkey"",""ant"",""bird"",""panda"",""whale"",""cheetah"",""elephant"",""giraffe""]"	"""F"""	"""35"""	"""10"""	"""English"""	""""""
"3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"356P7NIWHJNPKOOSSJ8K7NDD0TMVFC"	"Fun HIT about animals!"	"In this experiment, we are interested in how people describe different animals. This should take around 3 minutes."	"animals,behavior,survey,psychology,describe,experiment,language"	"$0.30"	"Thu Apr 09 10:18:35 PDT 2015"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Apr 09 16:42:28 PDT 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"30H4UDGLT2J1I78NP43J0PB14QNMPO"	4	"Approved"	"Fri Apr 10 03:01:25 PDT 2015"	"Thu Apr 09 10:19:54 PDT 2015"	"Thu Apr 09 10:21:25 PDT 2015"	"Thu Apr 09 11:54:38 PDT 2015"	""	""	""	""	"[11,12,6,1,4,8,2,9,10,7,3,5]"	"[""ferocious"",""fast"",""smart"",""small"",""big"",""tall"",""fat"",""quick"",""slow"",""funny"",""elegant"",""rare""]"	"[1,2,3,4,5,6,7,8,9,10,11,12]"	"[""lion"",""rabbit"",""monkey"",""ant"",""elephant"",""giraffe"",""whale"",""cheetah"",""turtle"",""penguin"",""bird"",""panda""]"	"""M"""	"""25"""	"""4"""	"""english"""	""""""
"3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"356P7NIWHJNPKOOSSJ8K7NDD0TMVFC"	"Fun HIT about animals!"	"In this experiment, we are interested in how people describe different animals. This should take around 3 minutes."	"animals,behavior,survey,psychology,describe,experiment,language"	"$0.30"	"Thu Apr 09 10:18:35 PDT 2015"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Apr 09 16:42:28 PDT 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"3PJUZCGDJ6H15VQCEEX39HARFHG98S"	5	"Approved"	"Fri Apr 10 03:01:39 PDT 2015"	"Thu Apr 09 10:19:28 PDT 2015"	"Thu Apr 09 10:21:39 PDT 2015"	"Thu Apr 09 11:54:38 PDT 2015"	""	""	""	""	"[5,6,12,3,8,1,4,9,7,11,2,10]"	"[""cute"",""feisty"",""quick"",""majestic "",""beautiful "",""small"",""huge"",""fast"",""adorable"",""intimidating"",""enormous"",""slow""]"	"[1,2,3,4,5,6,7,8,9,10,11,12]"	"[""panda"",""monkey"",""rabbit"",""bird"",""giraffe"",""ant"",""elephant"",""cheetah"",""penguin"",""lion"",""whale"",""turtle""]"	"""F"""	"""35"""	"""4"""	"""english """	""""""
"3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"356P7NIWHJNPKOOSSJ8K7NDD0TMVFC"	"Fun HIT about animals!"	"In this experiment, we are interested in how people describe different animals. This should take around 3 minutes."	"animals,behavior,survey,psychology,describe,experiment,language"	"$0.30"	"Thu Apr 09 10:18:35 PDT 2015"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Apr 09 16:42:28 PDT 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"3H8DHMCCW9CX3M5UZJZ8LI2812ODKV"	6	"Approved"	"Fri Apr 10 03:01:51 PDT 2015"	"Thu Apr 09 10:19:16 PDT 2015"	"Thu Apr 09 10:21:51 PDT 2015"	"Thu Apr 09 11:54:38 PDT 2015"	""	""	""	""	"[6,4,2,11,9,8,12,5,3,7,10,1]"	"[""hairy"",""big"",""massive"",""furious"",""fast"",""tall"",""quick"",""cute"",""annoying"",""silly"",""slow"",""diligent""]"	"[1,2,3,4,5,6,7,8,9,10,11,12]"	"[""monkey"",""elephant"",""whale"",""lion"",""cheetah"",""giraffe"",""rabbit"",""panda"",""bird"",""penguin"",""turtle"",""ant""]"	"""M"""	"""35"""	"""4"""	"""english"""	""""""
"3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"356P7NIWHJNPKOOSSJ8K7NDD0TMVFC"	"Fun HIT about animals!"	"In this experiment, we are interested in how people describe different animals. This should take around 3 minutes."	"animals,behavior,survey,psychology,describe,experiment,language"	"$0.30"	"Thu Apr 09 10:18:35 PDT 2015"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Apr 09 16:42:28 PDT 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"3W8CV64QJ20UY6R5HIR9MU3QI06H9F"	7	"Approved"	"Fri Apr 10 03:01:53 PDT 2015"	"Thu Apr 09 10:19:51 PDT 2015"	"Thu Apr 09 10:21:53 PDT 2015"	"Thu Apr 09 11:54:39 PDT 2015"	""	""	""	""	"[5,10,9,3,7,1,11,6,8,4,12,2]"	"[""fat"",""slow"",""fast"",""swift"",""short"",""small"",""strong"",""fast"",""tall"",""slow"",""jumpy"",""large""]"	"[1,2,3,4,5,6,7,8,9,10,11,12]"	"[""panda"",""turtle"",""cheetah"",""bird"",""penguin"",""ant"",""lion"",""monkey"",""giraffe"",""elephant"",""rabbit"",""whale""]"	"""M"""	"""35"""	"""4"""	"""English"""	""""""
"3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"356P7NIWHJNPKOOSSJ8K7NDD0TMVFC"	"Fun HIT about animals!"	"In this experiment, we are interested in how people describe different animals. This should take around 3 minutes."	"animals,behavior,survey,psychology,describe,experiment,language"	"$0.30"	"Thu Apr 09 10:18:35 PDT 2015"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Apr 09 16:42:28 PDT 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"38BQUHLA9W1JX7WMA4Q4BP6BULRMO7"	8	"Approved"	"Fri Apr 10 03:01:56 PDT 2015"	"Thu Apr 09 10:19:48 PDT 2015"	"Thu Apr 09 10:21:56 PDT 2015"	"Thu Apr 09 11:54:39 PDT 2015"	""	""	""	""	"[8,9,5,11,7,12,6,2,10,4,3,1]"	"[""tall"",""fast"",""big"",""strong"",""waddler"",""furry"",""cute"",""huge"",""slow"",""smart"",""majestic"",""tiny""]"	"[1,2,3,4,5,6,7,8,9,10,11,12]"	"[""giraffe"",""cheetah"",""panda"",""lion"",""penguin"",""rabbit"",""monkey"",""whale"",""turtle"",""elephant"",""bird"",""ant""]"	"""F"""	"""35"""	"""4"""	"""English"""	""""""
"3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"356P7NIWHJNPKOOSSJ8K7NDD0TMVFC"	"Fun HIT about animals!"	"In this experiment, we are interested in how people describe different animals. This should take around 3 minutes."	"animals,behavior,survey,psychology,describe,experiment,language"	"$0.30"	"Thu Apr 09 10:18:35 PDT 2015"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Apr 09 16:42:28 PDT 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"3A0EX8ZRN8PZ8UWRP29TZ0TJWWMBYI"	9	"Approved"	"Fri Apr 10 03:02:10 PDT 2015"	"Thu Apr 09 10:19:02 PDT 2015"	"Thu Apr 09 10:22:10 PDT 2015"	"Thu Apr 09 11:54:39 PDT 2015"	""	""	""	""	"[9,3,7,8,12,2,1,5,4,6,10,11]"	"[""fast"",""tiny"",""wobbly"",""tall"",""soft"",""large"",""mechanical"",""stupid"",""intelligent"",""aggressive"",""slow"",""predator""]"	"[1,2,3,4,5,6,7,8,9,10,11,12]"	"[""cheetah"",""bird"",""penguin"",""giraffe"",""rabbit"",""whale"",""ant"",""panda"",""elephant"",""monkey"",""turtle"",""lion""]"	"""M"""	"""35"""	"""4"""	"""English"""	""""""
"3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"356P7NIWHJNPKOOSSJ8K7NDD0TMVFC"	"Fun HIT about animals!"	"In this experiment, we are interested in how people describe different animals. This should take around 3 minutes."	"animals,behavior,survey,psychology,describe,experiment,language"	"$0.30"	"Thu Apr 09 10:18:35 PDT 2015"	"50"	"0"	"0"	"50"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Thu Apr 09 16:42:28 PDT 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3JVP4ZJHDPT9BNGJW2L04B8PK5ZI0P"	"337RC3OW053UH9NYB4B364LUQ9XLV5"	10	"Approved"	"Fri Apr 10 03:02:10 PDT 2015"	"Thu Apr 09 10:19:12 PDT 2015"	"Thu Apr 09 10:22:10 PDT 2015"	"Thu Apr 09 11:54:39 PDT 2015"	""	""	""	""	"[11,4,12,9,7,10,2,1,8,5,3,6]"	"[""fierce"",""large"",""fast"",""speedy"",""Formal"",""Slow"",""Majestic"",""Tiny"",""Tall"",""Cute"",""Flighty"",""Intelligent""]"	"[1,2,3,4,5,6,7,8,9,10,11,12]"	"[""lion"",""elephant"",""rabbit"",""cheetah"",""penguin"",""turtle"",""whale"",""ant"",""giraffe"",""panda"",""bird"",""monkey""]"	"""M"""	"""35"""	"""4"""	"""English"""	""""""
