workerid,gender,language,income,age,order,categoryID,animal,adjective,synonym
1,M,English,6,35,1,10,turtle,slow,slow
1,M,English,6,35,2,6,monkey,smart,smart
1,M,English,6,35,3,3,bird,light,light
1,M,English,6,35,4,9,cheetah,fast,fast
1,M,English,6,35,5,12,rabbit,cute,cute
1,M,English,6,35,6,4,elephant,large,big
1,M,English,6,35,7,8,giraffe,tall,tall
1,M,English,6,35,8,1,ant,tiny,tiny
1,M,English,6,35,9,11,lion,loud,loud
1,M,English,6,35,10,2,whale,large,big
1,M,English,6,35,11,5,panda,fat,fat
1,M,English,6,35,12,7,penguin,silly,silly
2,M,English,6,35,1,10,turtle,shelled,shelled
2,M,English,6,35,2,4,elephant,grey,grey
2,M,English,6,35,3,7,penguin,stupid,stupid
2,M,English,6,35,4,6,monkey,asshole,asshole
2,M,English,6,35,5,12,rabbit,docile,docile
2,M,English,6,35,6,8,giraffe,tall,tall
2,M,English,6,35,7,9,cheetah,fast,fast
2,M,English,6,35,8,11,lion,big,big
2,M,English,6,35,9,5,panda,useless,useless
2,M,English,6,35,10,2,whale,giant,giant
2,M,English,6,35,11,3,bird,lame,lame
2,M,English,6,35,12,1,ant,small,small
3,F,English,10,35,1,10,turtle,slow,slow
3,F,English,10,35,2,11,lion,scary,scary
3,F,English,10,35,3,12,rabbit,timid,timid
3,F,English,10,35,4,7,penguin,cute,cute
3,F,English,10,35,5,6,monkey,adorable,adorable
3,F,English,10,35,6,1,ant,tiny,tiny
3,F,English,10,35,7,3,bird,pretty,pretty
3,F,English,10,35,8,5,panda,cuddly,cuddly
3,F,English,10,35,9,2,whale,big,big
3,F,English,10,35,10,9,cheetah,fast,fast
3,F,English,10,35,11,4,elephant,large,big
3,F,English,10,35,12,8,giraffe,tall,tall
4,M,english,4,25,1,11,lion,ferocious,fierce
4,M,english,4,25,2,12,rabbit,fast,fast
4,M,english,4,25,3,6,monkey,smart,smart
4,M,english,4,25,4,1,ant,small,small
4,M,english,4,25,5,4,elephant,big,big
4,M,english,4,25,6,8,giraffe,tall,tall
4,M,english,4,25,7,2,whale,fat,fat
4,M,english,4,25,8,9,cheetah,quick,fast
4,M,english,4,25,9,10,turtle,slow,slow
4,M,english,4,25,10,7,penguin,funny,funny
4,M,english,4,25,11,3,bird,elegant,elegant
4,M,english,4,25,12,5,panda,rare,rare
5,F,english,4,35,1,5,panda,cute,cute
5,F,english,4,35,2,6,monkey,feisty,feisty
5,F,english,4,35,3,12,rabbit,quick,fast
5,F,english,4,35,4,3,bird,majestic,majestic
5,F,english,4,35,5,8,giraffe,beautiful,beautiful
5,F,english,4,35,6,1,ant,small,small
5,F,english,4,35,7,4,elephant,huge,huge
5,F,english,4,35,8,9,cheetah,fast,fast
5,F,english,4,35,9,7,penguin,adorable,adorable
5,F,english,4,35,10,11,lion,intimidating,intimidating
5,F,english,4,35,11,2,whale,enormous,enormous
5,F,english,4,35,12,10,turtle,slow,slow
6,M,english,4,35,1,6,monkey,hairy,hairy
6,M,english,4,35,2,4,elephant,big,big
6,M,english,4,35,3,2,whale,massive,massive
6,M,english,4,35,4,11,lion,furious,fierce
6,M,english,4,35,5,9,cheetah,fast,fast
6,M,english,4,35,6,8,giraffe,tall,tall
6,M,english,4,35,7,12,rabbit,quick,fast
6,M,english,4,35,8,5,panda,cute,cute
6,M,english,4,35,9,3,bird,annoying,annoying
6,M,english,4,35,10,7,penguin,silly,silly
6,M,english,4,35,11,10,turtle,slow,slow
6,M,english,4,35,12,1,ant,diligent,diligent
7,M,English,4,35,1,5,panda,fat,fat
7,M,English,4,35,2,10,turtle,slow,slow
7,M,English,4,35,3,9,cheetah,fast,fast
7,M,English,4,35,4,3,bird,swift,swift
7,M,English,4,35,5,7,penguin,short,short
7,M,English,4,35,6,1,ant,small,small
7,M,English,4,35,7,11,lion,strong,strong
7,M,English,4,35,8,6,monkey,fast,fast
7,M,English,4,35,9,8,giraffe,tall,tall
7,M,English,4,35,10,4,elephant,slow,slow
7,M,English,4,35,11,12,rabbit,jumpy,jumpy
7,M,English,4,35,12,2,whale,large,big
8,F,English,4,35,1,8,giraffe,tall,tall
8,F,English,4,35,2,9,cheetah,fast,fast
8,F,English,4,35,3,5,panda,big,big
8,F,English,4,35,4,11,lion,strong,strong
8,F,English,4,35,5,7,penguin,waddler,waddler
8,F,English,4,35,6,12,rabbit,furry,furry
8,F,English,4,35,7,6,monkey,cute,cute
8,F,English,4,35,8,2,whale,huge,huge
8,F,English,4,35,9,10,turtle,slow,slow
8,F,English,4,35,10,4,elephant,smart,smart
8,F,English,4,35,11,3,bird,majestic,majestic
8,F,English,4,35,12,1,ant,tiny,tiny
9,M,English,4,35,1,9,cheetah,fast,fast
9,M,English,4,35,2,3,bird,tiny,tiny
9,M,English,4,35,3,7,penguin,wobbly,wobbly
9,M,English,4,35,4,8,giraffe,tall,tall
9,M,English,4,35,5,12,rabbit,soft,soft
9,M,English,4,35,6,2,whale,large,big
9,M,English,4,35,7,1,ant,mechanical,mechanical
9,M,English,4,35,8,5,panda,stupid,stupid
9,M,English,4,35,9,4,elephant,intelligent,intelligent
9,M,English,4,35,10,6,monkey,aggressive,aggressive
9,M,English,4,35,11,10,turtle,slow,slow
