categoryID,animal,synonym,freq
1,ant,small,18
1,ant,tiny,15
1,ant,annoying,2
1,ant,industrious,2
1,ant,strong,2
1,ant,bite,1
1,ant,busy,1
1,ant,crawling,1
1,ant,diligent,1
1,ant,fire,1
1,ant,focused,1
1,ant,mechanical,1
1,ant,powerful,1
1,ant,powerhouse,1
1,ant,puny,1
1,ant,wee,1
2,whale,big,21
2,whale,huge,9
2,whale,enormous,5
2,whale,gigantic,4
2,whale,giant,2
2,whale,fat,1
2,whale,killer,1
2,whale,majestic,1
2,whale,mammal,1
2,whale,massive,1
2,whale,ocean,1
2,whale,sleek,1
3,bird,fast,5
3,bird,small,4
3,bird,beautiful,3
3,bird,free,3
3,bird,pretty,3
3,bird,swift,3
3,bird,tiny,3
3,bird,common,2
3,bird,cute,2
3,bird,feathery,2
3,bird,majestic,2
3,bird,annoying,1
3,bird,avian,1
3,bird,chirp,1
3,bird,elegant,1
3,bird,flighty,1
3,bird,flying,1
3,bird,graceful,1
3,bird,lame,1
3,bird,light,1
3,bird,lightweight,1
3,bird,littlefeet,1
3,bird,noisy,1
3,bird,quick,1
3,bird,sharp-sighted,1
3,bird,smelly,1
4,elephant,big,25
4,elephant,huge,8
4,elephant,grey,3
4,elephant,hard,2
4,elephant,enormous,1
4,elephant,fat,1
4,elephant,grand,1
4,elephant,humungous,1
4,elephant,intelligent,1
4,elephant,loud,1
4,elephant,round,1
4,elephant,slow,1
4,elephant,smart,1
4,elephant,triumphant,1
4,elephant,trunk,1
5,panda,cute,12
5,panda,big,4
5,panda,cuddly,4
5,panda,lazy,4
5,panda,fat,2
5,panda,rare,2
5,panda,sleepy,2
5,panda,adorable,1
5,panda,bamboo,1
5,panda,benign,1
5,panda,cuddle,1
5,panda,darling,1
5,panda,fluffy,1
5,panda,forgien,1
5,panda,fuzzy,1
5,panda,giant,1
5,panda,hungry,1
5,panda,round,1
5,panda,sad,1
5,panda,slow,1
5,panda,spotted,1
5,panda,spotty,1
5,panda,stupid,1
5,panda,sweet,1
5,panda,useless,1
6,monkey,funny,9
6,monkey,quick,4
6,monkey,smart,4
6,monkey,crazy,3
6,monkey,fast,3
6,monkey,silly,3
6,monkey,cute,2
6,monkey,furry,2
6,monkey,inquisitive,2
6,monkey,active,1
6,monkey,adorable,1
6,monkey,aggressive,1
6,monkey,ape,1
6,monkey,asshole,1
6,monkey,banana,1
6,monkey,busy,1
6,monkey,feisty,1
6,monkey,hairy,1
6,monkey,happy,1
6,monkey,intelligent,1
6,monkey,likeable,1
6,monkey,mischievous,1
6,monkey,playful,1
6,monkey,primal,1
6,monkey,spider,1
6,monkey,tricky,1
7,penguin,funny,8
7,penguin,cute,6
7,penguin,cold,4
7,penguin,adorable,3
7,penguin,silly,3
7,penguin,waddle,3
7,penguin,slow,2
7,penguin,baby,1
7,penguin,clumsy,1
7,penguin,crazy,1
7,penguin,fat,1
7,penguin,feathery,1
7,penguin,formal,1
7,penguin,fun,1
7,penguin,loud,1
7,penguin,loveable,1
7,penguin,quiet,1
7,penguin,short,1
7,penguin,sleek,1
7,penguin,slippery,1
7,penguin,small,1
7,penguin,stupid,1
7,penguin,unflighted,1
7,penguin,unique,1
7,penguin,waddler,1
7,penguin,wobbly,1
8,giraffe,tall,39
8,giraffe,long,4
8,giraffe,awkward,1
8,giraffe,beautiful,1
8,giraffe,colorful,1
8,giraffe,engineered,1
8,giraffe,interesting,1
8,giraffe,lanky,1
8,giraffe,magestic,1
9,cheetah,fast,34
9,cheetah,quick,5
9,cheetah,flying,2
9,cheetah,blazing,1
9,cheetah,blue,1
9,cheetah,cheetos,1
9,cheetah,cruel,1
9,cheetah,roar,1
9,cheetah,runner,1
9,cheetah,sleek,1
9,cheetah,spots,1
9,cheetah,swift,1
10,turtle,slow,38
10,turtle,strong,4
10,turtle,cute,2
10,turtle,boxy,1
10,turtle,patient,1
10,turtle,protected,1
10,turtle,reserved,1
10,turtle,shell,1
10,turtle,shelled,1
11,lion,fierce,14
11,lion,strong,7
11,lion,loud,3
11,lion,majestic,3
11,lion,dangerous,2
11,lion,furry,2
11,lion,king,2
11,lion,mean,2
11,lion,powerful,2
11,lion,angry,1
11,lion,big,1
11,lion,brave,1
11,lion,fearce,1
11,lion,fearsome,1
11,lion,hungry,1
11,lion,intimidating,1
11,lion,migthy,1
11,lion,predator,1
11,lion,roar,1
11,lion,royalty,1
11,lion,scary,1
12,rabbit,fast,19
12,rabbit,cute,9
12,rabbit,furry,4
12,rabbit,fuzzy,3
12,rabbit,soft,2
12,rabbit,creepy,1
12,rabbit,docile,1
12,rabbit,feline,1
12,rabbit,fluffy,1
12,rabbit,hop,1
12,rabbit,hoppy,1
12,rabbit,horny,1
12,rabbit,jumper,1
12,rabbit,jumpy,1
12,rabbit,quick,1
12,rabbit,slow,1
12,rabbit,small,1
12,rabbit,timid,1
