animalID,animal,adjective,freq
13,mouse,small,10
13,mouse,quiet,4
14,beaver,industrious,8
14,beaver,busy,4
15,horse,strong,6
15,horse,fast,5
16,eagle,majestic,11
16,eagle,proud,6
17,jaguar,fast,21
17,jaguar,sleek,5
18,armadillo,hard,9
18,armadillo,slow,5
19,cat,lazy,6
19,cat,cute,3
20,dog,loyal,21
20,dog,friendly,8
21,kitten,cute,22
21,kitten,playful,6
22,hyena,loud,7
22,hyena,funny,6
23,dolphin,smart,15
23,dolphin,happy,4
24,snake,slithery,5
24,snake,long,4
25,deer,fast,4
25,deer,dumb,3
26,sloth,slow,27
26,sloth,lazy,10
27,gorilla,big,10
27,gorilla,hairy,5
28,bear,big,9
28,bear,strong,4
29,tiger,fierce,7
29,tiger,striped,5
