workerid	Answer.gender	Answer.nativeLanguage	Answer.income	Answer.age	Answer.orders	Answer.animalIDs	Answer.animals	Answer.adjectives
1	M	English	4	25	1,2,3,4,5,6,7,8,9,10	36,35,30,34,32,33,39,38,31,37	hippo,cow,bee,donkey,cougar,fish,zebra,pig,eel,mule	large,spotty,fast,ignorant,elegant,quiet,striped,filthy,electric,oafish
2	M	English	6	35	1,2,3,4,5,6,7,8,9,10	37,35,30,36,38,34,32,39,33,31	mule,cow,bee,hippo,pig,donkey,cougar,zebra,fish,eel	patient,slow,busy,lumbering,fat,loyal,sly,striped,scaly,slimy
3	M	English	6	35	1,2,3,4,5,6,7,8,9,10	34,35,37,38,33,32,31,39,36,30	donkey,cow,mule,pig,fish,cougar,eel,zebra,hippo,bee	slow,fat,slow,chubby,small,quick,slimey,striped,huge,quick
4	M	english	4	35	1,2,3,4,5,6,7,8,9,10	31,37,36,35,33,38,30,34,39,32	eel,mule,hippo,cow,fish,pig,bee,donkey,zebra,cougar	slippery,slow,big,lazy,small,dirty,busy,slow,delicious,hot
5	F	English	8	55	1,2,3,4,5,6,7,8,9,10	31,34,30,32,36,38,39,35,33,37	eel,donkey,bee,cougar,hippo,pig,zebra,cow,fish,mule	slimy,slow,annoying,fast,huge,squeaky,quick,big,zippy,slow
6	M	English	6	35	1,2,3,4,5,6,7,8,9,10	36,37,34,31,38,33,35,32,39,30	hippo,mule,donkey,eel,pig,fish,cow,cougar,zebra,bee	large,slow,slow,slippery,fat,slimey,fat,quick,cute,quick
7	M	English	11	55	1,2,3,4,5,6,7,8,9,10	36,30,39,34,32,38,37,35,33,31	hippo,bee,zebra,donkey,cougar,pig,mule,cow,fish,eel	large,yellow,happy,stubborn,sleek,smelly,noisy,big,smelly,slippery
8	F	english	0	35	1,2,3,4,5,6,7,8,9,10	32,35,34,30,31,37,38,36,39,33	cougar,cow,donkey,bee,eel,mule,pig,hippo,zebra,fish	cat,meat,stink,bad,fish,donkey,ribs,fat,stripe,good
9	F	english	4	17	1,2,3,4,5,6,7,8,9,10	35,38,30,34,39,37,32,33,36,31	cow,pig,bee,donkey,zebra,mule,cougar,fish,hippo,eel	large,fat,busy,foultempered,majestic,stubborn,beautiful,scaley,hungry,sleek
10	M	English	6	35	1,2,3,4,5,6,7,8,9,10	33,35,30,31,36,39,32,34,37,38	fish,cow,bee,eel,hippo,zebra,cougar,donkey,mule,pig	wet,slow,small,slippery,large,striped,vivacious,stupid,diligent,delicious
11	F	english	11	45	1,2,3,4,5,6,7,8,9,10	38,37,36,34,31,39,35,32,33,30	pig,mule,hippo,donkey,eel,zebra,cow,cougar,fish,bee	fat,stubborn,big,dumb,electrifying,striped,brown,vicous,scaly,buzzing
12	F	english	4	35	1,2,3,4,5,6,7,8,9,10	32,37,34,31,35,36,38,30,39,33	cougar,mule,donkey,eel,cow,hippo,pig,bee,zebra,fish	fast,slow,stubborn,scaley,smelly,fat,dirty,mean,fast,wet
13	F	English	4	35	1,2,3,4,5,6,7,8,9,10	37,32,35,38,30,33,39,31,36,34	mule,cougar,cow,pig,bee,fish,zebra,eel,hippo,donkey	funny,feisty,cute,intelligent,buzzy,sharp,striped,slick,fat,funny
14	M	English	4	35	1,2,3,4,5,6,7,8,9,10	38,34,35,32,39,36,31,33,37,30	pig,donkey,cow,cougar,zebra,hippo,eel,fish,mule,bee	fat,stupid,slow,fast,weird,mean,slimey,slick,slow,frantic
15	M	English	4	35	1,2,3,4,5,6,7,8,9,10	32,36,34,39,37,30,35,33,31,38	cougar,hippo,donkey,zebra,mule,bee,cow,fish,eel,pig	Vicious,Huge,Stubborn,Binary,Fat,Bumble,Fat,Dead,Cool,Pink
