animal,feature,alternatives,numAlts
ant,funny,ant;beaver;mouse;monkey;man,5
ant,industrious,ant;beaver;mouse;monkey;man,5
ant,busy,ant;beaver;mouse;monkey;man,5
ant,quiet,ant;beaver;mouse;monkey;man,5
ant,small,ant;beaver;mouse;monkey;man,5
ant,smart,ant;beaver;mouse;monkey;man,5
whale,hard,eagle;whale;horse;lion;elephant;man,6
whale,big,eagle;whale;horse;lion;elephant;man,6
whale,proud,eagle;whale;horse;lion;elephant;man,6
whale,fast,eagle;whale;horse;lion;elephant;man,6
whale,fierce,eagle;whale;horse;lion;elephant;man,6
whale,majestic,eagle;whale;horse;lion;elephant;man,6
whale,strong,eagle;whale;horse;lion;elephant;man,6
bird,industrious,ant;cheetah;mouse;jaguar;bird;man,6
bird,agile,ant;cheetah;mouse;jaguar;bird;man,6
bird,quiet,ant;cheetah;mouse;jaguar;bird;man,6
bird,fast,ant;cheetah;mouse;jaguar;bird;man,6
bird,sleek,ant;cheetah;mouse;jaguar;bird;man,6
bird,small,ant;cheetah;mouse;jaguar;bird;man,6
elephant,majestic,turtle;whale;armadillo;elephant;man,5
elephant,big,turtle;whale;armadillo;elephant;man,5
elephant,slow,turtle;whale;armadillo;elephant;man,5
elephant,hard,turtle;whale;armadillo;elephant;man,5
elephant,strong,turtle;whale;armadillo;elephant;man,5
panda,cute,elephant;dog;cat;kitten;whale;panda;man,7
panda,lazy,elephant;dog;cat;kitten;whale;panda;man,7
panda,big,elephant;dog;cat;kitten;whale;panda;man,7
panda,hard,elephant;dog;cat;kitten;whale;panda;man,7
panda,playful,elephant;dog;cat;kitten;whale;panda;man,7
panda,loyal,elephant;dog;cat;kitten;whale;panda;man,7
panda,majestic,elephant;dog;cat;kitten;whale;panda;man,7
panda,friendly,elephant;dog;cat;kitten;whale;panda;man,7
monkey,funny,hyena;dog;dolphin;monkey;cat;man,6
monkey,lazy,hyena;dog;dolphin;monkey;cat;man,6
monkey,cute,hyena;dog;dolphin;monkey;cat;man,6
monkey,loyal,hyena;dog;dolphin;monkey;cat;man,6
monkey,loud,hyena;dog;dolphin;monkey;cat;man,6
monkey,friendly,hyena;dog;dolphin;monkey;cat;man,6
monkey,smart,hyena;dog;dolphin;monkey;cat;man,6
monkey,happy,hyena;dog;dolphin;monkey;cat;man,6
penguin,funny,monkey;dog;cat;hyena;kitten;penguin;man,7
penguin,lazy,monkey;dog;cat;hyena;kitten;penguin;man,7
penguin,cute,monkey;dog;cat;hyena;kitten;penguin;man,7
penguin,playful,monkey;dog;cat;hyena;kitten;penguin;man,7
penguin,loyal,monkey;dog;cat;hyena;kitten;penguin;man,7
penguin,loud,monkey;dog;cat;hyena;kitten;penguin;man,7
penguin,friendly,monkey;dog;cat;hyena;kitten;penguin;man,7
penguin,smart,monkey;dog;cat;hyena;kitten;penguin;man,7
giraffe,slithery,horse;giraffe;snake;man,4
giraffe,tall,horse;giraffe;snake;man,4
giraffe,strong,horse;giraffe;snake;man,4
giraffe,long,horse;giraffe;snake;man,4
giraffe,fast,horse;giraffe;snake;man,4
cheetah,funny,cheetah;deer;jaguar;monkey;cat;man,6
cheetah,lazy,cheetah;deer;jaguar;monkey;cat;man,6
cheetah,cute,cheetah;deer;jaguar;monkey;cat;man,6
cheetah,agile,cheetah;deer;jaguar;monkey;cat;man,6
cheetah,fast,cheetah;deer;jaguar;monkey;cat;man,6
cheetah,sleek,cheetah;deer;jaguar;monkey;cat;man,6
cheetah,dumb,cheetah;deer;jaguar;monkey;cat;man,6
cheetah,smart,cheetah;deer;jaguar;monkey;cat;man,6
turtle,hairy,turtle;sloth;horse;bear;gorilla;elephant;man,7
turtle,lazy,turtle;sloth;horse;bear;gorilla;elephant;man,7
turtle,slow,turtle;sloth;horse;bear;gorilla;elephant;man,7
turtle,big,turtle;sloth;horse;bear;gorilla;elephant;man,7
turtle,hard,turtle;sloth;horse;bear;gorilla;elephant;man,7
turtle,fast,turtle;sloth;horse;bear;gorilla;elephant;man,7
turtle,strong,turtle;sloth;horse;bear;gorilla;elephant;man,7
lion,hairy,horse;bear;tiger;gorilla;lion;elephant;man,7
lion,big,horse;bear;tiger;gorilla;lion;elephant;man,7
lion,hard,horse;bear;tiger;gorilla;lion;elephant;man,7
lion,fast,horse;bear;tiger;gorilla;lion;elephant;man,7
lion,fierce,horse;bear;tiger;gorilla;lion;elephant;man,7
lion,striped,horse;bear;tiger;gorilla;lion;elephant;man,7
lion,strong,horse;bear;tiger;gorilla;lion;elephant;man,7
rabbit,cute,jaguar;dog;cat;rabbit;kitten;cheetah;man,7
rabbit,lazy,jaguar;dog;cat;rabbit;kitten;cheetah;man,7
rabbit,agile,jaguar;dog;cat;rabbit;kitten;cheetah;man,7
rabbit,fast,jaguar;dog;cat;rabbit;kitten;cheetah;man,7
