animal,alternatives,coreFeatures,expandedFeatures,numAlts,numFeatures
ant,ant;beaver;mouse;monkey;man,small;industrious,funny;busy;quiet;smart,5,4
whale,eagle;whale;horse;lion;elephant;man,big;majestic,hard;proud;fast;fierce;strong,6,5
bird,ant;cheetah;mouse;jaguar;bird;man,fast;small,industrious;agile;quiet;sleek,6,4
elephant,turtle;whale;armadillo;elephant;man,big;hard,majestic;slow;strong,5,3
panda,elephant;dog;cat;kitten;whale;panda;man,cute;big,lazy;hard;playful;loyal;majestic;friendly,7,6
monkey,hyena;dog;dolphin;monkey;cat;man,funny;smart,lazy;cute;loyal;loud;friendly;happy,6,6
penguin,monkey;dog;cat;hyena;kitten;penguin;man,funny;cute,lazy;playful;loyal;loud;friendly;smart,7,6
giraffe,horse;giraffe;snake;man,tall;long,slithery;strong;fast,4,3
cheetah,cheetah;deer;jaguar;monkey;cat;man,fast;agile,funny;lazy;cute;fast;sleek;dumb;smart,6,7
turtle,turtle;sloth;horse;bear;gorilla;elephant;man,slow;strong,hairy;lazy;big;hard;fast,7,5
lion,horse;bear;tiger;gorilla;lion;elephant;man,fierce;strong,hairy;big;hard;fast;striped,7,5
rabbit,jaguar;dog;cat;rabbit;kitten;cheetah;man,fast;cute,lazy;agile;sleek;playful;loyal;friendly,7,6
mouse,ant;mouse;cat;man,small;quiet,lazy;industrious;cute,4,3
beaver,ant;beaver;monkey;bee;man,industrious;busy,funny;busy;fast;small;smart,5,5
horse,horse;jaguar;bear;gorilla;elephant;cheetah;man,strong;fast,hairy;big;hard;sleek;agile,7,5
eagle,eagle;lion;horse;cat;man,majestic;proud,cute;lazy;fast;fierce;strong,5,5
jaguar,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,fast;sleek,happy;lazy;cute;agile;sleek;slimy;slippery;long;slithery;strong;smart;scaly,10,12
armadillo,turtle;sloth;armadillo;man,hard;slow,lazy;hard;strong,4,3
cat,sloth;kitten;dog;cat;man,lazy;cute,lazy;slow;playful;loyal;friendly,5,5
dog,dog;cat;man,loyal;friendly,lazy;cute;friendly,3,3
kitten,kitten;dog;cat;man,cute;playful,cute;loyal;lazy;friendly,4,4
hyena,monkey;dog;cat;hyena;lion;bird;man,loud;funny,lazy;cute;fast;small;loyal;fierce;strong;friendly;smart,7,9
dolphin,dolphin;dog;bird;man,smart;happy,fast;loyal;small;friendly;happy,4,5
snake,sloth;giraffe;snake;man,slithery;long,tall;lazy;slow,4,3
deer,turtle;hippo;donkey;jaguar;cow;deer;pig;dog;cat;cheetah;mule;mouse;bird;man,fast;dumb,stubborn;lazy;slow;cute;big;quiet;sleek;loyal;fat;agile;small;strong;friendly;dirty,14,14
sloth,turtle;sloth;cat;man,slow;lazy,cute;slow;strong,4,3
gorilla,monkey;bear;cat;gorilla;elephant;whale;man,big;hairy,funny;lazy;cute;hard;majestic;strong;smart,7,7
bear,gorilla;whale;horse;bear;elephant;man,big;strong,hairy;hard;fast;majestic,6,4
tiger,tiger;lion;zebra;man,fierce;striped,striped;strong;fast,4,3
bee,ant;beaver;jaguar;cheetah;bee;man,busy;fast,industrious;agile;sleek;small,6,4
eel,eel;man,slippery;slimy,slippery,2,1
cougar,horse;jaguar;cougar;fish;dolphin;cat;eel;snake;cheetah;man,fast;sleek,happy;lazy;cute;agile;sleek;slimy;slippery;long;slithery;strong;smart;scaly,10,12
fish,fish;man,scaly;slimy,scaly,2,1
donkey,turtle;sloth;donkey;man,slow;stubborn,lazy;strong,4,2
cow,whale;cow;elephant;man,fat;big,majestic;hard,4,2
hippo,hippo;whale;elephant;man,big;fat,majestic;hard,4,2
mule,turtle;sloth;mule;man,stubborn;slow,lazy;strong,4,2
pig,pig;man,fat;dirty,fat,2,1
zebra,tiger;cheetah;jaguar;zebra;man,striped;fast,fierce;agile;fast;sleek,5,4
