1,ant,funny;industrious;busy;agile;quiet;fast;sleek;small;smart
2,whale,cute;lazy;hard;big;proud;fast;playful;majestic;loyal;slow;fierce;strong;friendly
3,bird,fast;small;industrious;agile;quiet;sleek
4,elephant,hairy;cute;lazy;hard;big;proud;fast;playful;majestic;loyal;slow;fierce;striped;strong;friendly
5,panda,cute;big;lazy;hard;playful;loyal;majestic;friendly
6,monkey,funny;industrious;busy;cute;lazy;agile;quiet;fast;sleek;playful;loyal;dumb;small;loud;friendly;smart;happy
7,penguin,funny;cute;lazy;playful;loyal;loud;friendly;smart
8,giraffe,tall;long;slithery;strong;fast
9,cheetah,funny;industrious;cute;lazy;agile;quiet;fast;sleek;playful;loyal;dumb;small;friendly;smart
10,turtle,hairy;lazy;slow;big;hard;fast;majestic;strong
11,lion,hairy;proud;big;hard;fast;fierce;majestic;striped;strong
12,rabbit,fast;cute;lazy;agile;sleek;playful;loyal;friendly
13,mouse,funny;industrious;busy;agile;quiet;fast;sleek;small;smart
14,beaver,small;industrious;funny;busy;quiet;smart
15,horse,hairy;lazy;proud;big;hard;fast;slithery;slow;long;fierce;tall;striped;strong;majestic
16,eagle,big;majestic;hard;proud;fast;fierce;strong
17,jaguar,funny;industrious;cute;lazy;agile;quiet;fast;sleek;playful;loyal;dumb;small;friendly;smart
18,armadillo,big;hard;majestic;slow;strong
19,cat,cute;lazy;funny;big;hard;fast;sleek;playful;loyal;dumb;agile;majestic;loud;friendly;smart;happy
20,dog,cute;lazy;funny;big;hard;fast;sleek;playful;loyal;agile;majestic;loud;friendly;smart;happy
21,kitten,cute;lazy;funny;big;hard;fast;sleek;playful;loyal;agile;majestic;loud;friendly;smart
22,hyena,funny;lazy;cute;playful;loyal;loud;friendly;smart;happy
23,dolphin,funny;smart;lazy;cute;loyal;loud;friendly;happy
24,snake,tall;long;slithery;strong;fast
25,deer,fast;agile;funny;lazy;cute;fast;sleek;dumb;smart
26,sloth,slow;strong;hairy;lazy;big;hard;fast
27,gorilla,hairy;lazy;slow;big;hard;fast;fierce;striped;strong
28,bear,hairy;lazy;slow;big;hard;fast;fierce;striped;strong
29,tiger,fierce;strong;hairy;big;hard;fast;striped
30,man,cute;hard;sleek;playful;slithery;dumb;long;majestic;funny;industrious;busy;agile;fast;friendly;smart;happy;hairy;lazy;big;slow;fierce;striped;strong;proud;quiet;loyal;small;tall;loud
