animal,feature,featureType,question,bin,Freq
ant,agile,expanded,general,0,0.285714285714286
ant,agile,expanded,general,1,0.285714285714286
ant,agile,expanded,general,2,0.214285714285714
ant,agile,expanded,general,3,0.142857142857143
ant,agile,expanded,general,4,0.0714285714285714
ant,agile,expanded,industrious,0,0.272727272727273
ant,agile,expanded,industrious,1,0.272727272727273
ant,agile,expanded,industrious,2,0.181818181818182
ant,agile,expanded,industrious,3,0.0909090909090909
ant,agile,expanded,industrious,4,0.181818181818182
ant,agile,expanded,small,0,0.111111111111111
ant,agile,expanded,small,1,0.111111111111111
ant,agile,expanded,small,2,0.444444444444444
ant,agile,expanded,small,3,0.222222222222222
ant,agile,expanded,small,4,0.111111111111111
ant,busy,expanded,general,0,0.214285714285714
ant,busy,expanded,general,1,0.142857142857143
ant,busy,expanded,general,2,0.0714285714285714
ant,busy,expanded,general,3,0.214285714285714
ant,busy,expanded,general,4,0.357142857142857
ant,busy,expanded,industrious,0,0.0909090909090909
ant,busy,expanded,industrious,1,0.0909090909090909
ant,busy,expanded,industrious,2,0.0909090909090909
ant,busy,expanded,industrious,3,0.0909090909090909
ant,busy,expanded,industrious,4,0.636363636363636
ant,busy,expanded,small,0,0.111111111111111
ant,busy,expanded,small,1,0.111111111111111
ant,busy,expanded,small,2,0.444444444444444
ant,busy,expanded,small,3,0.222222222222222
ant,busy,expanded,small,4,0.111111111111111
ant,fast,expanded,general,0,0.214285714285714
ant,fast,expanded,general,1,0.285714285714286
ant,fast,expanded,general,2,0.357142857142857
ant,fast,expanded,general,3,0.0714285714285714
ant,fast,expanded,general,4,0.0714285714285714
ant,fast,expanded,industrious,0,0.363636363636364
ant,fast,expanded,industrious,1,0.0909090909090909
ant,fast,expanded,industrious,2,0.181818181818182
ant,fast,expanded,industrious,3,0.181818181818182
ant,fast,expanded,industrious,4,0.181818181818182
ant,fast,expanded,small,0,0.111111111111111
ant,fast,expanded,small,1,0.222222222222222
ant,fast,expanded,small,2,0.444444444444444
ant,fast,expanded,small,3,0.111111111111111
ant,fast,expanded,small,4,0.111111111111111
ant,funny,expanded,general,0,0.571428571428571
ant,funny,expanded,general,1,0.0714285714285714
ant,funny,expanded,general,2,0.142857142857143
ant,funny,expanded,general,3,0.0714285714285714
ant,funny,expanded,general,4,0.142857142857143
ant,funny,expanded,industrious,0,0.363636363636364
ant,funny,expanded,industrious,1,0.181818181818182
ant,funny,expanded,industrious,2,0.272727272727273
ant,funny,expanded,industrious,3,0.0909090909090909
ant,funny,expanded,industrious,4,0.0909090909090909
ant,funny,expanded,small,0,0.111111111111111
ant,funny,expanded,small,1,0.333333333333333
ant,funny,expanded,small,2,0.333333333333333
ant,funny,expanded,small,3,0.111111111111111
ant,funny,expanded,small,4,0.111111111111111
ant,industrious,core,general,0,0.142857142857143
ant,industrious,core,general,1,0.142857142857143
ant,industrious,core,general,2,0.142857142857143
ant,industrious,core,general,3,0.214285714285714
ant,industrious,core,general,4,0.357142857142857
ant,industrious,core,industrious,0,0.0909090909090909
ant,industrious,core,industrious,1,0.0909090909090909
ant,industrious,core,industrious,2,0.0909090909090909
ant,industrious,core,industrious,3,0.181818181818182
ant,industrious,core,industrious,4,0.545454545454545
ant,industrious,core,small,0,0.222222222222222
ant,industrious,core,small,1,0.111111111111111
ant,industrious,core,small,2,0.333333333333333
ant,industrious,core,small,3,0.222222222222222
ant,industrious,core,small,4,0.111111111111111
ant,quiet,expanded,general,0,0.285714285714286
ant,quiet,expanded,general,1,0.0714285714285714
ant,quiet,expanded,general,2,0.285714285714286
ant,quiet,expanded,general,3,0.214285714285714
ant,quiet,expanded,general,4,0.142857142857143
ant,quiet,expanded,industrious,0,0.181818181818182
ant,quiet,expanded,industrious,1,0.0909090909090909
ant,quiet,expanded,industrious,2,0.0909090909090909
ant,quiet,expanded,industrious,3,0.272727272727273
ant,quiet,expanded,industrious,4,0.363636363636364
ant,quiet,expanded,small,0,0.111111111111111
ant,quiet,expanded,small,1,0.333333333333333
ant,quiet,expanded,small,2,0.222222222222222
ant,quiet,expanded,small,3,0.222222222222222
ant,quiet,expanded,small,4,0.111111111111111
ant,sleek,expanded,general,0,0.571428571428571
ant,sleek,expanded,general,1,0.214285714285714
ant,sleek,expanded,general,2,0.0714285714285714
ant,sleek,expanded,general,3,0.0714285714285714
ant,sleek,expanded,general,4,0.0714285714285714
ant,sleek,expanded,industrious,0,0.272727272727273
ant,sleek,expanded,industrious,1,0.181818181818182
ant,sleek,expanded,industrious,2,0.272727272727273
ant,sleek,expanded,industrious,3,0.181818181818182
ant,sleek,expanded,industrious,4,0.0909090909090909
ant,sleek,expanded,small,0,0.222222222222222
ant,sleek,expanded,small,1,0.111111111111111
ant,sleek,expanded,small,2,0.333333333333333
ant,sleek,expanded,small,3,0.222222222222222
ant,sleek,expanded,small,4,0.111111111111111
ant,small,core,general,0,0.285714285714286
ant,small,core,general,1,0.0714285714285714
ant,small,core,general,2,0.142857142857143
ant,small,core,general,3,0.142857142857143
ant,small,core,general,4,0.357142857142857
ant,small,core,industrious,0,0.272727272727273
ant,small,core,industrious,1,0.0909090909090909
ant,small,core,industrious,2,0.0909090909090909
ant,small,core,industrious,3,0.272727272727273
ant,small,core,industrious,4,0.272727272727273
ant,small,core,small,0,0.111111111111111
ant,small,core,small,1,0.111111111111111
ant,small,core,small,2,0.111111111111111
ant,small,core,small,3,0.111111111111111
