utterance,polarity,literal,bin,prob
giraffe,high,fig,0,0.00040055314316226573
giraffe,high,fig,4,0.003491962563238766
giraffe,high,fig,5,0.01684132415112628
giraffe,high,fig,6,0.16389873327435078
giraffe,high,fig,7,0.28560769973215977
giraffe,high,fig,15,0.037699015033526385
giraffe,high,fig,0.5,0.0014266776774424371
giraffe,high,fig,4.5,0.00743003845729889
giraffe,high,fig,5.5,0.044978464521922085
giraffe,high,fig,6.5,0.4382255314457723
tall,high,lit,0,0.008302208434020953
tall,high,lit,4,0.04040533643853035
tall,high,lit,5,0.1386152087307094
tall,high,lit,6,0.2537432583495064
tall,high,lit,7,0.05342467360979181
tall,high,lit,15,0.004482202420182112
tall,high,lit,0.5,0.020239451959170273
tall,high,lit,4.5,0.07369570685093461
tall,high,lit,5.5,0.24306627515774018
tall,high,lit,6.5,0.16402567804941373
hamster,low,fig,0,0.1765417940450366
hamster,low,fig,4,0.2654747192343327
hamster,low,fig,5,0.07748314268550602
hamster,low,fig,6,0.007387357266027528
hamster,low,fig,7,0.0005793289293124664
hamster,low,fig,15,0.00002599594124320552
hamster,low,fig,0.5,0.25141450947038557
hamster,low,fig,4.5,0.19682551499509612
hamster,low,fig,5.5,0.021557658255103043
hamster,low,fig,6.5,0.002709979177956664
short,low,lit,0,0.030173980384963908
short,low,lit,4,0.10255408569050702
short,low,lit,5,0.20658375378038737
short,low,lit,6,0.13917007098406822
short,low,lit,7,0.019426006531934836
short,low,lit,15,0.0013823242429254366
short,low,lit,0.5,0.0613998358351615
short,low,lit,4.5,0.1525789538995679
short,low,lit,5.5,0.21693138470508572
short,low,lit,6.5,0.06979960394539811
