utterance,polarity,literal,bin,prob
giraffe,high,fig,0,0.0053330230401170756
giraffe,high,fig,1,0.010660924495247992
giraffe,high,fig,5,0.024745595779943536
giraffe,high,fig,10,0.061909148913604946
giraffe,high,fig,12,0.13059491551586017
giraffe,high,fig,14,0.1960269186149354
giraffe,high,fig,16,0.1983168268466949
giraffe,high,fig,18,0.17502958113806236
giraffe,high,fig,20,0.10922378227137364
giraffe,high,fig,60,0.08815928338416004
tall,high,lit,0,0.05914903055202167
tall,high,lit,1,0.09241436541040213
tall,high,lit,5,0.1494085368141835
tall,high,lit,10,0.17933026971032331
tall,high,lit,12,0.17386490914343602
tall,high,lit,14,0.14572122462433226
tall,high,lit,16,0.09426895413380951
tall,high,lit,18,0.059208715339975265
tall,high,lit,20,0.028213402759109756
tall,high,lit,60,0.01842059151240656
hamster,low,fig,0,0.6161675235642
hamster,low,fig,1,0.2468422561566563
hamster,low,fig,5,0.08047924790295138
hamster,low,fig,10,0.03042286263700189
hamster,low,fig,12,0.01358685818155047
hamster,low,fig,14,0.007066629151412031
hamster,low,fig,16,0.0032902462827195944
hamster,low,fig,18,0.00150310165725962
hamster,low,fig,20,0.0004803474122869078
hamster,low,fig,60,0.0001609270539615083
short,low,lit,0,0.2949267506725414
short,low,lit,1,0.27043318671295835
short,low,lit,5,0.20859772980268296
short,low,lit,10,0.10942238765595806
short,low,lit,12,0.05653928083275539
short,low,lit,14,0.032061338460961174
short,low,lit,16,0.015976882835310433
short,low,lit,18,0.00789471154777565
short,low,lit,20,0.0028620758417193574
short,low,lit,60,0.001285655637337235
