utterance,polarity,literal,bin,prob
giraffe,high,fig,0,0.0002445992070614901
giraffe,high,fig,10,0.0011821418914625592
giraffe,high,fig,100,0.0032062808174771113
giraffe,high,fig,120,0.006861723864356549
giraffe,high,fig,140,0.014374833612006829
giraffe,high,fig,160,0.02964748055824315
giraffe,high,fig,180,0.08247986031525867
giraffe,high,fig,200,0.332262835177545
giraffe,high,fig,220,0.4277315643346555
giraffe,high,fig,10000,0.10200868022193325
tall,high,lit,0,0.004180714558974829
tall,high,lit,10,0.015058495075748607
tall,high,lit,100,0.035151199626387915
tall,high,lit,120,0.06685952869897274
tall,high,lit,140,0.120272314724245
tall,high,lit,160,0.17800148131533555
tall,high,lit,180,0.22691500291190772
tall,high,lit,200,0.22611419641533365
tall,high,lit,220,0.11180335616769825
tall,high,lit,10000,0.015643710505395644
hamster,low,fig,0,0.10797090408927906
hamster,low,fig,10,0.22691848275035176
hamster,low,fig,100,0.2859556646049819
hamster,low,fig,120,0.2339908534736833
hamster,low,fig,140,0.10126153115902516
hamster,low,fig,160,0.028526172229850693
hamster,low,fig,180,0.00991637486283116
hamster,low,fig,200,0.0041578049859610396
hamster,low,fig,220,0.0012137741314260252
hamster,low,fig,10000,0.00008843771260991104
short,low,lit,0,0.01818354028706147
short,low,lit,10,0.05357295315935769
short,low,lit,100,0.1038465851786713
short,low,lit,120,0.16132041044848033
short,low,lit,140,0.21221381532424824
short,low,lit,160,0.18542590801574516
short,low,lit,180,0.13568328708124816
short,low,lit,200,0.08929184010803021
short,low,lit,220,0.036199713033408215
short,low,lit,10000,0.004261947363749122
