utterance,polarity,literal,bin,prob
giraffe,high,fig,0,0.000015500408303360957
giraffe,high,fig,1,0.00007351305630779756
giraffe,high,fig,5,0.0008420104251371328
giraffe,high,fig,10,0.01866805598498279
giraffe,high,fig,12,0.13754287473726468
giraffe,high,fig,14,0.18330620407174558
giraffe,high,fig,16,0.2436710250907593
giraffe,high,fig,18,0.22589512431645603
giraffe,high,fig,20,0.12365781082975913
giraffe,high,fig,60,0.06632788107928432
tall,high,lit,0,0.003846539849293586
tall,high,lit,1,0.0115563532531327
tall,high,lit,5,0.05206709185234242
tall,high,lit,10,0.19801317808951993
tall,high,lit,12,0.259312241858408
tall,high,lit,14,0.16858726373152716
tall,high,lit,16,0.14587989133818083
tall,high,lit,18,0.09909117943524565
tall,high,lit,20,0.042741145737509784
tall,high,lit,60,0.018905114854839932
hamster,low,fig,0,0.9120376739251318
hamster,low,fig,1,0.08195973812052604
hamster,low,fig,5,0.004572992289010201
hamster,low,fig,10,0.0008936041614588177
hamster,low,fig,12,0.0003010782617006132
hamster,low,fig,14,0.00011948441755559584
hamster,low,fig,16,0.0000706031650153158
hamster,low,fig,18,0.00003339821431618953
hamster,low,fig,20,0.000009361411595573634
hamster,low,fig,60,0.000002066033689901712
short,low,lit,0,0.3751889061688229
short,low,lit,1,0.2974338930976552
short,low,lit,5,0.17448484359974742
short,low,lit,10,0.08140287973943007
short,low,lit,12,0.03682801949743311
short,low,lit,14,0.016588086306052373
short,low,lit,16,0.010649340967474774
short,low,lit,18,0.005359683804364705
short,low,lit,20,0.0016257444662280587
short,low,lit,60,0.00043860235279140185
