utterance,polarity,literal,bin,prob
giraffe,high,fig,0,0.005101602489303215
giraffe,high,fig,1,0.011075285770567357
giraffe,high,fig,5,0.026246499568622905
giraffe,high,fig,10,0.06993336926695232
giraffe,high,fig,12,0.13599748321329522
giraffe,high,fig,14,0.16207446571326398
giraffe,high,fig,16,0.21508907858212786
giraffe,high,fig,18,0.20219630381834422
giraffe,high,fig,20,0.1118731839569306
giraffe,high,fig,60,0.06041272762059236
tall,high,lit,0,0.06078321451443541
tall,high,lit,1,0.1020828755004474
tall,high,lit,5,0.15408531790901583
tall,high,lit,10,0.18550499857524494
tall,high,lit,12,0.16438968237757312
tall,high,lit,14,0.11406474411597266
tall,high,lit,16,0.10415064614485793
tall,high,lit,18,0.07133971812160775
tall,high,lit,20,0.030374174921820884
tall,high,lit,60,0.013224627819023988
hamster,low,fig,0,0.6177267586653364
hamster,low,fig,1,0.24655743524271007
hamster,low,fig,5,0.07926438250877144
hamster,low,fig,10,0.03087739481904321
hamster,low,fig,12,0.013330454435376103
hamster,low,fig,14,0.005937351645678752
hamster,low,fig,16,0.0037834897703447564
hamster,low,fig,18,0.00186705122628185
hamster,low,fig,20,0.00053458391693179
hamster,low,fig,60,0.00012109776952554117
short,low,lit,0,0.29402902123513946
short,low,lit,1,0.2909051487741803
short,low,lit,5,0.20269483162013174
short,low,lit,10,0.10574390814715932
short,low,lit,12,0.05179523778903109
short,low,lit,14,0.024895810166390937
short,low,lit,16,0.017015218263996556
short,low,lit,18,0.009088921793148472
short,low,lit,20,0.002944238094126795
short,low,lit,60,0.0008876641166953977
