utterance,polarity,literal,bin,prob
giraffe,high,fig,0,0.0002445992070614898
giraffe,high,fig,10,0.001182141891462554
giraffe,high,fig,100,0.0032062808174771066
giraffe,high,fig,120,0.00686172386435653
giraffe,high,fig,140,0.014374833612006767
giraffe,high,fig,160,0.029647480558243056
giraffe,high,fig,180,0.08247986031525864
giraffe,high,fig,200,0.3322628351775457
giraffe,high,fig,220,0.4277315643346549
giraffe,high,fig,10000,0.10200868022193332
tall,high,lit,0,0.004180714558974831
tall,high,lit,10,0.01505849507574864
tall,high,lit,100,0.03515119962638791
tall,high,lit,120,0.06685952869897276
tall,high,lit,140,0.12027231472424514
tall,high,lit,160,0.1780014813153353
tall,high,lit,180,0.22691500291190808
tall,high,lit,200,0.22611419641533353
tall,high,lit,220,0.11180335616769807
tall,high,lit,10000,0.015643710505395623
hamster,low,fig,0,0.10797090408927895
hamster,low,fig,10,0.22691848275035198
hamster,low,fig,100,0.28595566460498184
hamster,low,fig,120,0.23399085347368329
hamster,low,fig,140,0.10126153115902514
hamster,low,fig,160,0.02852617222985058
hamster,low,fig,180,0.00991637486283114
hamster,low,fig,200,0.004157804985961035
hamster,low,fig,220,0.0012137741314260256
hamster,low,fig,10000,0.00008843771260991103
short,low,lit,0,0.018183540287061456
short,low,lit,10,0.05357295315935763
short,low,lit,100,0.10384658517867139
short,low,lit,120,0.16132041044848025
short,low,lit,140,0.21221381532424818
short,low,lit,160,0.18542590801574502
short,low,lit,180,0.13568328708124833
short,low,lit,200,0.08929184010803021
short,low,lit,220,0.036199713033408285
short,low,lit,10000,0.0042619473637491205
