category,funny,industrious,busy,quiet,small,smart,prob
ant,0,0,0,0,0,0,8.785382320175157e-7
ant,0,0,0,0,0,1,8.785382320175157e-7
ant,0,0,0,0,0,2,8.785382320175157e-7
ant,0,0,0,0,1,0,4.0094578404025265e-7
ant,0,0,0,0,1,1,4.0094578404025265e-7
ant,0,0,0,0,1,2,4.0094578404025265e-7
ant,0,0,0,0,2,0,0.000006807837770401377
ant,0,0,0,0,2,1,0.000006807837770401377
ant,0,0,0,0,2,2,0.000006807837770401377
ant,0,0,0,1,0,0,8.785382320175157e-7
ant,0,0,0,1,0,1,8.785382320175157e-7
ant,0,0,0,1,0,2,8.785382320175157e-7
ant,0,0,0,1,1,0,4.0094578404025265e-7
ant,0,0,0,1,1,1,4.0094578404025265e-7
ant,0,0,0,1,1,2,4.0094578404025265e-7
ant,0,0,0,1,2,0,0.000006807837770401377
ant,0,0,0,1,2,1,0.000006807837770401377
ant,0,0,0,1,2,2,0.000006807837770401377
ant,0,0,0,2,0,0,8.785382320175157e-7
ant,0,0,0,2,0,1,8.785382320175157e-7
ant,0,0,0,2,0,2,8.785382320175157e-7
ant,0,0,0,2,1,0,4.0094578404025265e-7
ant,0,0,0,2,1,1,4.0094578404025265e-7
ant,0,0,0,2,1,2,4.0094578404025265e-7
ant,0,0,0,2,2,0,0.000006807837770401377
ant,0,0,0,2,2,1,0.000006807837770401377
ant,0,0,0,2,2,2,0.000006807837770401377
ant,0,0,1,0,0,0,8.785382320175157e-7
ant,0,0,1,0,0,1,8.785382320175157e-7
ant,0,0,1,0,0,2,8.785382320175157e-7
ant,0,0,1,0,1,0,4.0094578404025265e-7
ant,0,0,1,0,1,1,4.0094578404025265e-7
ant,0,0,1,0,1,2,4.0094578404025265e-7
ant,0,0,1,0,2,0,0.000006807837770401377
ant,0,0,1,0,2,1,0.000006807837770401377
ant,0,0,1,0,2,2,0.000006807837770401377
ant,0,0,1,1,0,0,8.785382320175157e-7
ant,0,0,1,1,0,1,8.785382320175157e-7
ant,0,0,1,1,0,2,8.785382320175157e-7
ant,0,0,1,1,1,0,4.0094578404025265e-7
ant,0,0,1,1,1,1,4.0094578404025265e-7
ant,0,0,1,1,1,2,4.0094578404025265e-7
ant,0,0,1,1,2,0,0.000006807837770401377
ant,0,0,1,1,2,1,0.000006807837770401377
ant,0,0,1,1,2,2,0.000006807837770401377
ant,0,0,1,2,0,0,8.785382320175157e-7
ant,0,0,1,2,0,1,8.785382320175157e-7
ant,0,0,1,2,0,2,8.785382320175157e-7
ant,0,0,1,2,1,0,4.0094578404025265e-7
ant,0,0,1,2,1,1,4.0094578404025265e-7
ant,0,0,1,2,1,2,4.0094578404025265e-7
ant,0,0,1,2,2,0,0.000006807837770401377
ant,0,0,1,2,2,1,0.000006807837770401377
