category,small,industrious,prob
ant,0,0,0.00014070787010419115
ant,0,1,0.0002896657622196443
ant,0,2,0.0007471733467166436
ant,1,0,0.00006373705472561644
ant,1,1,0.0001315991204568639
ant,1,2,0.00034491352527691227
ant,2,0,0.0012925933597348147
ant,2,1,0.0026470618845540967
ant,2,2,0.006632032214172821
beaver,0,0,0.00001085014218269872
beaver,0,1,0.000023800261659625027
beaver,0,2,0.00008798526301203523
beaver,1,0,0.00001013817540363182
beaver,1,1,0.00004180437115586711
beaver,1,2,0.0003186168424080562
beaver,2,0,0.0003833049957426589
beaver,2,1,0.0007285338966284794
beaver,2,2,0.0017518572024076754
mouse,0,0,0.00002712535545674683
mouse,0,1,0.000023800261659625027
mouse,0,2,0.000039993301369106904
mouse,1,0,0.00000506908770181591
mouse,1,1,0.000008360874231173427
mouse,1,2,0.000028965167491641468
mouse,2,0,0.0012776833191421942
mouse,2,1,0.0009713785288379716
mouse,2,2,0.0010617316378228314
monkey,0,0,0.00000813760663702402
monkey,0,1,0.000047600523319250115
monkey,0,2,0.000039993301369106904
monkey,1,0,0.000018248715726537237
monkey,1,1,0.00020066098154816216
monkey,1,2,0.0003475820098996974
monkey,2,0,0.00011978281116958056
monkey,2,1,0.0006071115805237338
monkey,2,2,0.00033179113681963565
man,0,0,0.004296656304348687
man,0,1,0.026928296049175696
man,0,2,0.20271804597972892
man,1,0,0.002208094602911006
man,1,1,0.02601426296499385
man,1,2,0.4037512626994889
man,2,0,0.009486798644630822
man,2,1,0.05151775411872822
man,2,2,0.25226743714670585
