category,small,industrious,prob
man,0,0,0.0061174674439253215
man,0,1,0.008957720185747793
man,0,2,0.022083385223400743
man,0,3,0.018352402331775958
man,0,4,0.028418711194531376
man,0,5,0.059577358948084705
man,1,0,0.004915822053154281
man,1,1,0.009176201165887991
man,1,2,0.020343940496900016
man,1,3,0.014747466159462836
man,1,4,0.025586550340862296
man,1,5,0.03398110995658895
man,2,0,0.007768212627206759
man,2,1,0.014868844481762934
man,2,2,0.03263209511068222
man,2,3,0.023304637881620262
man,2,4,0.040944954055902275
man,2,5,0.051112469596326704
man,3,0,0.010767809701444126
man,3,1,0.020708694297822763
man,3,2,0.045361869225019134
man,3,3,0.03230342910433239
man,3,4,0.056892183771681884
man,3,5,0.07015751373846814
man,4,0,0.0037384523268432527
man,4,1,0.006578705068665722
man,4,2,0.014946339872154534
man,4,3,0.011215356980529752
man,4,4,0.0189026507262031
man,4,5,0.028650162426017815
man,5,0,0.009161734792978906
man,5,1,0.012001987534801375
man,5,2,0.03121618727056149
man,5,3,0.0274852043789367
man,5,4,0.0405957805907457
man,5,5,0.09915283448578129
ant,0,0,0.00012358520088738027
ant,0,1,0.00045682386756585176
ant,0,2,0.0005445897313828515
ant,0,3,0.0003707556026621406
ant,0,4,0.0006677851132605146
ant,0,5,0.0009727582917420563
ant,1,0,0.00004744788962640492
ant,1,1,0.00018537780133107056
ant,1,2,0.00021491602242228503
ant,1,3,0.00014234366887921492
ant,1,4,0.0002621690025438311
ant,1,5,0.0003572767485154611
ant,2,0,0.000046589659064687005
ant,2,1,0.00018280310964591682
ant,2,2,0.00021148310017541337
ant,2,3,0.00013976897719406118
ant,2,4,0.0002578778497352416
ant,2,5,0.0003495526734599999
ant,3,0,0.00004643426515899389
ant,3,1,0.00018233692792883748
ant,3,2,0.00021086152455264092
ant,3,3,0.00013930279547698184
ant,3,4,0.000257100880206776
ant,3,5,0.0003481541283087619
ant,4,0,0.00004977737257963927
ant,4,1,0.00019236625019077364
ant,4,2,0.00022423395423522242
ant,4,3,0.00014933211773891797
ant,4,4,0.00027381641731000293
ant,4,5,0.00037824209509457034
ant,5,0,0.001157515320977594
ant,5,1,0.0041180579497106145
ant,5,2,0.00500692824266035
ant,5,3,0.003472545962932781
ant,5,4,0.006161519921065059
ant,5,5,0.009371324016965589
