category,fast,small,prob
ant,0,0,0.00010940580736603968
ant,0,1,0.00003680402665863698
ant,0,2,0.00218190355370673
ant,1,0,0.00008995249866688545
ant,1,1,0.000038467566779121726
ant,1,2,0.0011696837394421632
ant,2,0,0.000006929249802316962
ant,2,1,0.0000018374542625782193
ant,2,2,0.0001757293733775078
cheetah,0,0,0.00002486495621955449
cheetah,0,1,0.00003345820605330632
cheetah,0,2,0.00003967097370375883
cheetah,1,0,0.0001124406233336069
cheetah,1,1,0.0001923378338956085
cheetah,1,2,0.00011696837394421629
cheetah,2,0,0.00022520061857530133
cheetah,2,1,0.0002388690541351682
cheetah,2,2,0.0004568963707815205
mouse,0,0,0.00003978392995128722
mouse,0,1,0.000026766564842645076
mouse,0,2,0.0016926282113603733
mouse,1,0,0.00006746437400016415
mouse,1,1,0.000057701350168682545
mouse,1,2,0.00187149398310746
mouse,2,0,0.000006929249802316974
mouse,2,1,0.000003674908525156438
mouse,2,2,0.00037488932987201604
jaguar,0,0,0.00002486495621955449
jaguar,0,1,0.000036804026658636916
jaguar,0,2,0.000026447315802505822
jaguar,1,0,0.0003373218700008211
jaguar,1,1,0.0006347148518555081
jaguar,1,2,0.0002339367478884322
jaguar,2,0,0.0001559081205521319
jaguar,2,1,0.0001819079719952435
jaguar,2,2,0.0002108752480530094
bird,0,0,0.0003723585735369203
bird,0,1,0.00017804343357555915
bird,0,2,0.0034114893008275558
bird,1,0,0.000609096998203986
bird,1,1,0.0002931583046319316
bird,1,2,0.005434547485550808
bird,2,0,0.00028581992808751725
bird,2,1,0.0001364012814894378
bird,2,2,0.002638689460096902
man,0,0,0.059079135977661325
man,0,1,0.10930795917615159
man,0,2,0.11782279190016377
man,1,0,0.11131621710027065
man,1,1,0.2618198763903969
man,1,2,0.1447483627559679
man,2,0,0.034299786521468936
man,2,1,0.05002469229869194
man,2,2,0.08698603982186644
