category,fast,small,prob
man,0,0,0.015456947122303248
man,0,1,0.012420761080422246
man,0,2,0.019627869361654893
man,0,3,0.02720692291440289
man,0,4,0.02225567950316597
man,0,5,0.023093071484815278
man,1,0,0.03240643014398231
man,1,1,0.021697996208391968
man,1,2,0.033479829249697834
man,1,3,0.046191525469792105
man,1,4,0.0494032610961391
man,1,5,0.051496741050262376
man,2,0,0.03220197317146504
man,2,1,0.03215597035264873
man,2,2,0.05198318526250792
man,2,3,0.07236831807964013
man,2,4,0.0424000717427591
man,2,5,0.04365615971523306
man,3,0,0.016892235069374234
man,3,1,0.00919136319951248
man,3,2,0.013708840007280875
man,3,3,0.018784234722322317
man,3,4,0.027090333640668297
man,3,5,0.028346421613142256
man,4,0,0.02164553685360133
man,4,1,0.005556656272820473
man,4,2,0.006577596023745376
man,4,3,0.008528398953458695
man,4,4,0.03864236780575812
man,4,5,0.040735847759881386
man,5,0,0.011316693428829155
man,5,1,0.011592710341727437
man,5,2,0.018784484350021294
man,5,3,0.026162230994072826
man,5,4,0.014716059619260511
man,5,5,0.015134755610085163
bird,0,0,0.00031226155802632825
bird,0,1,0.00011988613388510813
bird,0,2,0.00011771765084325865
bird,0,3,0.00011732501853169455
bird,0,4,0.0009523390561987182
bird,0,5,0.0021416677003954746
bird,1,0,0.0005741317006039637
bird,1,1,0.00021457656004586985
bird,1,2,0.00021023959396217085
bird,1,3,0.00020945432933904264
bird,1,4,0.0017786995737757011
bird,1,5,0.004006182615823137
bird,2,0,0.0011189372495943447
bird,2,1,0.0004507346894130034
bird,2,2,0.00044422924028745495
bird,2,3,0.00044305134335276264
bird,2,4,0.003312398607384549
bird,2,5,0.007426842266520898
bird,3,0,0.00026988320372275536
bird,3,1,0.00009869695673332168
bird,3,2,0.00009652847369147219
bird,3,3,0.00009613584137990809
bird,3,4,0.0008463931704397858
bird,3,5,0.0019085867517258236
bird,4,0,0.00024358749357316972
bird,4,1,0.00008554910165852888
bird,4,2,0.00008338061861667938
bird,4,3,0.00008298798630511527
bird,4,4,0.0007806538950658217
bird,4,5,0.0017639603459031026
bird,5,0,0.000577126272423658
bird,5,1,0.00023419616851974568
bird,5,2,0.00023094344395697145
bird,5,3,0.0002303544954896253
bird,5,4,0.0017003434227584905
bird,5,5,0.003810538195206127
