category,funny,lazy,cute,agile,fast,sleek,dumb,smart,prob
cheetah,0,0,0,0,0,0,0,0,1.7597105681759848e-8
cheetah,0,0,0,0,0,0,0,1,1.7597105681759848e-8
cheetah,0,0,0,0,0,0,0,2,1.7597105681759848e-8
cheetah,0,0,0,0,0,0,1,0,1.7597105681759848e-8
cheetah,0,0,0,0,0,0,1,1,1.7597105681759848e-8
cheetah,0,0,0,0,0,0,1,2,1.7597105681759848e-8
cheetah,0,0,0,0,0,0,2,0,1.7597105681759848e-8
cheetah,0,0,0,0,0,0,2,1,1.7597105681759848e-8
cheetah,0,0,0,0,0,0,2,2,1.7597105681759848e-8
cheetah,0,0,0,0,0,1,0,0,1.7597105681759848e-8
cheetah,0,0,0,0,0,1,0,1,1.7597105681759848e-8
cheetah,0,0,0,0,0,1,0,2,1.7597105681759848e-8
cheetah,0,0,0,0,0,1,1,0,1.7597105681759848e-8
cheetah,0,0,0,0,0,1,1,1,1.7597105681759848e-8
cheetah,0,0,0,0,0,1,1,2,1.7597105681759848e-8
cheetah,0,0,0,0,0,1,2,0,1.7597105681759848e-8
cheetah,0,0,0,0,0,1,2,1,1.7597105681759848e-8
cheetah,0,0,0,0,0,1,2,2,1.7597105681759848e-8
cheetah,0,0,0,0,0,2,0,0,1.7597105681759848e-8
cheetah,0,0,0,0,0,2,0,1,1.7597105681759848e-8
cheetah,0,0,0,0,0,2,0,2,1.7597105681759848e-8
cheetah,0,0,0,0,0,2,1,0,1.7597105681759848e-8
cheetah,0,0,0,0,0,2,1,1,1.7597105681759848e-8
cheetah,0,0,0,0,0,2,1,2,1.7597105681759848e-8
cheetah,0,0,0,0,0,2,2,0,1.7597105681759848e-8
cheetah,0,0,0,0,0,2,2,1,1.7597105681759848e-8
cheetah,0,0,0,0,0,2,2,2,1.7597105681759848e-8
cheetah,0,0,0,0,1,0,0,0,3.513040144004608e-8
cheetah,0,0,0,0,1,0,0,1,3.513040144004608e-8
cheetah,0,0,0,0,1,0,0,2,3.513040144004608e-8
cheetah,0,0,0,0,1,0,1,0,3.513040144004608e-8
