category,fast,agile,prob
cheetah,0,0,0.000029914112521684683
cheetah,0,1,0.00015669892554210263
cheetah,0,2,0.00034349538347085016
cheetah,1,0,0.00005962325029405692
cheetah,1,1,0.000312372977337643
cheetah,1,2,0.0006849410194485758
cheetah,2,0,0.0004956060333000859
cheetah,2,1,0.002570698884638255
cheetah,2,2,0.0055326656903028895
deer,0,0,0.000029714018123546345
deer,0,1,0.00009927183327639353
deer,0,2,0.000139265701104298
deer,1,0,0.00008637489525492087
deer,1,1,0.0002913587952258378
deer,1,2,0.00041226278508145725
deer,2,0,0.00013813183284818058
deer,2,1,0.0003622264424076909
deer,2,2,0.00038271388550596886
jaguar,0,0,0.000009904672707848768
jaguar,0,1,0.000014181690468056191
jaguar,0,2,0.00007736983394683226
jaguar,1,0,0.00005758326350328052
jaguar,1,1,0.00008324537006452508
jaguar,1,2,0.0004580697612016194
jaguar,2,0,0.000310796623908407
jaguar,2,1,0.0003492897837502739
jaguar,2,2,0.001435177070647381
monkey,0,0,0.000016507787846414643
monkey,0,1,0.000212725357020843
monkey,0,2,0.00023210950184049663
monkey,1,0,0.000028791631751640255
monkey,1,1,0.00037460416529036306
monkey,1,2,0.00041226278508145725
monkey,2,0,0.000023021972141363437
monkey,2,1,0.0002328598558335156
monkey,2,2,0.00019135694275298405
cat,0,0,0.000029714018123546345
cat,0,1,0.00009927183327639353
cat,0,2,0.000139265701104298
cat,1,0,0.00009597210583880085
cat,1,1,0.00032373199469537496
cat,1,2,0.0004580697612016194
cat,2,0,0.00010359887463613552
cat,2,1,0.0002716698318057684
cat,2,2,0.0002870354141294764
man,0,0,0.02941687794231087
man,0,1,0.12635886207038075
man,0,2,0.09191536272883657
man,1,0,0.02375309619510319
man,1,1,0.1030161454548497
man,1,2,0.07558151059826711
man,2,0,0.08546907157481168
man,2,1,0.2881640715939753
man,2,2,0.15786947777121182
