category,fast,agile,prob
man,0,0,0.012472682995741047
man,0,1,0.07743478222767372
man,0,2,0.11639950675409103
man,1,0,0.01946854957699125
man,1,1,0.09175292643134918
man,1,2,0.10909911840246297
man,2,0,0.07946239912509288
man,2,1,0.2717344750756541
man,2,2,0.18909091779993184
cheetah,0,0,0.00006209982579009984
cheetah,0,1,0.000347925927716353
cheetah,0,2,0.001040902562445483
cheetah,1,0,0.00013642139849001837
cheetah,1,1,0.0007569605899817983
cheetah,1,2,0.0022040225939891525
cheetah,2,0,0.0014119377730977944
cheetah,2,1,0.007546237249445058
cheetah,2,2,0.019578133690056232
