category,majestic,big,slow,hard,strong,prob
turtle,0,0,0,0,0,0.00000905827278767746
turtle,0,0,0,0,1,0.00000905827278767746
turtle,0,0,0,0,2,0.00000905827278767746
turtle,0,0,0,1,0,0.000009132561520217187
turtle,0,0,0,1,1,0.000009132561520217187
turtle,0,0,0,1,2,0.000009132561520217187
turtle,0,0,0,2,0,0.00004254975595180202
turtle,0,0,0,2,1,0.00004254975595180202
turtle,0,0,0,2,2,0.00004254975595180202
turtle,0,0,1,0,0,0.00000905827278767746
turtle,0,0,1,0,1,0.00000905827278767746
turtle,0,0,1,0,2,0.00000905827278767746
turtle,0,0,1,1,0,0.000009132561520217187
turtle,0,0,1,1,1,0.000009132561520217187
turtle,0,0,1,1,2,0.000009132561520217187
turtle,0,0,1,2,0,0.00004254975595180202
turtle,0,0,1,2,1,0.00004254975595180202
turtle,0,0,1,2,2,0.00004254975595180202
turtle,0,0,2,0,0,0.00000905827278767746
turtle,0,0,2,0,1,0.00000905827278767746
turtle,0,0,2,0,2,0.00000905827278767746
turtle,0,0,2,1,0,0.000009132561520217187
turtle,0,0,2,1,1,0.000009132561520217187
turtle,0,0,2,1,2,0.000009132561520217187
turtle,0,0,2,2,0,0.00004254975595180202
turtle,0,0,2,2,1,0.00004254975595180202
turtle,0,0,2,2,2,0.00004254975595180202
turtle,0,1,0,0,0,0.0000018347417826856875
turtle,0,1,0,0,1,0.0000018347417826856875
turtle,0,1,0,0,2,0.0000018347417826856875
turtle,0,1,0,1,0,0.0000018495995291936331
turtle,0,1,0,1,1,0.0000018495995291936331
turtle,0,1,0,1,2,0.0000018495995291936331
turtle,0,1,0,2,0,0.000008625387316111381
turtle,0,1,0,2,1,0.000008625387316111381
turtle,0,1,0,2,2,0.000008625387316111381
turtle,0,1,1,0,0,0.0000018347417826856875
turtle,0,1,1,0,1,0.0000018347417826856875
turtle,0,1,1,0,2,0.0000018347417826856875
turtle,0,1,1,1,0,0.0000018495995291936331
turtle,0,1,1,1,1,0.0000018495995291936331
turtle,0,1,1,1,2,0.0000018495995291936331
turtle,0,1,1,2,0,0.000008625387316111381
turtle,0,1,1,2,1,0.000008625387316111381
turtle,0,1,1,2,2,0.000008625387316111381
turtle,0,1,2,0,0,0.0000018347417826856875
turtle,0,1,2,0,1,0.0000018347417826856875
turtle,0,1,2,0,2,0.0000018347417826856875
turtle,0,1,2,1,0,0.0000018495995291936331
turtle,0,1,2,1,1,0.0000018495995291936331
turtle,0,1,2,1,2,0.0000018495995291936331
turtle,0,1,2,2,0,0.000008625387316111381
turtle,0,1,2,2,1,0.000008625387316111381
turtle,0,1,2,2,2,0.000008625387316111381
turtle,0,2,0,0,0,0.000002659725294719183
turtle,0,2,0,0,1,0.000002659725294719183
turtle,0,2,0,0,2,0.000002659725294719183
turtle,0,2,0,1,0,0.0000026745830412271285
turtle,0,2,0,1,1,0.0000026745830412271285
turtle,0,2,0,1,2,0.0000026745830412271285
turtle,0,2,0,2,0,0.000012750304876278845
turtle,0,2,0,2,1,0.000012750304876278845
turtle,0,2,0,2,2,0.000012750304876278845
turtle,0,2,1,0,0,0.000002659725294719183
turtle,0,2,1,0,1,0.000002659725294719183
turtle,0,2,1,0,2,0.000002659725294719183
turtle,0,2,1,1,0,0.0000026745830412271285
turtle,0,2,1,1,1,0.0000026745830412271285
turtle,0,2,1,1,2,0.0000026745830412271285
turtle,0,2,1,2,0,0.000012750304876278845
turtle,0,2,1,2,1,0.000012750304876278845
turtle,0,2,1,2,2,0.000012750304876278845
turtle,0,2,2,0,0,0.000002659725294719183
turtle,0,2,2,0,1,0.000002659725294719183
turtle,0,2,2,0,2,0.000002659725294719183
turtle,0,2,2,1,0,0.0000026745830412271285
turtle,0,2,2,1,1,0.0000026745830412271285
turtle,0,2,2,1,2,0.0000026745830412271285
turtle,0,2,2,2,0,0.000012750304876278845
turtle,0,2,2,2,1,0.000012750304876278845
turtle,0,2,2,2,2,0.000012750304876278845
turtle,1,0,0,0,0,0.00000905827278767746
turtle,1,0,0,0,1,0.00000905827278767746
turtle,1,0,0,0,2,0.00000905827278767746
turtle,1,0,0,1,0,0.000009132561520217187
turtle,1,0,0,1,1,0.000009132561520217187
turtle,1,0,0,1,2,0.000009132561520217187
turtle,1,0,0,2,0,0.00004254975595180202
turtle,1,0,0,2,1,0.00004254975595180202
turtle,1,0,0,2,2,0.00004254975595180202
turtle,1,0,1,0,0,0.00000905827278767746
turtle,1,0,1,0,1,0.00000905827278767746
turtle,1,0,1,0,2,0.00000905827278767746
turtle,1,0,1,1,0,0.000009132561520217187
turtle,1,0,1,1,1,0.000009132561520217187
turtle,1,0,1,1,2,0.000009132561520217187
turtle,1,0,1,2,0,0.00004254975595180202
turtle,1,0,1,2,1,0.00004254975595180202
turtle,1,0,1,2,2,0.00004254975595180202
turtle,1,0,2,0,0,0.00000905827278767746
turtle,1,0,2,0,1,0.00000905827278767746
turtle,1,0,2,0,2,0.00000905827278767746
turtle,1,0,2,1,0,0.000009132561520217187
turtle,1,0,2,1,1,0.000009132561520217187
turtle,1,0,2,1,2,0.000009132561520217187
turtle,1,0,2,2,0,0.00004254975595180202
turtle,1,0,2,2,1,0.00004254975595180202
turtle,1,0,2,2,2,0.00004254975595180202
turtle,1,1,0,0,0,0.0000018347417826856875
turtle,1,1,0,0,1,0.0000018347417826856875
turtle,1,1,0,0,2,0.0000018347417826856875
turtle,1,1,0,1,0,0.0000018495995291936331
turtle,1,1,0,1,1,0.0000018495995291936331
turtle,1,1,0,1,2,0.0000018495995291936331
turtle,1,1,0,2,0,0.000008625387316111381
turtle,1,1,0,2,1,0.000008625387316111381
turtle,1,1,0,2,2,0.000008625387316111381
turtle,1,1,1,0,0,0.0000018347417826856875
turtle,1,1,1,0,1,0.0000018347417826856875
turtle,1,1,1,0,2,0.0000018347417826856875
turtle,1,1,1,1,0,0.0000018495995291936331
turtle,1,1,1,1,1,0.0000018495995291936331
turtle,1,1,1,1,2,0.0000018495995291936331
turtle,1,1,1,2,0,0.000008625387316111381
turtle,1,1,1,2,1,0.000008625387316111381
turtle,1,1,1,2,2,0.000008625387316111381
turtle,1,1,2,0,0,0.0000018347417826856875
turtle,1,1,2,0,1,0.0000018347417826856875
turtle,1,1,2,0,2,0.0000018347417826856875
turtle,1,1,2,1,0,0.0000018495995291936331
turtle,1,1,2,1,1,0.0000018495995291936331
turtle,1,1,2,1,2,0.0000018495995291936331
turtle,1,1,2,2,0,0.000008625387316111381
turtle,1,1,2,2,1,0.000008625387316111381
turtle,1,1,2,2,2,0.000008625387316111381
turtle,1,2,0,0,0,0.000002659725294719183
turtle,1,2,0,0,1,0.000002659725294719183
turtle,1,2,0,0,2,0.000002659725294719183
turtle,1,2,0,1,0,0.0000026745830412271285
turtle,1,2,0,1,1,0.0000026745830412271285
turtle,1,2,0,1,2,0.0000026745830412271285
turtle,1,2,0,2,0,0.000012750304876278845
turtle,1,2,0,2,1,0.000012750304876278845
turtle,1,2,0,2,2,0.000012750304876278845
turtle,1,2,1,0,0,0.000002659725294719183
turtle,1,2,1,0,1,0.000002659725294719183
turtle,1,2,1,0,2,0.000002659725294719183
turtle,1,2,1,1,0,0.0000026745830412271285
turtle,1,2,1,1,1,0.0000026745830412271285
turtle,1,2,1,1,2,0.0000026745830412271285
turtle,1,2,1,2,0,0.000012750304876278845
turtle,1,2,1,2,1,0.000012750304876278845
turtle,1,2,1,2,2,0.000012750304876278845
turtle,1,2,2,0,0,0.000002659725294719183
turtle,1,2,2,0,1,0.000002659725294719183
turtle,1,2,2,0,2,0.000002659725294719183
turtle,1,2,2,1,0,0.0000026745830412271285
turtle,1,2,2,1,1,0.0000026745830412271285
turtle,1,2,2,1,2,0.0000026745830412271285
turtle,1,2,2,2,0,0.000012750304876278845
turtle,1,2,2,2,1,0.000012750304876278845
turtle,1,2,2,2,2,0.000012750304876278845
turtle,2,0,0,0,0,0.00000905827278767746
