category,big,hard,prob
man,0,0,0.03875438452009089
man,0,1,0.02389709536534621
man,0,2,0.020884856453747942
man,0,3,0.020242245485940343
man,0,4,0.008032637097595377
man,0,5,0.011245691936633523
man,1,0,0.05138416161815632
man,1,1,0.03162850857178182
man,1,2,0.027110150204384405
man,1,3,0.027833087543168038
man,1,4,0.011205528751145576
man,1,5,0.015181684114455293
man,2,0,0.10703591915072751
man,2,1,0.0655998696303624
man,2,2,0.053550913983969294
man,2,3,0.06297587484514798
man,2,4,0.02613284602417708
man,2,5,0.032987363014125096
man,3,0,0.03875438452009089
man,3,1,0.02389709536534621
man,3,2,0.020884856453747942
man,3,3,0.020242245485940343
man,3,4,0.008032637097595377
man,3,5,0.011245691936633523
man,4,0,0.033514633551813354
man,4,1,0.02078444849002805
man,4,2,0.019278329034228915
man,4,3,0.015422663227383152
man,4,4,0.005783498710268687
man,4,5,0.009157206291258742
man,5,0,0.03399659177766906
man,5,1,0.021085672381187887
man,5,2,0.01957955292538875
man,5,3,0.015603397562079046
man,5,4,0.005843743488500652
man,5,5,0.009277695847722676
elephant,0,0,0.000292720030984634
elephant,0,1,0.0001746490035613545
elephant,0,2,0.00011034733790636109
elephant,0,3,0.00040893425224122033
elephant,0,4,0.0004478803715022887
elephant,0,5,0.00012495213262926183
elephant,1,0,0.00027852092500403597
elephant,1,1,0.00016612953997299565
elephant,1,2,0.00010466769551412186
elephant,1,3,0.0003918953250645026
elephant,1,4,0.0004308414443255711
elephant,1,5,0.00011927249023702259
elephant,2,0,0.0002548557483697061
elephant,2,1,0.00015193043399239776
elephant,2,2,0.00009520162486038991
elephant,2,3,0.0003634971131033068
elephant,2,4,0.0004024432323643752
elephant,2,5,0.00010980641958329062
elephant,3,0,0.000292720030984634
elephant,3,1,0.0001746490035613545
elephant,3,2,0.00011034733790636109
elephant,3,3,0.00040893425224122033
elephant,3,4,0.0004478803715022887
elephant,3,5,0.00012495213262926183
elephant,4,0,0.0022918293257474906
elephant,4,1,0.0013691995052719412
elephant,4,2,0.0008762876833740428
elephant,4,3,0.00309621648125495
elephant,4,4,0.0033298931968213604
elephant,4,5,0.0009639164517114471
elephant,5,0,0.002695099539009638
elephant,5,1,0.0016101786181998044
elephant,5,2,0.0010308550941914097
elephant,5,3,0.003637810952229188
elephant,5,4,0.003910433787056667
elephant,5,5,0.0011330886572517146
