category,big,hard,prob
turtle,0,0,0.000036169895913787
turtle,0,1,0.00008461344012247858
turtle,0,2,0.000010222992022190036
turtle,0,3,0.00020197441927089773
turtle,0,4,0.0006478649244027399
turtle,0,5,0.000008278981964808445
turtle,1,0,0.000008468161489146302
turtle,1,1,0.00002009420721879835
turtle,1,2,0.0000031325896882073123
turtle,1,3,0.00004574401796569782
turtle,1,4,0.00014612201740879903
turtle,1,5,0.000006574249027976523
turtle,2,0,0.000008063791626908494
turtle,2,1,0.000018881097632084926
turtle,2,2,0.000002323849963731696
turtle,2,3,0.0000449352782412222
turtle,2,4,0.00014410016809761
turtle,2,5,0.000002126180543360633
turtle,3,0,0.000005285797096796956
turtle,3,1,0.000013202252666070597
turtle,3,2,0.0000036697275485512408
turtle,3,3,0.000024975441687296564
turtle,3,4,0.0000783195904655187
turtle,3,5,0.00001485600438844995
turtle,4,0,0.000028155614032259975
turtle,4,1,0.00008181170347245961
turtle,4,2,0.0000494093614194772
turtle,4,3,0.00007071507555822252
turtle,4,4,0.00019266867514283346
turtle,4,5,0.00026642399067854273
turtle,5,0,0.00001800710572479203
turtle,5,1,0.000048711039925735476
turtle,5,2,0.000022210478159498737
turtle,5,3,0.00006482190643698924
turtle,5,4,0.00019381673858702753
turtle,5,5,0.00011150263562007936
whale,0,0,0.000020094386618770453
whale,0,1,0.000009401493346942041
whale,0,2,0.0000034076640073966744
whale,0,3,0.0000673248064236325
whale,0,4,0.000014396998320060887
whale,0,5,2.508782413578317e-7
whale,1,0,0.0000211704037228657
whale,1,1,0.000010047103609399191
whale,1,2,0.0000046988845323109765
whale,1,3,0.00006861602694854681
whale,1,4,0.000014612201740879939
whale,1,5,8.964885038149814e-7
whale,2,0,0.000040318958134542296
whale,2,1,0.000018881097632084892
whale,2,2,0.000006971549891195071
whale,2,3,0.0001348058347236663
whale,2,4,0.00002882003361952197
whale,2,5,5.798674209165347e-7
whale,3,0,0.00002642898548398462
whale,3,1,0.000013202252666070551
whale,3,2,0.000011009182645653692
whale,3,3,0.00007492632506188951
whale,3,4,0.000015663918093103724
whale,3,5,0.000004051637560486339
whale,4,0,0.000140778070161299
whale,4,1,0.00008181170347245931
whale,4,2,0.00014822808425843124
whale,4,3,0.00021214522667466706
whale,4,4,0.00003853373502856666
whale,4,5,0.00007266108836687511
whale,5,0,0.0004951954074317805
whale,5,1,0.000267910719591546
whale,5,2,0.00036647288963173033
whale,5,3,0.0010695614562103257
whale,5,4,0.00021319841244573121
whale,5,5,0.00016725395343011954
armadillo,0,0,0.00004018877323754098
armadillo,0,1,0.00003133831115647347
armadillo,0,2,0.000005679440012327789
armadillo,0,3,0.00011220801070605415
armadillo,0,4,0.0002159549748009134
armadillo,0,5,0.000005435695229419694
armadillo,1,0,0.000033872645956585215
armadillo,1,1,0.000026792276291731203
armadillo,1,2,0.000006265179376414636
armadillo,1,3,0.0000914880359313958
armadillo,1,4,0.0001753464208905592
armadillo,1,5,0.00001553913406612637
armadillo,2,0,0.00003225516650763398
armadillo,2,1,0.000025174796842779965
armadillo,2,2,0.0000046476999274634005
armadillo,2,3,0.00008987055648244456
armadillo,2,4,0.00017292020171713235
armadillo,2,5,0.000005025517647943325
armadillo,3,0,0.000021143188387187642
armadillo,3,1,0.000017603003554760653
armadillo,3,2,0.0000073394550971024265
armadillo,3,3,0.000049950883374592775
armadillo,3,4,0.00009398350855862196
armadillo,3,5,0.00003511419219088149
armadillo,4,0,0.00005631122806451975
armadillo,4,1,0.00005454113564830625
armadillo,4,2,0.00004940936141947711
armadillo,4,3,0.00007071507555822239
armadillo,4,4,0.00011560120508569992
armadillo,4,5,0.00031486471625645886
armadillo,5,0,0.00001800710572479203
armadillo,5,1,0.000016237013308578527
armadillo,5,2,0.000011105239079749389
armadillo,5,3,0.00003241095321849467
armadillo,5,4,0.00005814502157610837
armadillo,5,5,0.00006588792104822879
elephant,0,0,0.0001431580256381255
elephant,0,1,0.00008323967675855506
elephant,0,2,0.0000503613436102076
elephant,0,3,0.00021500117324685855
elephant,0,4,0.00023405835674359136
elephant,0,5,0.00004939270776864727
elephant,1,0,0.00014423404274222073
elephant,1,1,0.00008388528702101221
elephant,1,2,0.00005079175045184571
elephant,1,3,0.00021629239377177285
elephant,1,4,0.00023534957726850566
elephant,1,5,0.000049823114610285374
elephant,2,0,0.00014322311808662622
elephant,2,1,0.0000832787322276555
elephant,2,2,0.0000503873805896079
elephant,2,3,0.00021507928418505946
elephant,2,4,0.00023413646768179221
elephant,2,5,0.00004941874474804756
elephant,3,0,0.00014949262450333968
elephant,3,1,0.00008704043607768357
elephant,3,2,0.00005289518315629328
elephant,3,3,0.00022260269188511555
elephant,3,4,0.00024165987538184836
elephant,3,5,0.00005192654731473294
elephant,4,0,0.0015830502550839248
elephant,4,1,0.0009338993213044337
elephant,4,2,0.0005918089021633146
elephant,4,3,0.0021589295609873577
elephant,4,4,0.0022732726619677543
elephant,4,5,0.0005859970871139527
elephant,5,0,0.0011765698233193456
elephant,5,1,0.0006873559236213668
elephant,5,2,0.00042231486281244006
elephant,5,3,0.0017143645853509703
elephant,5,4,0.0018477648698281002
elephant,5,5,0.00041553441192151774
man,0,0,0.02546360672330586
man,0,1,0.01240997121796344
man,0,2,0.002249058244881795
man,0,3,0.026660623343758398
man,0,4,0.011402422669488195
man,0,5,0.00013246371143693474
man,1,0,0.04024070339642315
man,1,1,0.01989326514661037
man,1,2,0.004651895686987859
man,1,3,0.04075792000743681
man,1,4,0.017359295668165374
man,1,5,0.0007100188950214657
man,2,0,0.1021843674961844
man,2,1,0.04984609774870434
man,2,2,0.009202445856377535
man,2,3,0.10676622110114428
man,2,4,0.04565093325332305
man,2,5,0.0006123399964878638
man,3,0,0.03349081040530524
man,3,1,0.017426973519213046
man,3,2,0.007266060546131402
man,3,3,0.029670824724508174
man,3,4,0.012405823129738118
man,3,5,0.002139264631936783
man,4,0,0.08919698525419906
man,4,1,0.05399572429182306
man,4,2,0.048915267805282214
man,4,3,0.042004754881584054
man,4,4,0.015259359071312388
man,4,5,0.01918252732885501
man,5,0,0.028523255468070524
man,5,1,0.016074643175492714
man,5,2,0.010994186688951874
man,5,3,0.019252106211785826
man,5,4,0.0076751428480463105
man,5,5,0.00401409488232286
