category,tall,long,prob
man,0,0,0.011950638255803708
man,0,1,0.008536170182716903
man,0,2,0.01747498990235445
man,0,3,0.01481276590530284
man,0,4,0.029151826473052013
man,0,5,0.015102454938652954
man,1,0,0.009703509694883344
man,1,1,0.01130860152411215
man,1,2,0.018910762439134594
man,1,3,0.02322876878529677
man,1,4,0.045668028674670756
man,1,5,0.02371158384088029
man,2,0,0.009294940865625092
man,2,1,0.014606335645982274
man,2,2,0.022185094707576854
man,2,3,0.0319074230555281
man,2,4,0.06270953365676436
man,2,5,0.03258336413334503
man,3,0,0.03805286945379173
man,3,1,0.02453012070771615
man,3,2,0.052784473844593775
man,3,3,0.04038420919104322
man,3,4,0.07950520414861008
man,3,5,0.04115671327997687
man,4,0,0.03452406607232173
man,4,1,0.013278486950892975
man,4,2,0.03820696717002225
man,4,3,0.013669030684742768
man,4,4,0.027022257811116425
man,4,5,0.013862156706976178
man,5,0,0.03375799951746255
man,5,1,0.011352376755818398
man,5,2,0.03559945006631281
man,5,3,0.009191081982557341
man,5,4,0.018224262185930127
man,5,5,0.009287644993674047
giraffe,0,0,0.000053650452326840476
giraffe,0,1,0.00006227284645079699
giraffe,0,2,0.00011261533625209442
giraffe,0,3,0.00039110728902129493
giraffe,0,4,0.0006788553696544789
giraffe,0,5,0.0004937610310299875
giraffe,1,0,0.000050702625275915155
giraffe,1,1,0.00005932501939987167
giraffe,1,2,0.00010671968215024377
giraffe,1,3,0.0003793159808175936
giraffe,1,4,0.0006582205802980017
giraffe,1,5,0.00047902189577536094
giraffe,2,0,0.000049818277160637556
giraffe,2,1,0.00005844067128459406
giraffe,2,2,0.00010495098591968858
giraffe,2,3,0.0003757785883564832
giraffe,2,4,0.0006520301434910585
giraffe,2,5,0.0004746001551989729
giraffe,3,0,0.00016429794830717033
giraffe,3,1,0.00019016513067903967
giraffe,3,2,0.0003445391914095809
giraffe,3,3,0.0011867082323704782
giraffe,3,4,0.0020599922482499714
giraffe,3,5,0.001498016049723204
giraffe,4,0,0.00014562265631570953
giraffe,4,1,0.0001628674445636225
giraffe,4,2,0.00030187417582824594
giraffe,4,3,0.0009355015846907036
giraffe,4,4,0.001625963000943157
giraffe,4,5,0.001179130820370119
giraffe,5,0,0.001739070568693378
giraffe,5,1,0.0018942736629245947
giraffe,5,2,0.0035738009061581986
giraffe,5,3,0.01013338090962429
giraffe,5,4,0.017632933641452332
giraffe,5,5,0.012754510692591002
