category,fierce,strong,prob
man,0,0,0.04868154158215013
man,0,1,0.08113590263691686
man,0,2,0.05273833671399596
man,1,0,0.0912778904665315
man,1,1,0.14604462474645027
man,1,2,0.0912778904665314
man,2,0,0.1369168356997972
man,2,1,0.2068965517241379
man,2,2,0.1217038539553752
lion,0,0,0.00017671645460692192
lion,0,1,0.0004481939066117578
lion,0,2,0.0005736882004630493
lion,1,0,0.000576249308500832
lion,1,1,0.001452148257422092
lion,1,2,0.001843997787202654
lion,2,0,0.0027659966808039915
lion,2,1,0.006884258405556585
lion,2,2,0.008605323006945718
