category,fierce,strong,prob
horse,0,0,0.000008849670639296708
horse,0,1,0.000037586241591619894
horse,0,2,0.000021925307595111482
horse,0,3,0.00006888167762852398
horse,0,4,0.00003419836607400765
horse,0,5,0.000024516594666019762
horse,1,0,0.00001682524263692782
horse,1,1,0.00007429838454157409
horse,1,2,0.00004166536858605898
horse,1,3,0.00013601515797371665
horse,1,4,0.00006621148554385128
horse,1,5,0.00004772204136954109
horse,2,0,0.000011525362681412982
horse,2,1,0.00003307779089565532
horse,2,2,0.00002866425495118473
horse,2,3,0.00006143747762527378
horse,2,4,0.00003786904881035683
horse,2,5,0.000025719610552425477
horse,3,0,0.000009297125896339841
horse,3,1,0.000023665411372501433
horse,3,2,0.00002314338023928442
horse,3,3,0.00004418541996764495
horse,3,4,0.000029279909478732504
horse,3,5,0.0000195667331980471
horse,4,0,0.000005683924695716816
horse,4,1,0.000012868067433797596
horse,4,2,0.000014160094488509463
horse,4,3,0.00002416343347891624
horse,4,4,0.000017228359108233498
horse,4,5,0.0000113364092203439
horse,5,0,0.00001295963003732212
horse,5,1,0.000020143772775402903
horse,5,2,0.000032349357842522756
horse,5,3,0.00003871484416212682
horse,5,4,0.00003541762246224679
horse,5,5,0.000022249967232751896
bear,0,0,0.0000011062088299120864
bear,0,1,0.000004698280198952477
bear,0,2,0.0000032887961392667225
bear,0,3,0.000012915314555348258
bear,0,4,0.00001709918303700379
bear,0,5,0.000006129148666504928
bear,1,0,0.0000010515776648079884
bear,1,1,0.000004643649033848379
bear,1,2,0.0000031249026439544303
bear,1,3,0.000012751421060035966
bear,1,4,0.000016552871385962817
bear,1,5,0.000005965255171192636
bear,2,0,0.000003841787560471003
bear,2,1,0.000011025930298551796
bear,2,2,0.00001146570198047394
bear,2,3,0.00003071873881263705
bear,2,4,0.00005049206508047589
bear,2,5,0.000017146407034950363
bear,3,0,0.000004648562948169915
bear,3,1,0.00001183270568625071
bear,3,2,0.00001388602814357068
bear,3,3,0.00003313906497573379
bear,3,4,0.00005855981895746507
bear,3,5,0.0000195667331980471
bear,4,0,0.000014209811739292028
bear,4,1,0.000032170168584493965
bear,4,2,0.00004248028346552843
bear,4,3,0.00009061287554593608
bear,4,4,0.00017228359108233487
bear,4,5,0.00005668204610171945
bear,5,0,0.00005183852014928847
bear,5,1,0.00008057509110161156
bear,5,2,0.00015527691764410928
bear,5,3,0.00023228906497276146
bear,5,4,0.0005666819593959488
bear,5,5,0.0001779997378620149
tiger,0,0,0.0000011062088299120853
tiger,0,1,0.00000939656039790494
tiger,0,2,0.000003288796139266718
tiger,0,3,0.00002583062911069647
tiger,0,4,0.000010259509822202278
tiger,0,5,0.0000061291486665049185
tiger,1,0,0.0000010515776648079884
tiger,1,1,0.000009287298067696745
tiger,1,2,0.0000031249026439544235
tiger,1,3,0.000025502842120071885
tiger,1,4,0.00000993172283157769
tiger,1,5,0.000005965255171192624
tiger,2,0,0.000003841787560470996
tiger,2,1,0.00002205186059710356
tiger,2,2,0.00001146570198047392
tiger,2,3,0.000061437477625274
tiger,2,4,0.000030295239048285544
tiger,2,5,0.000017146407034950333
tiger,3,0,0.000002324281474084953
tiger,3,1,0.000011832705686250667
tiger,3,2,0.0000069430140717853225
tiger,3,3,0.00003313906497573367
tiger,3,4,0.000017567945687239475
tiger,3,5,0.000009783366599023524
tiger,4,0,0.000008525887043575204
tiger,4,1,0.000038604202301392704
tiger,4,2,0.000025488170079317018
tiger,4,3,0.00010873545065512314
tiger,4,4,0.00006202209278964056
tiger,4,5,0.00003400922766103162
tiger,5,0,0.00007127796520527165
tiger,5,1,0.00022158150052943216
tiger,5,2,0.00021350576176065023
tiger,5,3,0.0006387949286750952
tiger,5,4,0.0004675126165016586
tiger,5,5,0.00024474963956027046
gorilla,0,0,0.0000033186264897362513
gorilla,0,1,0.000014094840596857398
gorilla,0,2,0.000009866388417800143
gorilla,0,3,0.00007749188733208924
gorilla,0,4,0.000015389264733303406
gorilla,0,5,0.000042904040665534275
gorilla,1,0,0.0000010515776648079884
gorilla,1,1,0.000004643649033848379
gorilla,1,2,0.0000031249026439544303
gorilla,1,3,0.000025502842120071885
gorilla,1,4,0.000004965861415788855
gorilla,1,5,0.000013918928732782776
gorilla,2,0,0.000003841787560471003
gorilla,2,1,0.000011025930298551796
gorilla,2,2,0.00001146570198047394
gorilla,2,3,0.000061437477625274
gorilla,2,4,0.000015147619524142796
gorilla,2,5,0.000040008283081550734
gorilla,3,0,0.000011621407370424756
gorilla,3,1,0.000029581764215626697
gorilla,3,2,0.00003471507035892661
gorilla,3,3,0.00016569532487866823
gorilla,3,4,0.000043919864218098727
gorilla,3,5,0.00011413927698860746
gorilla,4,0,0.000011367849391433634
gorilla,4,1,0.0000257361348675952
gorilla,4,2,0.00003398422677242278
gorilla,4,3,0.00014498060087349813
gorilla,4,4,0.000041348061859760476
gorilla,4,5,0.00010580648605654298
gorilla,5,0,0.00002591926007464428
gorilla,5,1,0.00004028754555080585
gorilla,5,2,0.00007763845882205478
gorilla,5,3,0.0002322890649727623
gorilla,5,4,0.00008500229390939248
gorilla,5,5,0.00020766636083901724
lion,0,0,0.000018855267359288054
lion,0,1,0.00006734201618498542
lion,0,2,0.000037690647818263016
lion,0,3,0.00013232498028695249
lion,0,4,0.00007783590733230513
lion,0,5,0.00009896054042438797
lion,1,0,0.00001880063619418396
lion,1,1,0.00006717812268967313
lion,1,2,0.00003758138548805482
lion,1,3,0.00013199719329632788
lion,1,4,0.00007761738267188874
lion,1,5,0.00009868738459886748
lion,2,0,0.000039339904619223006
lion,2,1,0.00013957214207191158
lion,2,2,0.00007864003543781983
lion,2,3,0.0002744261799777864
lion,2,4,0.00016218929426719785
lion,2,5,0.00020606793035201043
lion,3,0,0.000040146680006921924
lion,3,1,0.00014199246823500832
lion,3,2,0.00008025358621321765
lion,3,3,0.0002792668323039799
lion,3,4,0.00016541639581799347
lion,3,5,0.00021010180729050503
lion,4,0,0.0000617730626317031
lion,4,1,0.00021764783021647303
lion,4,2,0.00012348646456246713
lion,4,3,0.000428218504183891
lion,4,4,0.000254336764212271
lion,4,5,0.0003229179240423585
lion,5,0,0.0002422887354803701
lion,5,1,0.0008346283475123231
lion,5,2,0.0004843786019576102
lion,5,3,0.0016456661741944632
lion,5,4,0.0009933033208730112
lion,5,5,0.00125828571368133
elephant,0,0,0.000013274505958945053
elephant,0,1,0.0000281896811937149
elephant,0,2,0.00001315518455706689
elephant,0,3,0.00007749188733208965
elephant,0,4,0.000010259509822202297
elephant,0,5,0.00014709956799611822
elephant,1,0,0.000006309465988847926
elephant,1,1,0.000013930947101545128
elephant,1,2,0.000006249805287908844
elephant,1,3,0.00003825426318010787
elephant,1,4,0.000004965861415788845
elephant,1,5,0.00007158306205431146
elephant,2,0,0.000019208937802354964
elephant,2,1,0.00002756482574637942
elephant,2,2,0.000019109503300789828
elephant,2,3,0.00007679684703159242
elephant,2,4,0.000012623016270118949
elephant,2,5,0.0001714640703495029
elephant,3,0,0.000004648562948169912
elephant,3,1,0.000005916352843125344
elephant,3,2,0.000004628676047856884
elephant,3,3,0.000016569532487866863
elephant,3,4,0.000002927990947873247
elephant,3,5,0.0000391334663960941
elephant,4,0,0.000011367849391433653
elephant,4,1,0.000012868067433797622
elephant,4,2,0.0000113280755908076
elephant,4,3,0.000036245150218374526
elephant,4,4,0.000006891343643293418
elephant,4,5,0.00009069127376275123
elephant,5,0,0.000025919260074644285
elephant,5,1,0.000020143772775402957
elephant,5,2,0.00002587948627401823
elephant,5,3,0.00005807226624319056
elephant,5,4,0.000014167048984898753
elephant,5,5,0.00017799973786201498
man,0,0,0.003942528269798803
man,0,1,0.02232622750537752
man,0,2,0.0065118163557350865
man,0,3,0.02045785825563069
man,0,4,0.0060941488343759865
man,0,5,0.00485428574386219
man,1,0,0.005621734196052267
man,1,1,0.03309993031320495
man,1,2,0.009280960852526068
man,1,3,0.030297376438584708
man,1,4,0.008849165042918035
man,1,5,0.007086723143362652
man,2,0,0.013692130865491288
man,2,1,0.052395220778613256
man,2,2,0.02270208992129296
man,2,3,0.04865848227911959
man,2,4,0.017995371994645657
man,2,5,0.013579954371653515
man,3,0,0.012425608760433316
man,3,1,0.04217176306571298
man,3,2,0.02062075179316114
man,3,3,0.03936920919109274
man,3,4,0.015653039607299083
man,3,5,0.011622639519616682
man,4,0,0.02025750761549428
man,4,1,0.06114905644528389
man,4,2,0.03364438450463126
man,4,3,0.05741231794579022
man,4,4,0.02456074874464865
man,4,5,0.017956872204988837
man,5,0,0.03464109108969276
