category,funny,smart,prob
man,0,0,0.005373675966563801
man,0,1,0.005373675966563801
man,0,2,0.012282687923574386
man,0,3,0.018884632682495635
man,0,4,0.01305035591879778
man,0,5,0.06333260960593041
man,1,0,0.0023030039856702005
man,1,1,0.0023030039856702005
man,1,2,0.005373675966563795
man,1,3,0.008290814348412716
man,1,4,0.005757509964175493
man,1,5,0.025908794838789714
man,2,0,0.0074025128110827825
man,2,1,0.0074025128110827825
man,2,2,0.01710802960783576
man,2,3,0.02635294560745469
man,2,4,0.018259531600670856
man,2,5,0.08512889732745194
man,3,0,0.00855401480391789
man,3,1,0.00855401480391789
man,3,2,0.020178701588729357
man,3,3,0.031189253977362132
man,3,4,0.02171403757917615
man,3,5,0.09376516227371517
man,4,0,0.007676679952234002
man,4,1,0.007676679952234002
man,4,2,0.018424031885361583
man,4,3,0.02855724942231047
man,4,4,0.019959367875808376
man,4,5,0.08060513949845688
man,5,0,0.013818023914021194
man,5,1,0.013818023914021194
man,5,2,0.03224205579938278
man,5,3,0.049744886090476274
man,5,4,0.03454505978505297
man,5,5,0.15545276903273833
monkey,0,0,0.00020160977652331733
monkey,0,1,0.00020160977652331733
monkey,0,2,0.0008684728834850612
monkey,0,3,0.0015415393681859806
monkey,0,4,0.001349234658271431
monkey,0,5,0.000891735550006978
monkey,1,0,0.00004652533304384244
monkey,1,1,0.00004652533304384244
monkey,1,2,0.00020160977652331768
monkey,1,3,0.0003582450644375869
monkey,1,4,0.0003140459980459364
monkey,1,5,0.0002035483320668101
monkey,2,0,0.00019274780832449014
monkey,2,1,0.00019274780832449014
monkey,2,2,0.0008330250106897523
monkey,2,3,0.0014795055907941904
monkey,2,4,0.001296062849078468
monkey,2,5,0.0008474257090128422
monkey,3,0,0.00013459114201968696
monkey,3,1,0.00013459114201968696
monkey,3,2,0.0005848899011225915
monkey,3,3,0.0010398411935298802
monkey,3,4,0.0009122288514667666
monkey,3,5,0.0005857207106412296
monkey,4,0,0.00008529644391371115
monkey,4,1,0.00008529644391371115
monkey,4,2,0.00037220266435073976
monkey,4,3,0.0006622105736573578
monkey,4,4,0.0005815666630480303
monkey,4,5,0.0003683255532637517
monkey,5,0,0.000279151998263055
monkey,5,1,0.000279151998263055
monkey,5,2,0.0012096586591399054
monkey,5,3,0.0021494703866255247
monkey,5,4,0.0018842759882756175
monkey,5,5,0.00122128999240086
