category,cute,big,prob
man,0,0,0.012935508959756224
man,0,1,0.012935508959756264
man,0,2,0.04024380565257509
man,0,3,0.01772643820411039
man,0,4,0.007905033253184382
man,0,5,0.006467754479878134
man,1,0,0.01609752226102994
man,1,1,0.015522610751707487
man,1,2,0.04905911546218672
man,1,3,0.022485427920168836
man,1,4,0.009965132828256658
man,1,5,0.008048761130515
man,2,0,0.028745575466124895
man,2,1,0.0323387723993906
man,2,2,0.09581858488708342
man,2,3,0.0367304575400485
man,2,4,0.016768252355239554
man,2,5,0.014372787733062482
man,3,0,0.02135385606054994
man,3,1,0.023407111450987506
man,3,2,0.07008445066026682
man,3,3,0.027741761719688833
man,3,4,0.012593299728016665
man,3,5,0.010676928030275007
man,4,0,0.026132341332840838
man,4,1,0.03057483935942387
man,4,2,0.08919839174943048
man,4,3,0.03252024699197973
man,4,4,0.014982542364162126
man,4,5,0.013066170666420466
man,5,0,0.02012190282628746
man,5,1,0.02371509975955315
man,5,2,0.06898938111870018
man,5,3,0.024912832070641627
man,5,4,0.011498230186450012
man,5,5,0.010060951413143764
panda,0,0,0.00010162577184993659
panda,0,1,0.00004355390222140155
panda,0,2,0.00018389425382369547
panda,0,3,0.0004121489636136335
panda,0,4,0.00011130441678802575
panda,0,5,0.00005081288592496848
panda,1,0,0.00009872217836850986
panda,1,1,0.000042102105480688174
panda,1,2,0.00017808706686084195
panda,1,3,0.00040198638642863986
panda,1,4,0.00010840082330659901
panda,1,5,0.0000493610891842551
panda,2,0,0.0005807186962853517
panda,2,1,0.00025406442962484224
panda,2,2,0.0010646509431898174
panda,2,3,0.0023148092476930086
panda,2,4,0.0006291119209757975
panda,2,5,0.00029035934814267687
panda,3,0,0.0003359872457079548
panda,3,1,0.00014621667174327714
panda,3,2,0.0006139026217873765
panda,3,3,0.001345331646394409
panda,3,4,0.0003650231805222224
panda,3,5,0.000167993622853978
panda,4,0,0.0008684384139903692
panda,4,1,0.00038340632107021754
panda,4,2,0.0016013757988474952
panda,4,3,0.003434745783938279
panda,4,4,0.0009361889285569935
panda,4,5,0.0004342192069951861
panda,5,0,0.0007549343051709572
panda,5,1,0.00033391325036407835
panda,5,2,0.0013937248710848493
panda,5,3,0.0029810226409314813
panda,5,4,0.0008130061747994921
panda,5,5,0.0003774671525854799
