category,cute,big,prob
elephant,0,0,0.0000022500503793068897
elephant,0,1,0.0000018617168113046955
elephant,0,2,0.000010670757222302108
elephant,0,3,0.0000577817506036224
elephant,0,4,0.0000420816528808036
elephant,0,5,0.000007719614468862663
elephant,1,0,0.000002130980454412098
elephant,1,1,0.0000018203136000103422
elephant,1,2,0.00000886754592880828
elephant,1,3,0.000046556340633864546
elephant,1,4,0.000035650963210442415
elephant,1,5,0.000008492272631856245
elephant,2,0,0.000021423187257897768
elephant,2,1,0.000020957186976295133
elephant,2,2,0.000031528035469491995
elephant,2,3,0.00008806122752707616
elephant,2,4,0.00016283674427334114
elephant,2,5,0.000140325424981742
elephant,3,0,0.000004078552014206955
elephant,3,1,0.000003923218587006076
elephant,3,2,0.000007446834751405039
elephant,3,3,0.00002629123210393314
elephant,3,4,0.00003590385232722661
elephant,3,5,0.000025337568824934463
elephant,4,0,0.0000131475805946183
elephant,4,1,0.000012836913740216544
elephant,4,2,0.000019884146069014483
elephant,4,3,0.00005757294077407075
elephant,4,4,0.0001017505640516796
elephant,4,5,0.00008560847361329964
elephant,5,0,0.0000039875725851173765
elephant,5,1,0.000003832239157916499
elephant,5,2,0.000007355855322315462
elephant,5,3,0.00002620025267484356
elephant,5,4,0.000035357975752689145
elephant,5,5,0.00002470071282130738
dog,0,0,0.0000013500302275841303
dog,0,1,0.000002234060173565627
dog,0,2,0.00000853660577784168
dog,0,3,0.000023112700241448856
dog,0,4,0.00000140272176269345
dog,0,5,2.205604133960758e-7
dog,1,0,0.0000031964706816181376
dog,1,1,0.0000054609408000310136
dog,1,2,0.00001773509185761653
dog,1,3,0.0000465563406338643
dog,1,4,0.000002970913600870197
dog,1,5,6.065909022754443e-7
dog,2,0,0.000021423187257897805
dog,2,1,0.00004191437395259035
dog,2,2,0.00004203738062598944
dog,2,3,0.00005870748501805071
dog,2,4,0.000009046485792963424
dog,2,5,0.00000668216309436867
dog,3,0,0.000018353484063931332
dog,3,1,0.000035308967283054775
