category,funny,cute,prob
man,0,0,0.014601937167151482
man,0,1,0.017182385322616324
man,0,2,0.027014871408010396
man,0,3,0.020795725899591576
man,0,4,0.03142688131241193
man,0,5,0.02327252354140556
man,1,0,0.008158542671170351
man,1,1,0.009734624778100973
man,1,2,0.014936725849996212
man,1,3,0.0115412950665886
man,1,4,0.01685687277299878
man,1,5,0.012493835858297388
man,2,0,0.010012756914618148
man,2,1,0.009920046202445762
man,2,2,0.020705392385167203
man,2,3,0.015340057067908636
man,2,4,0.03128679018713919
man,2,5,0.023018636475999263
man,3,0,0.02127710844356358
man,3,1,0.023795749457580187
man,3,2,0.0408184663314552
man,3,3,0.03102243061153069
man,3,4,0.05228474143717144
man,3,5,0.038618281192071724
man,4,0,0.02920387433430297
man,4,1,0.03436477064523269
man,4,2,0.05402974281602079
man,4,3,0.04159145179918319
man,4,4,0.06285376262482395
man,4,5,0.04654504708281112
man,5,0,0.014880069303668609
man,5,1,0.012979499704134631
man,5,2,0.03283504389438831
man,5,3,0.023819521435060383
man,5,4,0.05571298767352148
man,5,5,0.04089182842643084
penguin,0,0,0.0002949886296394238
penguin,0,1,0.00027766390059710865
penguin,0,2,0.0006224416164031874
penguin,0,3,0.00045755653927038314
penguin,0,4,0.001349518621516282
penguin,0,5,0.0009564257754686103
penguin,1,0,0.0002082089057878258
penguin,1,1,0.0001966590864262824
penguin,1,2,0.0004380607163252122
penguin,1,3,0.000322362421889237
penguin,1,4,0.0009401034487762559
penguin,1,5,0.0006664917320495995
penguin,2,0,0.00014328019153914847
penguin,2,1,0.00013173037217760505
penguin,2,2,0.0003082032878278573
penguin,2,3,0.00022496935051622078
penguin,2,4,0.0007128529489058849
penguin,2,5,0.000504169946427906
penguin,3,0,0.00033993927796543077
penguin,3,1,0.0003168396392423439
penguin,3,2,0.0007231643654299824
penguin,3,3,0.0005300070433631434
penguin,3,4,0.0016125320299167384
penguin,3,5,0.0011417871300736446
penguin,4,0,0.0005899772592788477
penguin,4,1,0.0005553278011942174
penguin,4,2,0.0012448832328063749
penguin,4,3,0.0009151130785407663
penguin,4,4,0.002699037243032564
penguin,4,5,0.0019128515509372211
penguin,5,0,0.00019759555826640756
penguin,5,1,0.00018027082922409242
penguin,5,2,0.0004276554736571548
penguin,5,3,0.00031146693221085835
penguin,5,4,0.0010086428717107246
penguin,5,5,0.00071294309703607
