category,cute,lazy,agile,fast,sleek,playful,loyal,friendly,prob
jaguar,0,0,0,0,0,0,0,0,5.1696339552933116e-8
jaguar,0,0,0,0,0,0,0,1,5.1696339552933116e-8
jaguar,0,0,0,0,0,0,0,2,5.1696339552933116e-8
jaguar,0,0,0,0,0,0,1,0,5.1696339552933116e-8
jaguar,0,0,0,0,0,0,1,1,5.1696339552933116e-8
jaguar,0,0,0,0,0,0,1,2,5.1696339552933116e-8
jaguar,0,0,0,0,0,0,2,0,5.1696339552933116e-8
jaguar,0,0,0,0,0,0,2,1,5.1696339552933116e-8
jaguar,0,0,0,0,0,0,2,2,5.1696339552933116e-8
jaguar,0,0,0,0,0,1,0,0,5.1696339552933116e-8
jaguar,0,0,0,0,0,1,0,1,5.1696339552933116e-8
jaguar,0,0,0,0,0,1,0,2,5.1696339552933116e-8
jaguar,0,0,0,0,0,1,1,0,5.1696339552933116e-8
jaguar,0,0,0,0,0,1,1,1,5.1696339552933116e-8
jaguar,0,0,0,0,0,1,1,2,5.1696339552933116e-8
jaguar,0,0,0,0,0,1,2,0,5.1696339552933116e-8
jaguar,0,0,0,0,0,1,2,1,5.1696339552933116e-8
jaguar,0,0,0,0,0,1,2,2,5.1696339552933116e-8
jaguar,0,0,0,0,0,2,0,0,5.1696339552933116e-8
jaguar,0,0,0,0,0,2,0,1,5.1696339552933116e-8
jaguar,0,0,0,0,0,2,0,2,5.1696339552933116e-8
jaguar,0,0,0,0,0,2,1,0,5.1696339552933116e-8
jaguar,0,0,0,0,0,2,1,1,5.1696339552933116e-8
jaguar,0,0,0,0,0,2,1,2,5.1696339552933116e-8
jaguar,0,0,0,0,0,2,2,0,5.1696339552933116e-8
jaguar,0,0,0,0,0,2,2,1,5.1696339552933116e-8
jaguar,0,0,0,0,0,2,2,2,5.1696339552933116e-8
jaguar,0,0,0,0,1,0,0,0,5.1696339552933116e-8
jaguar,0,0,0,0,1,0,0,1,5.1696339552933116e-8
jaguar,0,0,0,0,1,0,0,2,5.1696339552933116e-8
jaguar,0,0,0,0,1,0,1,0,5.1696339552933116e-8
jaguar,0,0,0,0,1,0,1,1,5.1696339552933116e-8
jaguar,0,0,0,0,1,0,1,2,5.1696339552933116e-8
jaguar,0,0,0,0,1,0,2,0,5.1696339552933116e-8
jaguar,0,0,0,0,1,0,2,1,5.1696339552933116e-8
jaguar,0,0,0,0,1,0,2,2,5.1696339552933116e-8
jaguar,0,0,0,0,1,1,0,0,5.1696339552933116e-8
jaguar,0,0,0,0,1,1,0,1,5.1696339552933116e-8
jaguar,0,0,0,0,1,1,0,2,5.1696339552933116e-8
jaguar,0,0,0,0,1,1,1,0,5.1696339552933116e-8
jaguar,0,0,0,0,1,1,1,1,5.1696339552933116e-8
jaguar,0,0,0,0,1,1,1,2,5.1696339552933116e-8
jaguar,0,0,0,0,1,1,2,0,5.1696339552933116e-8
jaguar,0,0,0,0,1,1,2,1,5.1696339552933116e-8
jaguar,0,0,0,0,1,1,2,2,5.1696339552933116e-8
jaguar,0,0,0,0,1,2,0,0,5.1696339552933116e-8
jaguar,0,0,0,0,1,2,0,1,5.1696339552933116e-8
jaguar,0,0,0,0,1,2,0,2,5.1696339552933116e-8
jaguar,0,0,0,0,1,2,1,0,5.1696339552933116e-8
jaguar,0,0,0,0,1,2,1,1,5.1696339552933116e-8
jaguar,0,0,0,0,1,2,1,2,5.1696339552933116e-8
jaguar,0,0,0,0,1,2,2,0,5.1696339552933116e-8
jaguar,0,0,0,0,1,2,2,1,5.1696339552933116e-8
jaguar,0,0,0,0,1,2,2,2,5.1696339552933116e-8
jaguar,0,0,0,0,2,0,0,0,5.1696339552933116e-8
jaguar,0,0,0,0,2,0,0,1,5.1696339552933116e-8
jaguar,0,0,0,0,2,0,0,2,5.1696339552933116e-8
jaguar,0,0,0,0,2,0,1,0,5.1696339552933116e-8
jaguar,0,0,0,0,2,0,1,1,5.1696339552933116e-8
jaguar,0,0,0,0,2,0,1,2,5.1696339552933116e-8
jaguar,0,0,0,0,2,0,2,0,5.1696339552933116e-8
jaguar,0,0,0,0,2,0,2,1,5.1696339552933116e-8
jaguar,0,0,0,0,2,0,2,2,5.1696339552933116e-8
jaguar,0,0,0,0,2,1,0,0,5.1696339552933116e-8
jaguar,0,0,0,0,2,1,0,1,5.1696339552933116e-8
jaguar,0,0,0,0,2,1,0,2,5.1696339552933116e-8
jaguar,0,0,0,0,2,1,1,0,5.1696339552933116e-8
jaguar,0,0,0,0,2,1,1,1,5.1696339552933116e-8
jaguar,0,0,0,0,2,1,1,2,5.1696339552933116e-8
jaguar,0,0,0,0,2,1,2,0,5.1696339552933116e-8
jaguar,0,0,0,0,2,1,2,1,5.1696339552933116e-8
jaguar,0,0,0,0,2,1,2,2,5.1696339552933116e-8
jaguar,0,0,0,0,2,2,0,0,5.1696339552933116e-8
jaguar,0,0,0,0,2,2,0,1,5.1696339552933116e-8
jaguar,0,0,0,0,2,2,0,2,5.1696339552933116e-8
jaguar,0,0,0,0,2,2,1,0,5.1696339552933116e-8
jaguar,0,0,0,0,2,2,1,1,5.1696339552933116e-8
jaguar,0,0,0,0,2,2,1,2,5.1696339552933116e-8
jaguar,0,0,0,0,2,2,2,0,5.1696339552933116e-8
jaguar,0,0,0,0,2,2,2,1,5.1696339552933116e-8
jaguar,0,0,0,0,2,2,2,2,5.1696339552933116e-8
jaguar,0,0,0,1,0,0,0,0,3.797478254990801e-7
jaguar,0,0,0,1,0,0,0,1,3.797478254990801e-7
jaguar,0,0,0,1,0,0,0,2,3.797478254990801e-7
jaguar,0,0,0,1,0,0,1,0,3.797478254990801e-7
jaguar,0,0,0,1,0,0,1,1,3.797478254990801e-7
jaguar,0,0,0,1,0,0,1,2,3.797478254990801e-7
jaguar,0,0,0,1,0,0,2,0,3.797478254990801e-7
jaguar,0,0,0,1,0,0,2,1,3.797478254990801e-7
jaguar,0,0,0,1,0,0,2,2,3.797478254990801e-7
jaguar,0,0,0,1,0,1,0,0,3.797478254990801e-7
jaguar,0,0,0,1,0,1,0,1,3.797478254990801e-7
jaguar,0,0,0,1,0,1,0,2,3.797478254990801e-7
jaguar,0,0,0,1,0,1,1,0,3.797478254990801e-7
jaguar,0,0,0,1,0,1,1,1,3.797478254990801e-7
jaguar,0,0,0,1,0,1,1,2,3.797478254990801e-7
jaguar,0,0,0,1,0,1,2,0,3.797478254990801e-7
jaguar,0,0,0,1,0,1,2,1,3.797478254990801e-7
jaguar,0,0,0,1,0,1,2,2,3.797478254990801e-7
jaguar,0,0,0,1,0,2,0,0,3.797478254990801e-7
jaguar,0,0,0,1,0,2,0,1,3.797478254990801e-7
jaguar,0,0,0,1,0,2,0,2,3.797478254990801e-7
jaguar,0,0,0,1,0,2,1,0,3.797478254990801e-7
jaguar,0,0,0,1,0,2,1,1,3.797478254990801e-7
jaguar,0,0,0,1,0,2,1,2,3.797478254990801e-7
jaguar,0,0,0,1,0,2,2,0,3.797478254990801e-7
jaguar,0,0,0,1,0,2,2,1,3.797478254990801e-7
jaguar,0,0,0,1,0,2,2,2,3.797478254990801e-7
jaguar,0,0,0,1,1,0,0,0,3.797478254990801e-7
jaguar,0,0,0,1,1,0,0,1,3.797478254990801e-7
jaguar,0,0,0,1,1,0,0,2,3.797478254990801e-7
jaguar,0,0,0,1,1,0,1,0,3.797478254990801e-7
jaguar,0,0,0,1,1,0,1,1,3.797478254990801e-7
jaguar,0,0,0,1,1,0,1,2,3.797478254990801e-7
jaguar,0,0,0,1,1,0,2,0,3.797478254990801e-7
jaguar,0,0,0,1,1,0,2,1,3.797478254990801e-7
jaguar,0,0,0,1,1,0,2,2,3.797478254990801e-7
jaguar,0,0,0,1,1,1,0,0,3.797478254990801e-7
jaguar,0,0,0,1,1,1,0,1,3.797478254990801e-7
jaguar,0,0,0,1,1,1,0,2,3.797478254990801e-7
jaguar,0,0,0,1,1,1,1,0,3.797478254990801e-7
jaguar,0,0,0,1,1,1,1,1,3.797478254990801e-7
jaguar,0,0,0,1,1,1,1,2,3.797478254990801e-7
jaguar,0,0,0,1,1,1,2,0,3.797478254990801e-7
jaguar,0,0,0,1,1,1,2,1,3.797478254990801e-7
jaguar,0,0,0,1,1,1,2,2,3.797478254990801e-7
jaguar,0,0,0,1,1,2,0,0,3.797478254990801e-7
jaguar,0,0,0,1,1,2,0,1,3.797478254990801e-7
jaguar,0,0,0,1,1,2,0,2,3.797478254990801e-7
jaguar,0,0,0,1,1,2,1,0,3.797478254990801e-7
jaguar,0,0,0,1,1,2,1,1,3.797478254990801e-7
jaguar,0,0,0,1,1,2,1,2,3.797478254990801e-7
jaguar,0,0,0,1,1,2,2,0,3.797478254990801e-7
jaguar,0,0,0,1,1,2,2,1,3.797478254990801e-7
jaguar,0,0,0,1,1,2,2,2,3.797478254990801e-7
jaguar,0,0,0,1,2,0,0,0,3.797478254990801e-7
jaguar,0,0,0,1,2,0,0,1,3.797478254990801e-7
jaguar,0,0,0,1,2,0,0,2,3.797478254990801e-7
jaguar,0,0,0,1,2,0,1,0,3.797478254990801e-7
jaguar,0,0,0,1,2,0,1,1,3.797478254990801e-7
jaguar,0,0,0,1,2,0,1,2,3.797478254990801e-7
jaguar,0,0,0,1,2,0,2,0,3.797478254990801e-7
jaguar,0,0,0,1,2,0,2,1,3.797478254990801e-7
jaguar,0,0,0,1,2,0,2,2,3.797478254990801e-7
jaguar,0,0,0,1,2,1,0,0,3.797478254990801e-7
jaguar,0,0,0,1,2,1,0,1,3.797478254990801e-7
jaguar,0,0,0,1,2,1,0,2,3.797478254990801e-7
jaguar,0,0,0,1,2,1,1,0,3.797478254990801e-7
jaguar,0,0,0,1,2,1,1,1,3.797478254990801e-7
jaguar,0,0,0,1,2,1,1,2,3.797478254990801e-7
jaguar,0,0,0,1,2,1,2,0,3.797478254990801e-7
jaguar,0,0,0,1,2,1,2,1,3.797478254990801e-7
jaguar,0,0,0,1,2,1,2,2,3.797478254990801e-7
jaguar,0,0,0,1,2,2,0,0,3.797478254990801e-7
jaguar,0,0,0,1,2,2,0,1,3.797478254990801e-7
jaguar,0,0,0,1,2,2,0,2,3.797478254990801e-7
jaguar,0,0,0,1,2,2,1,0,3.797478254990801e-7
jaguar,0,0,0,1,2,2,1,1,3.797478254990801e-7
jaguar,0,0,0,1,2,2,1,2,3.797478254990801e-7
jaguar,0,0,0,1,2,2,2,0,3.797478254990801e-7
jaguar,0,0,0,1,2,2,2,1,3.797478254990801e-7
jaguar,0,0,0,1,2,2,2,2,3.797478254990801e-7
jaguar,0,0,0,2,0,0,0,0,4.6019008558163104e-7
jaguar,0,0,0,2,0,0,0,1,4.6019008558163104e-7
jaguar,0,0,0,2,0,0,0,2,4.6019008558163104e-7
jaguar,0,0,0,2,0,0,1,0,4.6019008558163104e-7
jaguar,0,0,0,2,0,0,1,1,4.6019008558163104e-7
jaguar,0,0,0,2,0,0,1,2,4.6019008558163104e-7
jaguar,0,0,0,2,0,0,2,0,4.6019008558163104e-7
jaguar,0,0,0,2,0,0,2,1,4.6019008558163104e-7
jaguar,0,0,0,2,0,0,2,2,4.6019008558163104e-7
jaguar,0,0,0,2,0,1,0,0,4.6019008558163104e-7
jaguar,0,0,0,2,0,1,0,1,4.6019008558163104e-7
jaguar,0,0,0,2,0,1,0,2,4.6019008558163104e-7
jaguar,0,0,0,2,0,1,1,0,4.6019008558163104e-7
jaguar,0,0,0,2,0,1,1,1,4.6019008558163104e-7
jaguar,0,0,0,2,0,1,1,2,4.6019008558163104e-7
jaguar,0,0,0,2,0,1,2,0,4.6019008558163104e-7
jaguar,0,0,0,2,0,1,2,1,4.6019008558163104e-7
jaguar,0,0,0,2,0,1,2,2,4.6019008558163104e-7
jaguar,0,0,0,2,0,2,0,0,4.6019008558163104e-7
jaguar,0,0,0,2,0,2,0,1,4.6019008558163104e-7
jaguar,0,0,0,2,0,2,0,2,4.6019008558163104e-7
jaguar,0,0,0,2,0,2,1,0,4.6019008558163104e-7
jaguar,0,0,0,2,0,2,1,1,4.6019008558163104e-7
jaguar,0,0,0,2,0,2,1,2,4.6019008558163104e-7
jaguar,0,0,0,2,0,2,2,0,4.6019008558163104e-7
jaguar,0,0,0,2,0,2,2,1,4.6019008558163104e-7
jaguar,0,0,0,2,0,2,2,2,4.6019008558163104e-7
jaguar,0,0,0,2,1,0,0,0,4.6019008558163104e-7
jaguar,0,0,0,2,1,0,0,1,4.6019008558163104e-7
jaguar,0,0,0,2,1,0,0,2,4.6019008558163104e-7
jaguar,0,0,0,2,1,0,1,0,4.6019008558163104e-7
jaguar,0,0,0,2,1,0,1,1,4.6019008558163104e-7
jaguar,0,0,0,2,1,0,1,2,4.6019008558163104e-7
jaguar,0,0,0,2,1,0,2,0,4.6019008558163104e-7
jaguar,0,0,0,2,1,0,2,1,4.6019008558163104e-7
jaguar,0,0,0,2,1,0,2,2,4.6019008558163104e-7
jaguar,0,0,0,2,1,1,0,0,4.6019008558163104e-7
jaguar,0,0,0,2,1,1,0,1,4.6019008558163104e-7
jaguar,0,0,0,2,1,1,0,2,4.6019008558163104e-7
jaguar,0,0,0,2,1,1,1,0,4.6019008558163104e-7
jaguar,0,0,0,2,1,1,1,1,4.6019008558163104e-7
jaguar,0,0,0,2,1,1,1,2,4.6019008558163104e-7
jaguar,0,0,0,2,1,1,2,0,4.6019008558163104e-7
jaguar,0,0,0,2,1,1,2,1,4.6019008558163104e-7
jaguar,0,0,0,2,1,1,2,2,4.6019008558163104e-7
jaguar,0,0,0,2,1,2,0,0,4.6019008558163104e-7
jaguar,0,0,0,2,1,2,0,1,4.6019008558163104e-7
jaguar,0,0,0,2,1,2,0,2,4.6019008558163104e-7
jaguar,0,0,0,2,1,2,1,0,4.6019008558163104e-7
jaguar,0,0,0,2,1,2,1,1,4.6019008558163104e-7
jaguar,0,0,0,2,1,2,1,2,4.6019008558163104e-7
jaguar,0,0,0,2,1,2,2,0,4.6019008558163104e-7
jaguar,0,0,0,2,1,2,2,1,4.6019008558163104e-7
jaguar,0,0,0,2,1,2,2,2,4.6019008558163104e-7
jaguar,0,0,0,2,2,0,0,0,4.6019008558163104e-7
jaguar,0,0,0,2,2,0,0,1,4.6019008558163104e-7
jaguar,0,0,0,2,2,0,0,2,4.6019008558163104e-7
jaguar,0,0,0,2,2,0,1,0,4.6019008558163104e-7
jaguar,0,0,0,2,2,0,1,1,4.6019008558163104e-7
jaguar,0,0,0,2,2,0,1,2,4.6019008558163104e-7
jaguar,0,0,0,2,2,0,2,0,4.6019008558163104e-7
jaguar,0,0,0,2,2,0,2,1,4.6019008558163104e-7
jaguar,0,0,0,2,2,0,2,2,4.6019008558163104e-7
jaguar,0,0,0,2,2,1,0,0,4.6019008558163104e-7
jaguar,0,0,0,2,2,1,0,1,4.6019008558163104e-7
jaguar,0,0,0,2,2,1,0,2,4.6019008558163104e-7
jaguar,0,0,0,2,2,1,1,0,4.6019008558163104e-7
jaguar,0,0,0,2,2,1,1,1,4.6019008558163104e-7
jaguar,0,0,0,2,2,1,1,2,4.6019008558163104e-7
jaguar,0,0,0,2,2,1,2,0,4.6019008558163104e-7
jaguar,0,0,0,2,2,1,2,1,4.6019008558163104e-7
jaguar,0,0,0,2,2,1,2,2,4.6019008558163104e-7
jaguar,0,0,0,2,2,2,0,0,4.6019008558163104e-7
jaguar,0,0,0,2,2,2,0,1,4.6019008558163104e-7
jaguar,0,0,0,2,2,2,0,2,4.6019008558163104e-7
jaguar,0,0,0,2,2,2,1,0,4.6019008558163104e-7
jaguar,0,0,0,2,2,2,1,1,4.6019008558163104e-7
jaguar,0,0,0,2,2,2,1,2,4.6019008558163104e-7
jaguar,0,0,0,2,2,2,2,0,4.6019008558163104e-7
jaguar,0,0,0,2,2,2,2,1,4.6019008558163104e-7
jaguar,0,0,0,2,2,2,2,2,4.6019008558163104e-7
jaguar,0,0,1,0,0,0,0,0,5.1696339552933116e-8
jaguar,0,0,1,0,0,0,0,1,5.1696339552933116e-8
jaguar,0,0,1,0,0,0,0,2,5.1696339552933116e-8
jaguar,0,0,1,0,0,0,1,0,5.1696339552933116e-8
jaguar,0,0,1,0,0,0,1,1,5.1696339552933116e-8
jaguar,0,0,1,0,0,0,1,2,5.1696339552933116e-8
jaguar,0,0,1,0,0,0,2,0,5.1696339552933116e-8
jaguar,0,0,1,0,0,0,2,1,5.1696339552933116e-8
jaguar,0,0,1,0,0,0,2,2,5.1696339552933116e-8
jaguar,0,0,1,0,0,1,0,0,5.1696339552933116e-8
jaguar,0,0,1,0,0,1,0,1,5.1696339552933116e-8
jaguar,0,0,1,0,0,1,0,2,5.1696339552933116e-8
jaguar,0,0,1,0,0,1,1,0,5.1696339552933116e-8
jaguar,0,0,1,0,0,1,1,1,5.1696339552933116e-8
jaguar,0,0,1,0,0,1,1,2,5.1696339552933116e-8
jaguar,0,0,1,0,0,1,2,0,5.1696339552933116e-8
jaguar,0,0,1,0,0,1,2,1,5.1696339552933116e-8
jaguar,0,0,1,0,0,1,2,2,5.1696339552933116e-8
jaguar,0,0,1,0,0,2,0,0,5.1696339552933116e-8
jaguar,0,0,1,0,0,2,0,1,5.1696339552933116e-8
jaguar,0,0,1,0,0,2,0,2,5.1696339552933116e-8
jaguar,0,0,1,0,0,2,1,0,5.1696339552933116e-8
jaguar,0,0,1,0,0,2,1,1,5.1696339552933116e-8
jaguar,0,0,1,0,0,2,1,2,5.1696339552933116e-8
jaguar,0,0,1,0,0,2,2,0,5.1696339552933116e-8
jaguar,0,0,1,0,0,2,2,1,5.1696339552933116e-8
jaguar,0,0,1,0,0,2,2,2,5.1696339552933116e-8
jaguar,0,0,1,0,1,0,0,0,5.1696339552933116e-8
jaguar,0,0,1,0,1,0,0,1,5.1696339552933116e-8
jaguar,0,0,1,0,1,0,0,2,5.1696339552933116e-8
jaguar,0,0,1,0,1,0,1,0,5.1696339552933116e-8
jaguar,0,0,1,0,1,0,1,1,5.1696339552933116e-8
jaguar,0,0,1,0,1,0,1,2,5.1696339552933116e-8
jaguar,0,0,1,0,1,0,2,0,5.1696339552933116e-8
jaguar,0,0,1,0,1,0,2,1,5.1696339552933116e-8
jaguar,0,0,1,0,1,0,2,2,5.1696339552933116e-8
jaguar,0,0,1,0,1,1,0,0,5.1696339552933116e-8
jaguar,0,0,1,0,1,1,0,1,5.1696339552933116e-8
jaguar,0,0,1,0,1,1,0,2,5.1696339552933116e-8
jaguar,0,0,1,0,1,1,1,0,5.1696339552933116e-8
jaguar,0,0,1,0,1,1,1,1,5.1696339552933116e-8
jaguar,0,0,1,0,1,1,1,2,5.1696339552933116e-8
jaguar,0,0,1,0,1,1,2,0,5.1696339552933116e-8
jaguar,0,0,1,0,1,1,2,1,5.1696339552933116e-8
jaguar,0,0,1,0,1,1,2,2,5.1696339552933116e-8
jaguar,0,0,1,0,1,2,0,0,5.1696339552933116e-8
jaguar,0,0,1,0,1,2,0,1,5.1696339552933116e-8
jaguar,0,0,1,0,1,2,0,2,5.1696339552933116e-8
jaguar,0,0,1,0,1,2,1,0,5.1696339552933116e-8
jaguar,0,0,1,0,1,2,1,1,5.1696339552933116e-8
jaguar,0,0,1,0,1,2,1,2,5.1696339552933116e-8
jaguar,0,0,1,0,1,2,2,0,5.1696339552933116e-8
jaguar,0,0,1,0,1,2,2,1,5.1696339552933116e-8
jaguar,0,0,1,0,1,2,2,2,5.1696339552933116e-8
jaguar,0,0,1,0,2,0,0,0,5.1696339552933116e-8
jaguar,0,0,1,0,2,0,0,1,5.1696339552933116e-8
jaguar,0,0,1,0,2,0,0,2,5.1696339552933116e-8
jaguar,0,0,1,0,2,0,1,0,5.1696339552933116e-8
jaguar,0,0,1,0,2,0,1,1,5.1696339552933116e-8
jaguar,0,0,1,0,2,0,1,2,5.1696339552933116e-8
jaguar,0,0,1,0,2,0,2,0,5.1696339552933116e-8
jaguar,0,0,1,0,2,0,2,1,5.1696339552933116e-8
jaguar,0,0,1,0,2,0,2,2,5.1696339552933116e-8
jaguar,0,0,1,0,2,1,0,0,5.1696339552933116e-8
jaguar,0,0,1,0,2,1,0,1,5.1696339552933116e-8
jaguar,0,0,1,0,2,1,0,2,5.1696339552933116e-8
jaguar,0,0,1,0,2,1,1,0,5.1696339552933116e-8
jaguar,0,0,1,0,2,1,1,1,5.1696339552933116e-8
jaguar,0,0,1,0,2,1,1,2,5.1696339552933116e-8
jaguar,0,0,1,0,2,1,2,0,5.1696339552933116e-8
jaguar,0,0,1,0,2,1,2,1,5.1696339552933116e-8
jaguar,0,0,1,0,2,1,2,2,5.1696339552933116e-8
jaguar,0,0,1,0,2,2,0,0,5.1696339552933116e-8
jaguar,0,0,1,0,2,2,0,1,5.1696339552933116e-8
jaguar,0,0,1,0,2,2,0,2,5.1696339552933116e-8
jaguar,0,0,1,0,2,2,1,0,5.1696339552933116e-8
jaguar,0,0,1,0,2,2,1,1,5.1696339552933116e-8
jaguar,0,0,1,0,2,2,1,2,5.1696339552933116e-8
jaguar,0,0,1,0,2,2,2,0,5.1696339552933116e-8
jaguar,0,0,1,0,2,2,2,1,5.1696339552933116e-8
jaguar,0,0,1,0,2,2,2,2,5.1696339552933116e-8
jaguar,0,0,1,1,0,0,0,0,3.797478254990801e-7
jaguar,0,0,1,1,0,0,0,1,3.797478254990801e-7
jaguar,0,0,1,1,0,0,0,2,3.797478254990801e-7
jaguar,0,0,1,1,0,0,1,0,3.797478254990801e-7
jaguar,0,0,1,1,0,0,1,1,3.797478254990801e-7
jaguar,0,0,1,1,0,0,1,2,3.797478254990801e-7
jaguar,0,0,1,1,0,0,2,0,3.797478254990801e-7
jaguar,0,0,1,1,0,0,2,1,3.797478254990801e-7
jaguar,0,0,1,1,0,0,2,2,3.797478254990801e-7
jaguar,0,0,1,1,0,1,0,0,3.797478254990801e-7
jaguar,0,0,1,1,0,1,0,1,3.797478254990801e-7
jaguar,0,0,1,1,0,1,0,2,3.797478254990801e-7
jaguar,0,0,1,1,0,1,1,0,3.797478254990801e-7
jaguar,0,0,1,1,0,1,1,1,3.797478254990801e-7
jaguar,0,0,1,1,0,1,1,2,3.797478254990801e-7
jaguar,0,0,1,1,0,1,2,0,3.797478254990801e-7
jaguar,0,0,1,1,0,1,2,1,3.797478254990801e-7
jaguar,0,0,1,1,0,1,2,2,3.797478254990801e-7
jaguar,0,0,1,1,0,2,0,0,3.797478254990801e-7
jaguar,0,0,1,1,0,2,0,1,3.797478254990801e-7
jaguar,0,0,1,1,0,2,0,2,3.797478254990801e-7
jaguar,0,0,1,1,0,2,1,0,3.797478254990801e-7
jaguar,0,0,1,1,0,2,1,1,3.797478254990801e-7
jaguar,0,0,1,1,0,2,1,2,3.797478254990801e-7
jaguar,0,0,1,1,0,2,2,0,3.797478254990801e-7
jaguar,0,0,1,1,0,2,2,1,3.797478254990801e-7
jaguar,0,0,1,1,0,2,2,2,3.797478254990801e-7
jaguar,0,0,1,1,1,0,0,0,3.797478254990801e-7
jaguar,0,0,1,1,1,0,0,1,3.797478254990801e-7
jaguar,0,0,1,1,1,0,0,2,3.797478254990801e-7
jaguar,0,0,1,1,1,0,1,0,3.797478254990801e-7
jaguar,0,0,1,1,1,0,1,1,3.797478254990801e-7
jaguar,0,0,1,1,1,0,1,2,3.797478254990801e-7
jaguar,0,0,1,1,1,0,2,0,3.797478254990801e-7
jaguar,0,0,1,1,1,0,2,1,3.797478254990801e-7
jaguar,0,0,1,1,1,0,2,2,3.797478254990801e-7
jaguar,0,0,1,1,1,1,0,0,3.797478254990801e-7
jaguar,0,0,1,1,1,1,0,1,3.797478254990801e-7
jaguar,0,0,1,1,1,1,0,2,3.797478254990801e-7
jaguar,0,0,1,1,1,1,1,0,3.797478254990801e-7
jaguar,0,0,1,1,1,1,1,1,3.797478254990801e-7
jaguar,0,0,1,1,1,1,1,2,3.797478254990801e-7
jaguar,0,0,1,1,1,1,2,0,3.797478254990801e-7
jaguar,0,0,1,1,1,1,2,1,3.797478254990801e-7
jaguar,0,0,1,1,1,1,2,2,3.797478254990801e-7
jaguar,0,0,1,1,1,2,0,0,3.797478254990801e-7
jaguar,0,0,1,1,1,2,0,1,3.797478254990801e-7
jaguar,0,0,1,1,1,2,0,2,3.797478254990801e-7
jaguar,0,0,1,1,1,2,1,0,3.797478254990801e-7
jaguar,0,0,1,1,1,2,1,1,3.797478254990801e-7
jaguar,0,0,1,1,1,2,1,2,3.797478254990801e-7
jaguar,0,0,1,1,1,2,2,0,3.797478254990801e-7
jaguar,0,0,1,1,1,2,2,1,3.797478254990801e-7
jaguar,0,0,1,1,1,2,2,2,3.797478254990801e-7
jaguar,0,0,1,1,2,0,0,0,3.797478254990801e-7
jaguar,0,0,1,1,2,0,0,1,3.797478254990801e-7
jaguar,0,0,1,1,2,0,0,2,3.797478254990801e-7
jaguar,0,0,1,1,2,0,1,0,3.797478254990801e-7
jaguar,0,0,1,1,2,0,1,1,3.797478254990801e-7
jaguar,0,0,1,1,2,0,1,2,3.797478254990801e-7
jaguar,0,0,1,1,2,0,2,0,3.797478254990801e-7
jaguar,0,0,1,1,2,0,2,1,3.797478254990801e-7
jaguar,0,0,1,1,2,0,2,2,3.797478254990801e-7
jaguar,0,0,1,1,2,1,0,0,3.797478254990801e-7
jaguar,0,0,1,1,2,1,0,1,3.797478254990801e-7
jaguar,0,0,1,1,2,1,0,2,3.797478254990801e-7
jaguar,0,0,1,1,2,1,1,0,3.797478254990801e-7
