category,fast,cute,prob
jaguar,0,0,0.000016987310761995877
jaguar,0,1,0.000010328284943293485
jaguar,0,2,0.000019952368640453326
jaguar,0,3,0.000007980947456181322
jaguar,0,4,0.000006615223827316072
jaguar,0,5,0.0000034575646769625004
jaguar,1,0,0.00001992148262088609
jaguar,1,1,0.000012675622430405658
jaguar,1,2,0.000025233877986455715
jaguar,1,3,0.000009154616199737409
jaguar,1,4,0.000007788892570872157
jaguar,1,5,0.000004044399048740541
jaguar,2,0,0.00008781132947739436
jaguar,2,1,0.0000572028089167026
jaguar,2,2,0.00011556123013475262
jaguar,2,3,0.0000398686243964896
jaguar,2,4,0.000034405729881028595
jaguar,2,5,0.00001780267599373215
jaguar,3,0,0.0000830652243891391
jaguar,3,1,0.00005666748851240165
jaguar,3,2,0.00011764303170703268
jaguar,3,3,0.00003678415920980456
jaguar,3,4,0.00003268698832320881
jaguar,3,5,0.00001679335245151778
jaguar,4,0,0.00008912822789410844
jaguar,4,1,0.00005499476398377065
jaguar,4,2,0.00010730685655369866
jaguar,4,3,0.00004158140691455816
jaguar,4,4,0.00003475278877023192
jaguar,4,5,0.00001812615820163826
jaguar,5,0,0.00008493655380997954
jaguar,5,1,0.00005164142471646752
jaguar,5,2,0.00009976184320226662
jaguar,5,3,0.0000399047372809066
jaguar,5,4,0.000033076119136580355
jaguar,5,5,0.00001728782338481249
dog,0,0,0.000003397462152399172
dog,0,1,0.000005164142471646733
dog,0,2,0.000004433859697878506
dog,0,3,0.000011971421184271995
dog,0,4,0.00002646089530926429
dog,0,5,0.00002420295273873746
dog,1,0,0.000003984296524177214
dog,1,1,0.000006337811215202817
dog,1,2,0.000005607528441434591
dog,1,3,0.000013731924299606127
dog,1,4,0.00003115557028348864
dog,1,5,0.000028310793341183764
dog,2,0,0.00002195283236934853
dog,2,1,0.00003575175557293892
dog,2,2,0.00003210034170409779
dog,2,3,0.00007475367074341808
dog,2,4,0.0001720286494051427
dog,2,5,0.0001557734149451562
dog,3,0,0.0000387637713815983
dog,3,1,0.0000661120699311353
dog,3,2,0.0000610000905147577
dog,3,3,0.00012874455723431641
dog,3,4,0.00030507855768328244
dog,3,5,0.00027429142337479114
dog,4,0,0.000010695387347292979
dog,4,1,0.00001649842919513114
dog,4,2,0.00001430758087382646
dog,4,3,0.00003742326622310239
dog,4,4,0.00008340669304855658
dog,4,5,0.00007612986444688072
dog,5,0,0.000006794924304798362
dog,5,1,0.000010328284943293492
dog,5,2,0.000008867719395757036
dog,5,3,0.000023942842368544048
dog,5,4,0.00005292179061852871
dog,5,5,0.000048405905477475044
cat,0,0,0.00000679492430479837
cat,0,1,0.000005164142471646752
cat,0,2,0.000013301579093635581
cat,0,3,0.00003192378982472535
cat,0,4,0.00005292179061852868
cat,0,5,0.00004149077612354991
cat,1,0,0.000007968593048354457
cat,1,1,0.00000633781121520284
cat,1,2,0.000016822585324303853
cat,1,3,0.0000366184647989497
cat,1,4,0.00006231114056697739
cat,1,5,0.00004853278858488643
cat,2,0,0.000026343398843218237
cat,2,1,0.0000214510533437634
cat,2,2,0.00005778061506737641
cat,2,3,0.00011960587318946884
cat,2,4,0.00020643437928617148
cat,2,5,0.00016022408394358889
cat,3,0,0.00002768840812971305
cat,3,1,0.00002361145354683401
cat,3,2,0.0000653572398372404
cat,3,3,0.00012261386403268184
cat,3,4,0.00021791325548805871
cat,3,5,0.00016793352451517738
cat,4,0,0.000007130258231528682
cat,4,1,0.000005499476398377064
cat,4,2,0.00001430758087382652
cat,4,3,0.0000332651255316466
cat,4,4,0.00005560446203237122
cat,4,5,0.00004350277968393182
cat,5,0,0.0000067949243047983735
cat,5,1,0.000005164142471646755
cat,5,2,0.000013301579093635595
cat,5,3,0.00003192378982472536
cat,5,4,0.00005292179061852871
cat,5,5,0.00004149077612354995
rabbit,0,0,0.00005244446122521649
rabbit,0,1,0.00003333219231699262
rabbit,0,2,0.00003260190954322439
rabbit,0,3,0.0000903724932538179
rabbit,0,4,0.00008695818418165478
rabbit,0,5,0.00010524953759781253
rabbit,1,0,0.00010840992868110147
rabbit,1,1,0.00006901172212109753
rabbit,1,2,0.00006755115657356107
rabbit,1,3,0.0001866133302254166
rabbit,1,4,0.00017978471208109033
rabbit,1,5,0.000217541087656962
rabbit,2,0,0.00022169509675851282
rabbit,2,1,0.00014127360383973497
rabbit,2,2,0.00013835247274466205
rabbit,2,3,0.000381352059444683
rabbit,2,4,0.00036769482315603054
rabbit,2,5,0.00044483265410654376
rabbit,3,0,0.00047092095716677466
rabbit,3,1,0.0003009010501126354
rabbit,3,2,0.00029505878792248963
rabbit,3,3,0.0008085887249722808
rabbit,3,4,0.0007812742523949758
rabbit,3,5,0.0009447268355125838
rabbit,4,0,0.00010589492423062413
rabbit,4,1,0.000067335052487446
rabbit,4,2,0.00006587448693990954
rabbit,4,3,0.0001824216561412877
rabbit,4,4,0.00017559303799696146
rabbit,4,5,0.00021251107875600736
rabbit,5,0,0.00010488892245043321
rabbit,5,1,0.00006666438463398537
rabbit,5,2,0.0000652038190864489
rabbit,5,3,0.00018074498650763618
rabbit,5,4,0.0001739163683633099
rabbit,5,5,0.00021049907519562553
kitten,0,0,0.000013589848609596716
kitten,0,1,0.000010328284943293485
kitten,0,2,0.000008867719395757029
kitten,0,3,0.00006384757964945071
kitten,0,4,0.000039691342963896625
kitten,0,5,0.00017979336320204998
kitten,1,0,0.000015937186096708888
kitten,1,1,0.000012675622430405658
kitten,1,2,0.000011215056882869202
kitten,1,3,0.00007323692959789942
kitten,1,4,0.00004673335542523318
kitten,1,5,0.0002103087505345083
kitten,2,0,0.000013171699421609095
kitten,2,1,0.000010725526671881677
kitten,2,2,0.000009630102511229337
kitten,2,3,0.000059802936594734157
kitten,2,4,0.00003870644611615705
kitten,2,5,0.00017357609093888763
kitten,3,0,0.00003322608975565567
kitten,3,1,0.000028333744256200825
kitten,3,2,0.00002614289593489614
kitten,3,3,0.0001471366368392185
kitten,3,4,0.00009806096496962689
kitten,3,5,0.00043662716373946294
kitten,4,0,0.000003565129115764335
kitten,4,1,0.0000027497381991885274
kitten,4,2,0.000002384596812304413
kitten,4,3,0.00001663256276582327
kitten,4,4,0.000010425836631069588
kitten,4,5,0.000047128011324259496
kitten,5,0,0.0000033974621523991804
kitten,5,1,0.000002582071235823373
kitten,5,2,0.000002216929848939259
kitten,5,3,0.000015961894912362654
kitten,5,4,0.000009922835740974124
kitten,5,5,0.00004494834080051249
cheetah,0,0,0.000016987310761995877
cheetah,0,1,0.000015492427414940216
cheetah,0,2,0.000011084649244696275
cheetah,0,3,0.000011971421184272017
cheetah,0,4,0.000009922835740974136
cheetah,0,5,0.0000034575646769625004
cheetah,1,0,0.00001992148262088609
cheetah,1,1,0.000019013433645608475
cheetah,1,2,0.000014018821103586488
cheetah,1,3,0.000013731924299606154
cheetah,1,4,0.00001168333885630827
cheetah,1,5,0.000004044399048740541
cheetah,2,0,0.00002195283236934853
cheetah,2,1,0.0000214510533437634
cheetah,2,2,0.000016050170852048923
cheetah,2,3,0.000014950734148683629
cheetah,2,4,0.000012902148705385748
cheetah,2,5,0.000004450668998433029
cheetah,3,0,0.00005537681625942619
cheetah,3,1,0.00005666748851240175
cheetah,3,2,0.00004357149322482697
cheetah,3,3,0.000036784159209804756
cheetah,3,4,0.00003268698832320898
cheetah,3,5,0.000011195568301011887
cheetah,4,0,0.00005347693673646499
cheetah,4,1,0.00004949528758539334
cheetah,4,2,0.00003576895218456618
cheetah,4,3,0.00003742326622310244
cheetah,4,4,0.0000312775098932088
cheetah,4,5,0.000010875694920982954
cheetah,5,0,0.00018686041838195512
cheetah,5,1,0.00017041670156434254
cheetah,5,2,0.00012193114169165938
cheetah,5,3,0.00013168563302699227
cheetah,5,4,0.00010915119315071557
cheetah,5,5,0.000038033211446587466
man,0,0,0.012108555111126504
man,0,1,0.012270002512608133
man,0,2,0.013168563302672858
man,0,3,0.018962731155848917
man,0,4,0.01571777181367156
man,0,5,0.012322760508669742
man,1,0,0.03550008203034813
man,1,1,0.0376465986182295
man,1,2,0.041635898677568575
man,1,3,0.05437842022633145
man,1,4,0.04626602187088806
man,1,5,0.036035595524206224
man,2,0,0.023471968369260566
man,2,1,0.025483851372339942
man,2,2,0.028601404458293966
man,2,3,0.035522944337201094
man,2,4,0.030655505323935066
man,2,5,0.02379327646557542
man,3,0,0.02960444597223005
man,3,1,0.03366048817629923
man,3,2,0.03882220046324307
man,3,3,0.04369958114116038
man,3,4,0.038832142127894355
man,3,5,0.029925754068544905
man,4,0,0.031765300421396775
man,4,1,0.0326668898062944
man,4,2,0.03541126266264968
man,4,3,0.04939871141439635
man,4,4,0.04128631305895296
man,4,5,0.03230081391525487
man,5,0,0.006054277555563246
man,5,1,0.006135001256304065
man,5,2,0.006584281651336426
man,5,3,0.009481365577924448
man,5,4,0.007858885906835773
man,5,5,0.006161380254334865
