category,fast,cute,prob
man,0,0,0.010262434898640186
man,0,1,0.004975726011461878
man,0,2,0.004793345076831224
man,0,3,0.01729657137317706
man,0,4,0.01729657137317706
man,0,5,0.016793075288683908
man,1,0,0.02351661859035629
man,1,1,0.009586690153662486
man,1,2,0.008417581598337802
man,1,3,0.04038880355795038
man,1,4,0.04038880355795038
man,1,5,0.039843219565465576
man,2,0,0.030310578199630053
man,2,1,0.027352823486085844
man,2,2,0.03205156070136307
man,2,3,0.04583409152865857
man,2,4,0.04583409152865857
man,2,5,0.04010653878469561
man,3,0,0.036522602054099636
man,3,1,0.035635521958711946
man,3,2,0.04240493379214567
man,3,3,0.054116790001284665
man,3,4,0.054116790001284665
man,3,5,0.046318562639165194
man,4,0,0.02351661859035629
man,4,1,0.009586690153662486
man,4,2,0.008417581598337802
man,4,3,0.04038880355795038
man,4,4,0.04038880355795038
man,4,5,0.039843219565465576
man,5,0,0.011661857839363837
man,5,1,0.011195383525789256
man,5,2,0.013281073188488498
man,5,3,0.017355806206646836
man,5,4,0.017355806206646836
man,5,5,0.014927178034385688
rabbit,0,0,0.00013664399084507134
rabbit,0,1,0.00006910730571474847
rabbit,0,2,0.00006622586644707954
rabbit,0,3,0.0002505513789441636
rabbit,0,4,0.0002505513789441636
rabbit,0,5,0.00033925404623603777
rabbit,1,0,0.00026464366388713646
rabbit,1,1,0.0001324517328941594
rabbit,1,2,0.00012668885435882155
rabbit,1,3,0.0004866955615499838
rabbit,1,4,0.0004866955615499838
rabbit,1,5,0.0006612194568660635
rabbit,2,0,0.0007474773216519349
rabbit,2,1,0.00041036346170675964
rabbit,2,2,0.00039883770463608394
rabbit,2,3,0.0013370411128960692
rabbit,2,4,0.0013370411128960692
rabbit,2,5,0.0017588189014874495
rabbit,3,0,0.0016622818851750993
rabbit,3,1,0.0009322784179943395
rabbit,3,2,0.000909226903852988
rabbit,3,3,0.0029529609622441916
rabbit,3,4,0.0029529609622441916
rabbit,3,5,0.0038522922867173497
rabbit,4,0,0.00026464366388713646
rabbit,4,1,0.0001324517328941594
rabbit,4,2,0.00012668885435882155
rabbit,4,3,0.0004866955615499838
rabbit,4,4,0.0004866955615499838
rabbit,4,5,0.0006612194568660635
rabbit,5,0,0.00040522011078193655
rabbit,5,1,0.00022616936415735918
rabbit,5,2,0.00022040648562202133
rabbit,5,3,0.000720989639707983
rabbit,5,4,0.000720989639707983
rabbit,5,5,0.0009423723506556627
