category,slow,strong,prob
man,0,0,0.18763911481758702
man,0,1,0.08513256135242384
man,0,2,0.07297076687350605
man,1,0,0.15071598822018104
man,1,1,0.05653334152309393
man,1,2,0.054870596184179346
man,2,0,0.15538864195831445
man,2,1,0.12465839340890643
man,2,2,0.07753143980310034
turtle,0,0,0.0024802360899578535
turtle,0,1,0.00011324903318436644
turtle,0,2,0.0002648875691430938
turtle,1,0,0.0011915313305301228
turtle,1,1,0.00005338540229559636
turtle,1,2,0.00012596555597837317
turtle,2,0,0.026060988169109307
turtle,2,1,0.001320598895438033
turtle,2,2,0.002948313813070952
