category,slow,strong,prob
turtle,0,0,0.0008182343581008731
turtle,0,1,0.00003571334923840162
turtle,0,2,0.00007150988149268033
turtle,1,0,0.0004084861080220848
turtle,1,1,0.000017814603217310713
turtle,1,2,0.00003567079794255997
turtle,2,0,0.008417841950578993
turtle,2,1,0.0004105045996253475
turtle,2,2,0.0008216746633777113
sloth,0,0,0.00013264291466746097
sloth,0,1,1.700697619710319e-7
sloth,0,2,7.748567462631391e-8
sloth,1,0,0.00026410783008200066
sloth,1,1,8.771111260167271e-8
sloth,1,2,7.082854547249759e-8
sloth,2,0,0.003869455914733263
sloth,2,1,0.0003771145333459411
sloth,2,2,0.0001260375765121557
horse,0,0,0.0003695052622879286
horse,0,1,0.000005895751748329091
horse,0,2,0.000007051196390994577
horse,1,0,0.00011318907003514346
horse,1,1,4.6779260054225354e-7
horse,1,2,9.91599636614967e-7
horse,2,0,0.00010364614057321293
horse,2,1,0.00012570484444864708
horse,2,2,0.00011028287944813664
bear,0,0,0.00005684696342891201
bear,0,1,0.000001700697619710321
bear,0,2,0.000005578968573094607
bear,1,0,0.00011318907003514305
bear,1,1,8.771111260167272e-7
bear,1,2,0.000005099655274019832
bear,2,0,0.000017274356762202057
bear,2,1,0.00003928276389020217
bear,2,2,0.00009452818238411691
gorilla,0,0,0.00004737246952409333
gorilla,0,1,0.000002267596826280419
gorilla,0,2,0.0000034868553581841315
gorilla,1,0,0.00010375664753221489
gorilla,1,1,0.0000012864296514911995
gorilla,1,2,0.0000035060130008886398
gorilla,2,0,0.00005182307028660623
gorilla,2,1,0.00018855726667297017
gorilla,2,2,0.0002126884103642627
elephant,0,0,0.000018948987809637316
elephant,0,1,2.267596826280423e-7
elephant,0,2,9.298280955157683e-7
elephant,1,0,0.00015091876004685723
elephant,1,1,4.6779260054225354e-7
elephant,1,2,0.00000339977018267989
elephant,2,0,0.00034548713524404183
elephant,2,1,0.0003142621111216175
elephant,2,2,0.0009452818238411699
man,0,0,0.27013677021364896
man,0,1,0.0021551240236926017
man,0,2,0.0014728477032940283
man,1,0,0.2353200766025918
man,1,1,0.0004862704082627003
man,1,2,0.0005890101841481123
man,2,0,0.24626323000146072
man,2,1,0.1493373552046941
man,2,2,0.07486632044807091
