category,big,majestic,prob
eagle,0,0,0.00001810581670092754
eagle,0,1,0.000016346114277311998
eagle,0,2,0.000034152278517703605
eagle,0,3,0.0005701528360235248
eagle,0,4,0.00007309324435381767
eagle,0,5,0.00022244239986444626
eagle,1,0,0.0000051483872103787666
eagle,1,1,0.000005952327674768685
eagle,1,2,0.00000978193569971967
eagle,1,3,0.00014564787418161517
eagle,1,4,0.00002013911019389505
eagle,1,5,0.00005934219817699274
eagle,2,0,0.000010380585375345118
eagle,2,1,0.000012156088213300024
eagle,2,2,0.000019731493308614465
eagle,2,3,0.0002917148031361696
eagle,2,4,0.000040529653251552865
eagle,2,5,0.0001191872620815112
eagle,3,0,0.0000023431242579519205
eagle,3,1,0.0000022829557956719316
eagle,3,2,0.000004428829155384898
eagle,3,3,0.00007166859035462035
eagle,3,4,0.000009376347055235126
eagle,3,5,0.000028284683005071593
eagle,4,0,0.0000023323325576688515
eagle,4,1,0.000002250580694822726
eagle,4,2,0.000004407245754818762
eagle,4,3,0.00007161463185320501
eagle,4,4,0.00000934397195438592
eagle,4,5,0.00002821993280337318
eagle,5,0,0.000033298836572813524
eagle,5,1,0.0000951500927402567
eagle,5,2,0.00006634025378510813
eagle,5,3,0.00022644715192892827
eagle,5,4,0.0001022434839998199
eagle,5,5,0.00021401895689424115
whale,0,0,0.00008329677849402724
whale,0,1,0.00004006625025428568
whale,0,2,0.00008303935913350831
whale,0,3,0.00032183389835991455
whale,0,4,0.00012729214202242015
whale,0,5,0.00026411627293944167
whale,1,0,0.00008391871152917414
whale,1,1,0.00004037721677185912
whale,1,2,0.0000836612921686552
whale,1,3,0.00032369969746535526
whale,1,4,0.0001282250415751405
whale,1,5,0.0002659820720448824
whale,2,0,0.00016792123401293554
whale,2,1,0.0000807963390210119
whale,2,2,0.00016740639529189767
whale,2,3,0.0006476508277944719
whale,2,4,0.00025657579958216186
whale,2,5,0.0005322155769535265
whale,3,0,0.0000834565728346992
whale,3,1,0.00004014614742462165
whale,3,2,0.00008319915347418028
whale,3,3,0.0003223132813819304
whale,3,4,0.00012753183353342808
whale,3,5,0.0002645956559614576
whale,4,0,0.00008343498943413306
whale,4,1,0.000040135355724338584
whale,4,2,0.00008317757007361412
whale,4,3,0.000322248531180232
whale,4,4,0.0001274994584325789
whale,4,5,0.00026453090575975915
whale,5,0,0.0015990479721086494
whale,5,1,0.0007821204571343175
whale,5,2,0.0015962163591429412
whale,5,3,0.00558852310798211
whale,5,4,0.0024243886752581463
whale,5,5,0.004953629228356907
horse,0,0,0.000004526454175231876
horse,0,1,6.81088094887998e-7
horse,0,2,0.000004269034814712942
horse,0,3,0.00008552292540352857
horse,0,4,0.000015227759240378646
horse,0,5,0.000018536866655370495
horse,1,0,0.0000051483872103787776
horse,1,1,9.92054612461448e-7
horse,1,2,0.0000048909678498598435
horse,1,3,0.00008738872450896927
horse,1,4,0.000016782591828245895
horse,1,5,0.000019780732725664296
horse,2,0,0.00002595146343836282
horse,2,1,0.000005065036755541685
horse,2,2,0.000024664366635768145
horse,2,3,0.0004375722047042541
horse,2,4,0.00008443677760740187
horse,2,5,0.00009932271840125948
horse,3,0,0.000028117491095422983
horse,3,1,0.000004565911591343859
horse,3,2,0.000026572974932309382
horse,3,3,0.0005160138505532663
horse,3,4,0.00009376347055235137
horse,3,5,0.0001131387320202864
horse,4,0,0.000013993995346013076
horse,4,1,0.000002250580694822726
horse,4,2,0.000013221737264456253
horse,4,3,0.00025781267467153837
horse,4,4,0.00004671985977192965
horse,4,5,0.00005643986560674637
horse,5,0,0.00006659767314562705
horse,5,1,0.00003171669758008559
horse,5,2,0.00006634025378510813
horse,5,3,0.00027173658231471404
horse,5,4,0.00017040580666636645
horse,5,5,0.00014267930459616084
lion,0,0,0.000002263227087615942
lion,0,1,0.0000013621761897759984
lion,0,2,0.0000021345174073564744
lion,0,3,0.000042761462701764354
lion,0,4,0.000009136655544227207
lion,0,5,0.00004634216663842628
lion,1,0,0.000010296774420757574
lion,1,1,0.000007936436899691599
lion,1,2,0.000009781935699719704
lion,1,3,0.00017477744901793886
lion,1,4,0.000040278220387790235
lion,1,5,0.00019780732725664318
lion,2,0,0.000010380585375345118
lion,2,1,0.000008104058808866689
lion,2,2,0.00000986574665430725
lion,2,3,0.0001750288818817015
lion,2,4,0.000040529653251552865
lion,2,5,0.00019864543680251861
lion,3,0,0.0000070293727738557585
lion,3,1,0.000004565911591343872
lion,3,2,0.000006643243733077346
lion,3,3,0.00012900346263831702
lion,3,4,0.00002812904116570541
lion,3,5,0.00014142341502535813
lion,4,0,0.0000069969976730065505
lion,4,1,0.00000450116138964546
lion,4,2,0.000006610868632228138
lion,4,3,0.00012890633733576943
lion,4,4,0.000028031915863157794
lion,4,5,0.00014109966401686607
lion,5,0,0.00006659767314562694
lion,5,1,0.00012686679032034213
lion,5,2,0.00006634025378510799
lion,5,3,0.00027173658231471366
lion,5,4,0.00020448696799963946
lion,5,5,0.0007133965229808026
elephant,0,0,0.0000022632270876159415
elephant,0,1,6.81088094887998e-7
elephant,0,2,0.000008538069629425869
elephant,0,3,0.000028507641801176257
elephant,0,4,0.000015227759240378646
elephant,0,5,0.000032439516646898303
elephant,1,0,0.0000025741936051893913
elephant,1,1,9.92054612461448e-7
elephant,1,2,0.00000978193569971967
elephant,1,3,0.00002912957483632316
elephant,1,4,0.000016782591828245895
elephant,1,5,0.000034616282269912456
elephant,2,0,0.0000025951463438362778
elephant,2,1,0.000001013007351108334
elephant,2,2,0.000009865746654307216
elephant,2,3,0.00002917148031361693
elephant,2,4,0.000016887355521480324
elephant,2,5,0.00003476295144044065
elephant,3,0,0.0000023431242579519205
elephant,3,1,7.609852652239769e-7
elephant,3,2,0.000008857658310769787
elephant,3,3,0.000028667436141848214
elephant,3,4,0.00001562724509205854
elephant,3,5,0.00003299879683925016
elephant,4,0,0.000013993995346013076
elephant,4,1,0.000004501161389645444
elephant,4,2,0.000052886949057825026
elephant,4,3,0.00017187511644769235
elephant,4,4,0.00009343971954385931
elephant,4,5,0.00019753952962361232
elephant,5,0,0.00023309185600969468
elephant,5,1,0.0002220168830605991
elephant,5,2,0.0009287635529915138
elephant,5,3,0.0006340520254009997
elephant,5,4,0.0011928406466645675
elephant,5,5,0.0017478214813029707
man,0,0,0.011202974083698863
man,0,1,0.002022831641817349
man,0,2,0.00845268893313159
man,0,3,0.028222565383164373
man,0,4,0.009045288988784888
man,0,5,0.013763623491612557
man,1,0,0.019113387518531214
man,1,1,0.004419603298515753
man,1,2,0.014526174514083714
man,1,3,0.043257418631939826
man,1,4,0.01495328931896709
man,1,5,0.022030791073208617
man,2,0,0.05138389760795829
man,2,1,0.012034527331167028
man,2,2,0.03906835675105662
man,2,3,0.11551906204192305
man,2,4,0.04012435671903728
man,2,5,0.05899769473034804
man,3,0,0.011598465076861958
man,3,1,0.0022601262377152055
man,3,2,0.008769081727662062
man,3,3,0.028380761780429607
man,3,4,0.009282583584682744
man,3,5,0.014000918087510415
man,4,0,0.005772523080230392
man,4,1,0.0011140374439372492
man,4,2,0.004363173297270566
man,4,3,0.014179697106934602
man,4,4,0.004625266117421031
man,4,5,0.006984433368834862
man,5,0,0.08241462051771346
man,5,1,0.047099295906427106
man,5,2,0.06567685124725704
man,5,3,0.044836536081927836
man,5,4,0.05061052457991089
man,5,5,0.052969691831324724
