workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.animalIDs,Answer.orders,Answer.animals,Answer.conditions,Answer.QUDs,Answer.isMetaphors,Answer.ratings,Answer.speakers,Answer.gender,Answer.age,Answer.income,Answer.nativeLanguage,Answer.comments
0,3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,377YSAKP63IIIT70CFQ6SW39BS6MN5,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 5-8 minutes.,language research stanford fun cognitive science university psychology,$0.50,Wed Jul 29 10:08:02 PDT 2015,40,20,1,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Aug 28 10:08:02 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,33JKGHPFYCV1FMWA9PQRW066BWYNMI,0,Submitted,Thu Jul 30 02:50:11 PDT 2015,Wed Jul 29 10:08:47 PDT 2015,Wed Jul 29 10:10:11 PDT 2015,,,,,,"[11,7,10,4,8,5,12,6,9,3,1,2]","[1,2,3,4,5,6,7,8,9,10,11,12]","[""lion"",""penguin"",""turtle"",""elephant"",""giraffe"",""panda"",""rabbit"",""monkey"",""cheetah"",""bird"",""ant"",""whale""]","[""figurative"",""figurative"",""figurative"",""figurative"",""figurative"",""literal"",""figurative"",""literal"",""figurative"",""figurative"",""literal"",""figurative""]","[""fierce"",""null"",""strong"",""hard"",""tall"",""cute"",""null"",""funny"",""agile"",""small"",""small"",""majestic""]","[""T"",""T"",""T"",""T"",""T"",""F"",""T"",""F"",""T"",""T"",""F"",""T""]","[0.73,0.16,0,0.51,0.83,null,0.55,null,0.67,0.11,null,0.32]","[""Jake"",""Calvin"",""Frank"",""George"",""Bob"",""Harry"",""Eric"",""Luke"",""Kenneth"",""David"",""Alex"",""Ivan""]","""M""","""25""","""0""","""English""",""""""
1,3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,377YSAKP63IIIT70CFQ6SW39BS6MN5,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 5-8 minutes.,language research stanford fun cognitive science university psychology,$0.50,Wed Jul 29 10:08:02 PDT 2015,40,20,1,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Aug 28 10:08:02 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,3YDTZAI2WXHIXP0FYYSXDZC3M4914U,1,Submitted,Thu Jul 30 02:50:36 PDT 2015,Wed Jul 29 10:08:49 PDT 2015,Wed Jul 29 10:10:36 PDT 2015,,,,,,"[5,1,8,10,4,11,6,9,3,2,12,7]","[1,2,3,4,5,6,7,8,9,10,11,12]","[""panda"",""ant"",""giraffe"",""turtle"",""elephant"",""lion"",""monkey"",""cheetah"",""bird"",""whale"",""rabbit"",""penguin""]","[""figurative"",""figurative"",""figurative"",""figurative"",""figurative"",""figurative"",""literal"",""figurative"",""figurative"",""figurative"",""literal"",""literal""]","[""cute"",""small"",""tall"",""null"",""hard"",""strong"",""null"",""null"",""fast"",""null"",""cute"",""cute""]","[""T"",""T"",""T"",""T"",""T"",""T"",""F"",""T"",""T"",""T"",""F"",""F""]","[0.64,0.76,0.97,0.34,0.04,0.98,null,0.65,0.15,0.29,null,null]","[""Calvin"",""Jake"",""Kenneth"",""Alex"",""Harry"",""George"",""Eric"",""David"",""Frank"",""Luke"",""Bob"",""Ivan""]","""M""","""35""","""4""","""English""",""""""
2,3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,377YSAKP63IIIT70CFQ6SW39BS6MN5,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 5-8 minutes.,language research stanford fun cognitive science university psychology,$0.50,Wed Jul 29 10:08:02 PDT 2015,40,20,1,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Aug 28 10:08:02 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,3K772S5NP8CBT2IMPT7VE841GIZEHC,2,Submitted,Thu Jul 30 02:50:49 PDT 2015,Wed Jul 29 10:08:35 PDT 2015,Wed Jul 29 10:10:49 PDT 2015,,,,,,"[4,9,8,2,12,1,10,3,11,6,5,7]","[1,2,3,4,5,6,7,8,9,10,11,12]","[""elephant"",""cheetah"",""giraffe"",""whale"",""rabbit"",""ant"",""turtle"",""bird"",""lion"",""monkey"",""panda"",""penguin""]","[""literal"",""figurative"",""figurative"",""figurative"",""literal"",""figurative"",""figurative"",""figurative"",""figurative"",""figurative"",""figurative"",""literal""]","[""null"",""null"",""long"",""majestic"",""fast"",""industrious"",""strong"",""small"",""null"",""null"",""cute"",""funny""]","[""F"",""T"",""T"",""T"",""F"",""T"",""T"",""T"",""T"",""T"",""T"",""F""]","[0.25,0.46,0.17,0.12,0.04,0.65,0.14,0.1,0.66,0.41,0.45,0.13]","[""Luke"",""David"",""Bob"",""Frank"",""George"",""Harry"",""Ivan"",""Jake"",""Alex"",""Eric"",""Calvin"",""Kenneth""]","""M""","""55""","""4""","""english""","""none"""
3,3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,377YSAKP63IIIT70CFQ6SW39BS6MN5,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 5-8 minutes.,language research stanford fun cognitive science university psychology,$0.50,Wed Jul 29 10:08:02 PDT 2015,40,20,1,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Aug 28 10:08:02 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,3WRFBPLXRAP0T0O037LC01X0B5I3NJ,3,Submitted,Thu Jul 30 02:51:33 PDT 2015,Wed Jul 29 10:08:33 PDT 2015,Wed Jul 29 10:11:33 PDT 2015,,,,,,"[1,2,7,3,8,5,11,4,10,6,9,12]","[1,2,3,4,5,6,7,8,9,10,11,12]","[""ant"",""whale"",""penguin"",""bird"",""giraffe"",""panda"",""lion"",""elephant"",""turtle"",""monkey"",""cheetah"",""rabbit""]","[""figurative"",""literal"",""figurative"",""figurative"",""figurative"",""literal"",""figurative"",""figurative"",""figurative"",""figurative"",""literal"",""figurative""]","[""small"",""big"",""null"",""small"",""long"",""big"",""fierce"",""hard"",""strong"",""null"",""agile"",""fast""]","[""T"",""F"",""T"",""T"",""T"",""F"",""T"",""T"",""T"",""T"",""F"",""T""]","[0.86,null,0.11,0.6,0.45,null,0.9,0.3,0.66,0.4,null,0.96]","[""David"",""Jake"",""Frank"",""Harry"",""Calvin"",""George"",""Luke"",""Ivan"",""Kenneth"",""Eric"",""Bob"",""Alex""]","""M""","""35""","""4""","""American English""",""""""
4,3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,377YSAKP63IIIT70CFQ6SW39BS6MN5,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 5-8 minutes.,language research stanford fun cognitive science university psychology,$0.50,Wed Jul 29 10:08:02 PDT 2015,40,20,1,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Aug 28 10:08:02 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,3PEIJLRY6TU2WS4SFXJN30ZVBCMXW3,4,Submitted,Thu Jul 30 02:51:35 PDT 2015,Wed Jul 29 10:08:48 PDT 2015,Wed Jul 29 10:11:35 PDT 2015,,,,,,"[4,7,11,10,8,1,6,2,9,3,5,12]","[1,2,3,4,5,6,7,8,9,10,11,12]","[""elephant"",""penguin"",""lion"",""turtle"",""giraffe"",""ant"",""monkey"",""whale"",""cheetah"",""bird"",""panda"",""rabbit""]","[""figurative"",""figurative"",""figurative"",""literal"",""figurative"",""figurative"",""literal"",""figurative"",""figurative"",""literal"",""figurative"",""figurative""]","[""null"",""funny"",""strong"",""slow"",""long"",""industrious"",""null"",""big"",""null"",""null"",""big"",""null""]","[""T"",""F"",""T"",""F"",""T"",""T"",""F"",""T"",""T"",""F"",""T"",""T""]","[0.66,null,0.66,null,0.75,0.8,null,0.87,0.4,null,0.71,0.8]","[""George"",""Eric"",""Harry"",""Ivan"",""Frank"",""Calvin"",""Bob"",""Jake"",""Luke"",""David"",""Alex"",""Kenneth""]","""M""","""25""","""4""","""English""",""""""
5,3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,377YSAKP63IIIT70CFQ6SW39BS6MN5,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 5-8 minutes.,language research stanford fun cognitive science university psychology,$0.50,Wed Jul 29 10:08:02 PDT 2015,40,20,1,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Aug 28 10:08:02 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,39GXDJN2OTFZ223FHF2Z1ZZODUC8VX,5,Submitted,Thu Jul 30 02:53:18 PDT 2015,Wed Jul 29 10:08:48 PDT 2015,Wed Jul 29 10:13:18 PDT 2015,,,,,,"[1,6,3,8,12,4,2,10,5,9,11,7]","[1,2,3,4,5,6,7,8,9,10,11,12]","[""ant"",""monkey"",""bird"",""giraffe"",""rabbit"",""elephant"",""whale"",""turtle"",""panda"",""cheetah"",""lion"",""penguin""]","[""figurative"",""figurative"",""figurative"",""literal"",""figurative"",""figurative"",""figurative"",""figurative"",""literal"",""literal"",""figurative"",""figurative""]","[""small"",""null"",""null"",""tall"",""cute"",""null"",""null"",""null"",""null"",""fast"",""fierce"",""cute""]","[""T"",""T"",""T"",""F"",""T"",""T"",""T"",""T"",""F"",""F"",""T"",""T""]","[0.32,0.12,0.37,null,0.38,0.26,0.32,0.22,null,null,0.69,0.35]","[""David"",""Frank"",""Luke"",""Jake"",""Bob"",""Calvin"",""Ivan"",""Eric"",""Kenneth"",""Harry"",""Alex"",""George""]","""M""","""35""","""4""","""English""",""""""
6,3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,377YSAKP63IIIT70CFQ6SW39BS6MN5,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 5-8 minutes.,language research stanford fun cognitive science university psychology,$0.50,Wed Jul 29 10:08:02 PDT 2015,40,20,1,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Aug 28 10:08:02 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,3TXMY6UCAEP99XXBCSOUXYWZMTHQCQ,6,Submitted,Thu Jul 30 02:54:54 PDT 2015,Wed Jul 29 10:08:50 PDT 2015,Wed Jul 29 10:14:54 PDT 2015,,,,,,"[1,6,8,7,9,2,10,3,12,5,4,11]","[1,2,3,4,5,6,7,8,9,10,11,12]","[""ant"",""monkey"",""giraffe"",""penguin"",""cheetah"",""whale"",""turtle"",""bird"",""rabbit"",""panda"",""elephant"",""lion""]","[""figurative"",""figurative"",""literal"",""figurative"",""figurative"",""literal"",""figurative"",""figurative"",""literal"",""figurative"",""figurative"",""figurative""]","[""null"",""smart"",""null"",""cute"",""fast"",""majestic"",""null"",""fast"",""fast"",""null"",""big"",""strong""]","[""T"",""T"",""F"",""T"",""T"",""F"",""T"",""T"",""F"",""T"",""T"",""T""]","[0.26,0.67,null,0.13,0.82,null,0.64,0.5,null,0.36,0.75,0.75]","[""Eric"",""Kenneth"",""David"",""Luke"",""Frank"",""Jake"",""Harry"",""Bob"",""Alex"",""Calvin"",""Ivan"",""George""]","""M""","""25""","""4""","""English""","""Cool HIT!"""
7,3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,377YSAKP63IIIT70CFQ6SW39BS6MN5,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 5-8 minutes.,language research stanford fun cognitive science university psychology,$0.50,Wed Jul 29 10:08:02 PDT 2015,40,20,1,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Aug 28 10:08:02 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,3GU1KF0O4I25ZG4QYFDAM907ZCWBPE,7,Submitted,Thu Jul 30 02:55:29 PDT 2015,Wed Jul 29 10:08:33 PDT 2015,Wed Jul 29 10:15:29 PDT 2015,,,,,,"[1,4,6,12,7,8,3,5,10,9,2,11]","[1,2,3,4,5,6,7,8,9,10,11,12]","[""ant"",""elephant"",""monkey"",""rabbit"",""penguin"",""giraffe"",""bird"",""panda"",""turtle"",""cheetah"",""whale"",""lion""]","[""figurative"",""literal"",""figurative"",""literal"",""figurative"",""figurative"",""figurative"",""figurative"",""figurative"",""literal"",""figurative"",""figurative""]","[""null"",""null"",""null"",""fast"",""cute"",""tall"",""small"",""null"",""null"",""agile"",""null"",""strong""]","[""T"",""F"",""T"",""F"",""T"",""T"",""T"",""T"",""T"",""F"",""T"",""T""]","[0.19,null,0.24,null,0.05,0.92,0.41,0.32,0.54,null,0.04,1]","[""Kenneth"",""Calvin"",""George"",""Frank"",""David"",""Jake"",""Ivan"",""Eric"",""Luke"",""Bob"",""Harry"",""Alex""]","""F""","""25""","""4""","""English""",""""""
8,3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,377YSAKP63IIIT70CFQ6SW39BS6MN5,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 5-8 minutes.,language research stanford fun cognitive science university psychology,$0.50,Wed Jul 29 10:08:02 PDT 2015,40,20,1,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Aug 28 10:08:02 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,39L1G8WVWQSXFTHBYKNE3UKX84D139,8,Submitted,Thu Jul 30 02:55:32 PDT 2015,Wed Jul 29 10:08:44 PDT 2015,Wed Jul 29 10:15:32 PDT 2015,,,,,,"[8,10,9,3,11,4,1,12,5,7,2,6]","[1,2,3,4,5,6,7,8,9,10,11,12]","[""giraffe"",""turtle"",""cheetah"",""bird"",""lion"",""elephant"",""ant"",""rabbit"",""panda"",""penguin"",""whale"",""monkey""]","[""figurative"",""figurative"",""literal"",""figurative"",""figurative"",""figurative"",""figurative"",""literal"",""figurative"",""figurative"",""figurative"",""literal""]","[""null"",""strong"",""null"",""small"",""strong"",""null"",""null"",""null"",""big"",""cute"",""big"",""null""]","[""T"",""T"",""F"",""T"",""T"",""T"",""T"",""F"",""T"",""F"",""T"",""F""]","[0.34,0.8,null,0.91,0.88,0.25,0.78,null,0.37,null,1,null]","[""Bob"",""Kenneth"",""Ivan"",""George"",""Frank"",""Calvin"",""Jake"",""David"",""Harry"",""Luke"",""Eric"",""Alex""]","""M""","""35""","""4""","""English""",""""""
9,3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,377YSAKP63IIIT70CFQ6SW39BS6MN5,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 5-8 minutes.,language research stanford fun cognitive science university psychology,$0.50,Wed Jul 29 10:08:02 PDT 2015,40,20,1,0,Assignable,NotReviewed,1 cond,1800,60000,Fri Aug 28 10:08:02 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3RIHDBQ1NEZ6I6C6FPQD2WENQG4MH3,37U1UTWH9VN79VMY8VXP02ALSOZ8R4,9,Submitted,Thu Jul 30 02:56:46 PDT 2015,Wed Jul 29 10:08:36 PDT 2015,Wed Jul 29 10:16:46 PDT 2015,,,,,,"[2,1,8,6,9,7,10,12,3,4,5,11]","[1,2,3,4,5,6,7,8,9,10,11,12]","[""whale"",""ant"",""giraffe"",""monkey"",""cheetah"",""penguin"",""turtle"",""rabbit"",""bird"",""elephant"",""panda"",""lion""]","[""figurative"",""figurative"",""figurative"",""figurative"",""literal"",""figurative"",""literal"",""figurative"",""figurative"",""figurative"",""literal"",""figurative""]","[""null"",""small"",""null"",""smart"",""agile"",""cute"",""slow"",""cute"",""small"",""hard"",""null"",""strong""]","[""T"",""T"",""F"",""T"",""F"",""T"",""F"",""T"",""T"",""T"",""F"",""T""]","[0.85,0.91,null,0.87,null,0.92,null,0.15,0.82,0.17,null,0.96]","[""Calvin"",""Jake"",""Ivan"",""Kenneth"",""David"",""Luke"",""Alex"",""Eric"",""Harry"",""George"",""Frank"",""Bob""]","""M""","""35""","""4""","""English""",""""""
